sn	zhel	zcmb	st	est	Mmax	eMmax	t0	EBVmw	eEBVmw	covMs	BV	eBV	covBV_M	ml	m	mu	host	dist	edist	caltype
SN2007bm	0.0062067	0.00744	0.906	0.005	14.425	0.007	-0.8	0.0354	0.0035	9.198E-07	0.421	0.009	4.9E-05	10.09	10.27	10.72	-1.0	-1.0	-1.0	none
SN2007ca	0.0140567	0.01507	1.078	0.012	15.89	0.007	-9.0	0.057	0.0057	1.67E-05	0.26	0.009	4.9E-05	9.52	9.69	9.74	-1.0	-1.0	-1.0	none
SN2007cg	0.0331733	0.0341676	1.07	0.049	18.202	0.074	8.1	0.0686	0.0069	-0.0004922	0.684	0.093	0.005476	10.33	10.37	10.43	-1.0	-1.0	-1.0	none
SN2007hj	0.0141033	0.0128818	0.633	0.005	15.632	0.008	-1.6	0.0747	0.0075	3.236E-06	0.215	0.01	6.4E-05	10.3	10.45	10.89	-1.0	-1.0	-1.0	none
SN2007hx	0.07976	0.0788733	1.006	0.028	19.261	0.06	0.3	0.0299	0.003	-2.703E-05	0.214	0.074	0.0036	10.45	10.55	10.62	-1.0	-1.0	-1.0	none
SN2007jd	0.0725833	0.0719112	0.891	0.036	18.848	0.064	0.2	0.066	0.0066	-0.0001294	0.098	0.081	0.004096	9.93	10.13	10.18	-1.0	-1.0	-1.0	none
SN2007jg	0.0371067	0.0365767	0.939	0.006	17.26	0.008	-3.0	0.0904	0.009	1.487E-05	0.028	0.01	6.4E-05	7.95	8.1	8.22	-1.0	-1.0	-1.0	none
SN2007jh	0.0407667	0.0402667	0.599	0.015	18.305	0.02	-2.9	0.0902	0.009	6.818E-05	0.272	0.026	0.0004	10.89	10.99	11.04	-1.0	-1.0	-1.0	none
SN2007le	0.0067167	0.0055233	1.02	0.004	13.891	0.005	-6.7	0.0287	0.0029	6.009E-06	0.292	0.006	2.5E-05	9.71	9.85	10.16	-1.0	-1.0	-1.0	none
SN2007nq	0.045	0.0439033	0.769	0.006	17.431	0.009	-1.3	0.0312	0.0031	1.885E-07	0.056	0.011	8.1E-05	11.15	11.21	11.28	-1.0	-1.0	-1.0	none
SN2007ol	0.05587	0.054882	0.701	0.032	18.063	0.018	-3.5	0.0215	0.0022	0.0002758	-0.063	0.028	0.000324	9.71	9.82	9.93	-1.0	-1.0	-1.0	none
SN2007on	0.00649	0.0061833	0.589	0.003	13.032	0.009	-8.4	0.0098	0.001	6.047E-06	0.115	0.012	8.1E-05	10.78	11.04	11.45	-1.0	-1.0	-1.0	none
SN2007so	0.0296667	0.0289285	0.925	0.009	16.343	0.066	24.1	0.1161	0.0116	9.643E-05	0.014	0.076	0.004356	10.89	10.97	11.07	-1.0	-1.0	-1.0	none
SN2007st	0.0211667	0.0206508	0.863	0.022	15.839	0.066	4.3	0.0143	0.0014	-7.715E-05	0.149	0.083	0.004356	10.85	10.95	11.4	-1.0	-1.0	-1.0	none
SN2007ux	0.0308933	0.031996	0.628	0.006	17.407	0.008	-0.3	0.0386	0.0039	-1.053E-05	0.21	0.01	6.4E-05	10.23	10.3	10.34	-1.0	-1.0	-1.0	none
SN2008C	0.01661	0.0170667	0.967	0.024	15.668	0.06	3.4	0.072	0.0072	-6.754E-05	0.167	0.074	0.0036	10.35	10.49	10.55	-1.0	-1.0	-1.0	none
SN2008O	0.03883	0.039318	0.688	0.01	18.149	0.013	-1.3	0.0763	0.0076	3.342E-07	0.313	0.016	0.000169	11.12	11.33	11.59	-1.0	-1.0	-1.0	none
SN2008R	0.0134933	0.0128867	0.632	0.006	15.27	0.008	-1.4	0.0618	0.0062	1.943E-06	0.12	0.011	6.4E-05	11.07	11.25	11.31	-1.0	-1.0	-1.0	none
SN2008ar	0.02613	0.0272474	0.976	0.004	16.232	0.009	-7.1	0.0311	0.0031	1.942E-05	0.008	0.011	8.1E-05	10.11	10.21	10.28	-1.0	-1.0	-1.0	none
SN2008bc	0.0150767	0.0157067	1.057	0.005	14.748	0.004	-8.1	0.2251	0.0225	6.223E-06	-0.028	0.006	1.6E-05	9.95	10.1	10.23	-1.0	-1.0	-1.0	none
SN2008bd	0.0300833	0.0312803	0.66	0.038	17.675	0.052	16.3	0.0751	0.0075	-0.0005821	0.339	0.067	0.002704	10.99	11.07	11.13	-1.0	-1.0	-1.0	none
