samp cal     filt      Ho       eHo    sHo   p2.5   p25    p50    p75    p97.5 n_eff     Rhat
CSPII sbfj21 i        76.26    0.02   1.53  73.36  75.22  76.21  77.25  79.34 5806.0    1.0
CSPII sbfj21 r        75.63    0.02   1.84  72.11  74.37  75.60  76.85  79.45 6326.0    1.0
CSPII sbfj21 u        73.98    0.04   3.67  67.02  71.49  73.89  76.34  81.53 6934.0    1.0
CSPII trgb   B        69.64    0.02   1.71  66.36  68.48  69.61  70.79  73.03 5988.0    1.0
CSPII trgb   H        71.90    0.02   1.58  68.86  70.82  71.87  72.94  75.07 8293.0    1.0
CSPII trgb   J        73.04    0.03   2.02  69.25  71.67  72.99  74.37  77.15 5509.0    1.0
CSPII trgb   Y        70.23    0.03   2.43  65.64  68.58  70.17  71.84  75.16 6015.0    1.0
CSPII trgb   g        69.38    0.03   2.87  63.91  67.43  69.26  71.21  75.33 7661.0    1.0
CSPII trgb   i        69.09    0.02   1.24  66.74  68.26  69.08  69.92  71.58 5455.0    1.0
CSPII trgb   r        69.10    0.02   1.53  66.17  68.05  69.07  70.10  72.18 5743.0    1.0
CSPII trgb   u        68.78    0.03   2.79  63.47  66.89  68.69  70.62  74.40 9902.0    1.0
