sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,em,ml,mu,sample,subtype,quality,caltype
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.075,0.04,5.6,0.0275,0.0028,-6.918e-05,,0.019999999999999574,0.07940403012442127,0.0,N/A,-1.0,-1.0,,,,,10.65,,10.46,10.73,CSPII,Ia,0.977,none
ASAS14lt,0.0320233,0.0314552,0.944,0.008,16.478,0.012,-3.6,0.0474,0.0047,8.301e-06,,-0.0329999999999977,0.016401219466856725,0.0,N/A,-1.0,-1.0,,,,,10.64,,10.56,10.7,CSPII,Ia,0.984,none
ASAS14lw,0.0208855,0.0202609,1.25,0.007,15.737,0.008,-9.0,0.0117,0.0012,1.728e-05,,-0.012000000000000455,0.009219544457292887,0.0,N/A,-1.0,-1.0,,,,,6.35,,6.08,6.72,CSPII,Ia,0.939,none
ASAS14me,0.0178,0.017386,1.078,0.005,15.196,0.005,-11.4,0.0175,0.0018,5.863e-06,,0.006999999999999673,0.00565685424949238,0.0,N/A,-1.0,-1.0,,,,,9.05,,8.91,9.15,CSPII,Ia,0.981,none
ASAS14mf,0.03108,0.0301521,0.984,0.005,16.564,0.008,-4.7,0.0125,0.0013,1.71e-06,,-0.012000000000000455,0.01063014581273465,0.0,N/A,-1.0,-1.0,,,,,8.93,,8.66,9.03,CSPII,Ia,0.984,none
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.022,0.004,-6.6,0.0179,0.0018,1.042e-05,,-0.03399999999999892,0.005,0.0,N/A,-1.0,-1.0,,,,,10.68,,10.59,10.75,CSPII,Ia,0.984,none
ASAS14my,0.0205,0.0217279,0.923,0.005,15.629,0.007,-8.3,0.0316,0.0032,7.897e-06,,0.014999999999998792,0.01,0.0,N/A,-1.0,-1.0,,,,,10.31,,10.11,10.74,CSPII,Ia,0.975,none
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.548,0.007,-2.6,0.0656,0.0066,3.289e-06,,0.10299999999999976,0.009219544457292887,0.0,N/A,-1.0,-1.0,,,,,11.2,,11.05,11.35,CSPII,Ia,0.952,none
ASAS15al,0.0337766,0.0337612,1.077,0.028,16.931,0.026,0.4,0.0293,0.0029,2.302e-05,,0.054999999999999716,0.05920304046246273,0.0,N/A,-1.0,-1.0,,,,,8.07,,8.03,8.23,CSPII,Ia,0.916,none
ASAS15as,0.0286801,0.0297845,1.076,0.014,16.307,0.006,-1.3,0.0398,0.004,2.382e-05,,0.028999999999999915,0.0078102496759066544,0.0,N/A,-1.0,-1.0,,,,,7.66,,7.47,8.01,CSPII,Ia,0.985,none
ASAS15ba,0.0231167,0.0239771,0.967,0.004,16.068,0.005,-2.1,0.0223,0.0022,-3.214e-07,,0.008000000000000895,0.006403124237432849,0.0,N/A,-1.0,-1.0,,,,,7.99,,7.83,8.19,CSPII,Ia,0.983,none
ASAS15be,0.0218833,0.0213892,1.134,0.006,15.723,0.005,-7.2,0.0167,0.0017,8.486e-06,,0.019000000000000128,0.006403124237432849,0.0,N/A,-1.0,-1.0,,,,,7.8,,7.66,8.16,CSPII,Ia,0.976,none
ASAS15bm,0.0207856,0.0214395,0.991,0.005,15.658,0.007,-7.6,0.069,0.0069,5.701e-06,,0.12700000000000067,0.009899494936611667,0.0,N/A,-1.0,-1.0,,,,,10.02,,9.89,10.15,CSPII,Ia,0.976,none
ASAS15cb,0.04001,0.0411361,1.086,0.053,17.058,0.039,1.9,0.0279,0.0028,0.0003706,,0.10699999999999932,0.07940403012442127,0.0,N/A,-1.0,-1.0,,,,,10.28,,10.17,10.4,CSPII,Ia,0.583,none
ASAS15cd,0.0342863,0.0353887,1.003,0.005,16.87,0.007,-3.6,0.0261,0.0026,3.239e-06,,-0.021000000000000796,0.009219544457292887,0.0,N/A,-1.0,-1.0,,,,,9.95,,9.85,10.02,CSPII,Ia,0.983,none
ASAS15da,0.0487,0.0488203,0.853,0.025,17.808,0.035,2.5,0.0303,0.003,-5.409e-05,,-0.1319999999999979,0.07602631123499284,0.0,N/A,-1.0,-1.0,,,,,10.4,,10.23,10.48,CSPII,Ia,0.973,none
ASAS15db,0.01099,0.0113676,0.955,0.003,14.601,0.005,-6.1,0.029,0.0029,8.802e-07,,0.0860000000000003,0.006403124237432849,0.0,N/A,-1.0,-1.0,,,,,10.11,,9.98,10.19,CSPII,Ia,0.975,none
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.134,0.006,-0.8,0.0461,0.0046,-2.84e-06,,-0.0070000000000014495,0.009219544457292887,0.0,N/A,-1.0,-1.0,,,,,10.41,,10.31,10.52,CSPII,Ia,0.962,none
ASAS15eb,0.01647,0.0173082,0.821,0.018,15.451,0.013,-0.9,0.1652,0.0165,-4.496e-05,,-0.12899999999999956,0.015620499351813309,0.0,N/A,-1.0,-1.0,,,,,10.96,,10.79,11.4,CSPII,Ia,0.978,none
ASAS15fr,0.0334133,0.0345082,0.905,0.021,16.935,0.03,1.4,0.0321,0.0032,-1.218e-05,,-0.13299999999999912,0.0658027355054484,0.0,N/A,-1.0,-1.0,,,,,9.98,,9.89,10.06,CSPII,Ia-91T,0.978,none
ASAS15ga,0.0066267,0.0076517,0.496,0.03,14.966,0.229,-2.9,0.0236,0.0024,0.001827,,0.43100000000000094,0.04957822102496216,0.0,N/A,-1.0,-1.0,,,,,10.38,,10.18,10.48,CSPII,Ia-91bg,0.966,none
ASAS15go,0.01891,0.0192546,1.071,0.012,15.836,0.006,-4.0,0.1369,0.0137,2.373e-05,,0.22400000000000198,0.006403124237432849,0.0,N/A,-1.0,-1.0,,,,,10.18,,10.04,10.27,CSPII,Ia,0.981,none
ASAS15gr,0.0242832,0.0247678,1.035,0.007,15.953,0.006,-3.4,0.0823,0.0082,2.587e-06,,-0.036000000000001364,0.006403124237432849,0.0,N/A,-1.0,-1.0,,,,,8.94,,8.82,9.02,CSPII,Ia,0.983,none
ASAS15hf,0.0061733,0.0072452,0.943,0.005,14.06,0.008,-7.8,0.0854,0.0085,6.885e-06,,0.009000000000000341,0.01,0.0,N/A,-1.0,-1.0,,,,,9.56,,9.39,9.97,CSPII,Ia,0.961,none
ASAS15hg,0.02975,0.0308678,0.82,0.02,16.851,0.027,1.7,0.041,0.0041,-1.138e-05,,0.06299999999999883,0.060802960454241044,0.0,N/A,-1.0,-1.0,,,,,10.42,,10.3,10.51,CSPII,Ia,0.985,none
ASAS15hx,0.0083,0.0092051,1.039,0.005,13.278,0.005,-11.2,0.0415,0.0042,5.511e-06,,-0.030000000000001137,0.005,0.0,N/A,-1.0,-1.0,,,,,7.45,,7.06,7.89,CSPII,Ia,0.909,none
CSP12G,0.0369744,0.0379661,1.159,0.029,17.148,0.038,8.9,0.0283,0.0028,0.0001567,,0.11499999999999844,0.0738173421358423,0.0,N/A,-1.0,-1.0,,,,,8.41,,8.29,8.49,CSPII,Ia,0.985,none
CSP12J,0.01468,0.0149235,0.484,0.025,15.806,0.052,5.0,0.0678,0.0068,-0.000152,,0.5549999999999997,0.12841339493993606,0.0,N/A,-1.0,-1.0,,,,,10.09,,9.97,10.2,CSPII,Ia,0.917,none
CSP12N,0.0971328,0.0982741,1.053,0.012,18.845,0.007,-8.9,0.0429,0.0043,2.871e-05,,-0.11400000000000077,0.00848528137423857,0.0,N/A,-1.0,-1.0,,,,,7.51,,7.32,7.66,CSPII,Ia,0.985,none
CSP13N,0.04776,0.0487969,1.138,0.025,17.144,0.03,3.2,0.0238,0.0024,3.447e-05,,-0.003999999999997783,0.06661080993352356,0.0,N/A,-1.0,-1.0,,,,,10.07,,9.88,10.24,CSPII,Ia-91T,0.976,none
CSP13Q,0.089,0.0887656,0.76,0.231,19.121,0.049,1.8,0.0287,0.0029,-0.004321,,-0.046999999999997044,0.08154140052758477,0.0,N/A,-1.0,-1.0,,,,,10.25,,10.06,10.74,CSPII,Ia,0.986,none
CSP13V,0.0599585,0.0611394,1.05,0.082,17.823,0.031,17.9,0.0474,0.0047,-0.001527,,-0.14199999999999946,0.1430873858870865,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.987,none
CSP13Z,0.0788454,0.0800694,1.19,0.015,18.282,0.009,-7.1,0.0484,0.0048,3.969e-05,,-0.022999999999999687,0.01063014581273465,0.0,N/A,-1.0,-1.0,,,,,8.35,,8.25,8.85,CSPII,Ia-91T,0.98,none
CSP13aad,0.0868,0.0865709,1.19,0.033,18.695,0.034,3.2,0.0206,0.0021,0.0001443,,0.019999999999999574,0.06940461079784253,0.0,N/A,-1.0,-1.0,,,,,9.65,,9.59,9.8,CSPII,Ia,0.979,none
CSP13aaf,0.0775863,0.0787193,1.136,0.015,18.446,0.006,-5.6,0.0222,0.0022,8.404e-06,,-0.05600000000000094,0.00848528137423857,0.0,N/A,-1.0,-1.0,,,,,10.66,,10.53,11.04,CSPII,Ia,0.978,none
CSP13aam,0.0749481,0.0750921,1.136,0.017,18.12,0.009,-1.2,0.1643,0.0164,2.814e-05,,-0.15500000000000114,0.012727922061357855,0.0,N/A,-1.0,-1.0,,,,,9.05,,8.65,9.23,CSPII,Ia,0.968,none
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.136,0.044,0.8,0.0444,0.0044,-0.0003538,,0.125,0.08683893136145793,0.0,N/A,-1.0,-1.0,,,,,9.93,,9.8,10.09,CSPII,Ia,0.978,none
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.174,0.009,-6.9,0.0293,0.0029,8.309e-06,,-0.054999999999999716,0.01131370849898476,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.969,none
CSP13aay,0.0589592,0.0587551,1.14,0.012,18.285,0.007,-1.6,0.0159,0.0016,1.863e-05,,0.03900000000000148,0.009219544457292887,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.955,none
CSP13abl,0.0403721,0.0406288,0.817,0.051,19.654,0.021,-5.1,0.0862,0.0086,0.000599,,1.0730000000000004,0.06264982043070834,0.0,N/A,-1.0,-1.0,,,,,8.91,,8.9,9.04,CSPII,Ia,0.42,none
CSP13abm,0.0281805,0.027529,1.129,0.01,16.441,0.006,-4.0,0.1485,0.0149,7.648e-06,,-0.006000000000000227,0.00848528137423857,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.747,none
CSP13abs,0.0771466,0.0783462,1.208,0.014,18.348,0.013,-6.5,0.0208,0.0021,6.47e-05,,-0.06099999999999994,0.016278820596099707,0.0,N/A,-1.0,-1.0,,,,,6.36,,6.23,6.48,CSPII,Ia-91T,0.983,none
CSP14aaq,0.0359133,0.0361755,0.898,0.015,16.806,0.018,-6.7,0.0524,0.0052,5.937e-05,,-0.08999999999999986,0.020518284528683192,0.0,N/A,-1.0,-1.0,,,,,11.08,,11.01,11.48,CSPII,Ia,0.986,none
CSP14aar,0.0421708,0.0423854,0.982,0.022,17.186,0.005,-0.9,0.0934,0.0093,-1.608e-06,,-0.021000000000000796,0.007211102550927979,0.0,N/A,-1.0,-1.0,,,,,9.07,,8.9,9.42,CSPII,Ia,0.986,none
CSP14abk,0.0797448,0.0797387,0.96,0.025,17.939,0.019,-4.7,0.0663,0.0066,5.164e-05,,0.08099999999999952,0.02831960451701259,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.0,none
CSP14abn,0.0225,0.0232746,1.007,0.005,15.737,0.004,-1.4,0.0747,0.0075,-2.844e-06,,-0.0259999999999998,0.004242640687119285,0.0,N/A,-1.0,-1.0,,,,,9.75,,9.59,10.24,CSPII,Ia,0.976,none
CSP14acl,0.0299792,0.0289327,0.96,0.008,16.768,0.011,-0.2,0.0264,0.0026,-1.508e-05,,-0.07099999999999795,0.015,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.081,none
CSP14acy,0.0663741,0.0660269,0.966,0.011,17.725,0.013,-1.8,0.0174,0.0017,-5.076e-06,,0.12199999999999989,0.017804493814764857,0.0,N/A,-1.0,-1.0,,,,,8.19,,7.86,8.33,CSPII,Ia-91T,0.027,none
CSP14adc,0.03244,0.031651,0.811,0.01,16.934,0.009,-3.2,0.0949,0.0095,-1.967e-06,,0.23200000000000287,0.011401754250991379,0.0,N/A,-1.0,-1.0,,,,,10.81,,10.67,11.14,CSPII,Ia,0.976,none
CSP14ade,0.0624568,0.0626358,1.228,0.013,17.754,0.01,-7.4,0.077,0.0077,5.816e-05,,0.03500000000000014,0.012041594578792296,0.0,N/A,-1.0,-1.0,,,,,10.49,,10.33,10.97,CSPII,Ia-91T,0.963,none
CSP15B,0.0198862,0.0208198,0.718,0.006,15.952,0.007,-3.8,0.0641,0.0064,1.975e-06,,0.1399999999999988,0.010816653826391968,0.0,N/A,-1.0,-1.0,,,,,10.95,,10.78,11.42,CSPII,Ia,0.966,none
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.224,0.007,-6.7,0.0226,0.0023,9.618e-06,,0.4540000000000006,0.01063014581273465,0.0,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,0.08,11.06,11.22,N/A,N/A,0.0,s
KISS13j,0.0765333,0.0776331,0.895,0.026,18.716,0.016,-1.3,0.0326,0.0033,1.258e-06,,0.1319999999999979,0.020808652046684813,0.0,N/A,-1.0,-1.0,,,,,9.83,,9.65,10.21,CSPII,Ia,0.963,none
KISS13l,0.1320086,0.1330018,1.087,0.115,19.664,0.041,1.9,0.0137,0.0014,0.0001036,,-0.038000000000000256,0.09964436762808021,0.0,N/A,-1.0,-1.0,,,,,8.69,,8.32,8.85,CSPII,Ia,0.987,none
KISS13v,0.0954,0.0962132,0.984,0.014,19.201,0.013,-9.1,0.0195,0.002,3.782e-05,,0.0940000000000012,0.01769180601295413,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.98,none
KISS15m,0.02432,0.0253844,0.425,0.009,17.525,0.024,-6.1,0.0277,0.0028,0.0001404,,0.6219999999999999,0.03176476034853718,0.0,N/A,-1.0,-1.0,,,,,9.78,,9.67,9.94,CSPII,Ia-91bg,0.958,none
KISS15n,0.023084,0.0239783,1.225,0.009,15.563,0.009,-14.0,0.0088,0.0009,3.097e-05,,0.09700000000000131,0.01063014581273465,0.0,N/A,-1.0,-1.0,,,,,8.0,,7.8,8.17,CSPII,Ia-91T,0.85,none
LSQ11bk,0.0402721,0.0400251,1.071,0.016,17.089,0.007,-0.7,0.0936,0.0094,2.297e-05,,-0.0779999999999994,0.01063014581273465,0.0,N/A,-1.0,-1.0,,,,,6.53,,6.5,6.59,CSPII,Ia,0.967,none
LSQ11ot,0.02732,0.0273222,0.982,0.004,17.427,0.005,-5.3,0.1581,0.0158,2.107e-06,,0.3200000000000003,0.006403124237432849,0.0,N/A,-1.0,-1.0,,,,,10.17,,10.0,10.22,CSPII,Ia,0.976,none
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.196,0.012,-5.1,0.1457,0.0146,4.022e-05,,0.2870000000000026,0.01769180601295413,0.0,N/A,-1.0,-1.0,,,,,10.7,,10.52,10.8,CSPII,Ia,0.948,none
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.396,0.032,3.0,0.0371,0.0037,6.263e-05,,0.08899999999999864,0.07300684899377592,0.0,N/A,-1.0,-1.0,,,,,9.3,,9.29,9.43,CSPII,Ia,0.986,none
LSQ12aor,0.0933354,0.0945588,0.923,0.018,19.423,0.013,-4.7,0.0415,0.0042,1.57e-05,,-0.06899999999999906,0.02469817807045694,0.0,N/A,-1.0,-1.0,,,,,9.85,,9.67,10.15,CSPII,Ia,0.986,none
LSQ12bld,0.0833623,0.084303,0.896,0.009,18.978,0.008,-7.9,0.0233,0.0023,3.113e-05,,0.0779999999999994,0.014422205101855958,0.0,N/A,-1.0,-1.0,,,,,10.55,,10.42,10.64,CSPII,Ia,0.987,none
LSQ12btn,0.0541733,0.0552706,0.829,0.01,18.148,0.008,-1.7,0.0333,0.0033,3.042e-07,,0.10000000000000142,0.01063014581273465,0.0,N/A,-1.0,-1.0,,,,,10.9,,10.84,10.94,CSPII,Ia,0.986,none
LSQ12ca,0.0994,0.0995466,0.947,0.032,19.241,0.036,1.1,0.0417,0.0042,-0.0001478,,-0.04999999999999716,0.07280109889280519,0.0,N/A,-1.0,-1.0,,,,,10.44,,10.34,10.64,CSPII,Ia,0.962,none
LSQ12cda,0.1374948,0.1384035,0.813,0.126,20.063,0.08,3.9,0.0284,0.0028,-0.005999,,0.045000000000001705,0.1265701386583739,0.0,N/A,-1.0,-1.0,,,,,9.82,,9.69,9.98,CSPII,Ia,0.859,none
LSQ12cdl,0.1079253,0.1090245,0.994,0.044,19.341,0.033,0.5,0.0492,0.0049,-0.0001451,,-0.14099999999999824,0.07280109889280519,0.0,N/A,-1.0,-1.0,,,,,8.81,,8.79,8.93,CSPII,Ia,0.986,none
LSQ12fuk,0.0205857,0.0205571,1.004,0.006,15.766,0.006,-0.2,0.0714,0.0071,-9.512e-06,,-0.008000000000000895,0.012041594578792296,0.0,N/A,-1.0,-1.0,,,,,8.34,,8.2,8.45,CSPII,Ia,0.982,none
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.54,0.01,-5.9,0.0179,0.0018,5.029e-06,,0.24599999999999866,0.0170293863659264,0.0,N/A,-1.0,-1.0,,,,,10.74,,10.55,10.93,CSPII,Ia,0.981,none
LSQ12fxd,0.03122,0.0313344,1.16,0.006,16.383,0.005,-9.8,0.0217,0.0022,9.87e-06,,-0.006000000000000227,0.00565685424949238,0.0,N/A,-1.0,-1.0,,,,,10.28,,10.16,10.4,CSPII,Ia,0.98,none
LSQ12gdj,0.0303033,0.0292813,1.165,0.007,16.025,0.006,-11.2,0.0199,0.002,7.981e-06,,-0.030999999999998806,0.007071067811865475,0.0,N/A,-1.0,-1.0,,,,,8.66,,8.36,8.76,CSPII,Ia-91T,0.969,none
LSQ12gef,0.0641556,0.0631798,1.176,0.033,18.543,0.03,0.2,0.0512,0.0051,8.735e-05,,0.2690000000000019,0.0658027355054484,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.987,none
LSQ12gln,0.1020294,0.1021611,1.109,0.014,19.164,0.006,-3.9,0.0201,0.002,2.696e-05,,-0.0660000000000025,0.0078102496759066544,0.0,N/A,-1.0,-1.0,,,,,8.75,,8.6,9.07,CSPII,Ia,0.986,none
LSQ12gxj,0.0353,0.034596,1.092,0.01,17.758,0.005,-9.9,0.0571,0.0057,1.115e-05,,0.2640000000000029,0.00565685424949238,0.0,N/A,-1.0,-1.0,,,,,9.18,,9.06,9.31,CSPII,Ia,0.655,none
LSQ12gyc,0.0931355,0.0924863,1.148,0.028,18.908,0.007,-0.6,0.0211,0.0021,4.034e-05,,-0.045999999999999375,0.010816653826391968,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.98,none
LSQ12gzm,0.0999308,0.0993978,1.143,0.026,19.494,0.01,-5.9,0.0208,0.0021,-8.133e-05,,0.030000000000001137,0.014212670403551895,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.986,none
LSQ12hjm,0.0713506,0.0707978,0.962,0.005,18.471,0.004,-5.8,0.0246,0.0025,3.641e-06,,-0.06800000000000139,0.00565685424949238,0.0,N/A,-1.0,-1.0,,,,,10.09,,9.93,10.25,CSPII,Ia,0.982,none
LSQ12hno,0.0472673,0.0468084,0.989,0.014,17.906,0.008,-1.1,0.0994,0.0099,-1.142e-05,,0.04900000000000304,0.01,0.0,N/A,-1.0,-1.0,,,,,7.7,,7.64,7.9,CSPII,Ia,0.983,none
LSQ12hnr,0.1243,0.1255265,1.095,0.07,19.547,0.036,1.9,0.0324,0.0032,0.0001036,,0.006000000000000227,0.07684399781375251,0.0,N/A,-1.0,-1.0,,,,,8.05,,7.93,8.16,CSPII,Ia,0.982,none
LSQ12hvj,0.0712507,0.0723911,1.167,0.015,18.35,0.008,-5.3,0.0458,0.0046,2.902e-05,,0.08099999999999952,0.009899494936611667,0.0,N/A,-1.0,-1.0,,,,,9.05,,8.79,9.22,CSPII,Ia,0.986,none
LSQ12hxx,0.06936,0.0689135,1.19,0.024,18.243,0.012,-0.6,0.0153,0.0015,0.0001147,,0.0779999999999994,0.016401219466856725,0.0,N/A,-1.0,-1.0,,,,,10.45,,10.28,10.58,CSPII,Ia,0.986,none
LSQ12hzj,0.0334,0.0345752,0.969,0.004,16.671,0.005,-4.1,0.0569,0.0057,3.461e-06,,-0.06899999999999906,0.007071067811865475,0.0,N/A,-1.0,-1.0,,,,,9.35,,9.32,9.73,CSPII,Ia,0.985,none
LSQ12hzs,0.07208,0.0718169,1.02,0.018,18.725,0.009,-7.8,0.0227,0.0023,3.88e-05,,0.09999999999999787,0.01063014581273465,0.0,N/A,-1.0,-1.0,,,,,10.02,,9.88,10.42,CSPII,Ia,0.985,none
LSQ13abo,0.0674467,0.0681328,0.88,0.019,18.536,0.014,-7.0,0.0906,0.0091,0.0001312,,0.20700000000000074,0.02778488797889961,0.0,N/A,-1.0,-1.0,,,,,10.31,,10.04,10.34,CSPII,Ia,0.986,none
LSQ13aiz,0.0092,0.0102493,0.964,0.006,13.561,0.015,-8.4,0.0788,0.0079,1.075e-05,,0.08000000000000007,0.008602325267042627,0.0,N/A,-1.0,-1.0,,,,,8.24,,8.12,8.34,CSPII,Ia,0.716,none
LSQ13cwp,0.0666,0.0662474,0.944,0.017,18.318,0.015,-6.6,0.1326,0.0133,7.919e-05,,0.08800000000000097,0.022803508501982758,0.0,N/A,-1.0,-1.0,,,,,10.54,,10.39,10.7,CSPII,Ia,0.986,none
LSQ13dby,0.0999308,0.0995683,1.139,0.014,19.258,0.008,-5.8,0.0093,0.0009,6.379e-06,,-0.03999999999999915,0.01063014581273465,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.865,none
LSQ13dcy,0.0801,0.0800671,0.94,0.025,19.024,0.013,-4.1,0.0408,0.0041,9.231e-05,,0.11599999999999966,0.0191049731745428,0.0,N/A,-1.0,-1.0,,,,,9.18,,9.01,9.34,CSPII,Ia,0.929,none
LSQ13dhj,0.0935,0.0929027,1.167,0.019,18.971,0.013,-6.7,0.0132,0.0013,3.636e-05,,0.05999999999999872,0.0191049731745428,0.0,N/A,-1.0,-1.0,,,,,8.63,,8.27,8.78,CSPII,Ia,0.985,none
LSQ13dkp,0.0689367,0.0685268,0.646,0.009,18.839,0.01,-4.6,0.0145,0.0015,2.819e-06,,0.00999999999999801,0.01345362404707371,0.0,N/A,-1.0,-1.0,,,,,10.8,,10.61,10.92,CSPII,Ia,0.963,none
LSQ13dpm,0.0508648,0.0520617,1.054,0.009,17.793,0.004,-7.8,0.0529,0.0053,1.248e-05,,-0.00999999999999801,0.005,0.0,N/A,-1.0,-1.0,,,,,9.17,,9.06,9.6,CSPII,Ia,0.984,none
LSQ13dqh,0.1038,0.1035425,1.19,0.022,19.37,0.01,-5.5,0.0501,0.005,4.751e-05,,-0.030999999999998806,0.0170293863659264,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.969,none
LSQ13dsm,0.0423707,0.0419767,0.909,0.004,17.367,0.006,-11.8,0.0088,0.0009,5.572e-06,,-0.015999999999998238,0.0078102496759066544,0.0,N/A,-1.0,-1.0,,,,,9.01,,8.85,9.14,CSPII,Ia,0.984,none
LSQ13lq,0.0755477,0.0765051,1.069,0.026,18.218,0.004,-6.0,0.0215,0.0022,1.956e-05,,-0.07099999999999795,0.00565685424949238,0.0,N/A,-1.0,-1.0,,,,,8.44,,8.0,8.63,CSPII,Ia,0.951,none
LSQ13pf,0.0860404,0.0870045,0.915,0.039,19.291,0.034,1.3,0.0558,0.0056,-6.853e-05,,0.23300000000000054,0.07300684899377592,0.0,N/A,-1.0,-1.0,,,,,10.26,,10.14,10.44,CSPII,Ia-91T,0.957,none
LSQ13ry,0.0298367,0.031032,0.881,0.006,16.7,0.009,-12.2,0.0403,0.004,1.283e-05,,-0.047999999999998266,0.011401754250991379,0.0,N/A,-1.0,-1.0,,,,,9.64,,9.54,9.7,CSPII,Ia,0.971,none
LSQ13vy,0.0417711,0.0421068,0.891,0.005,17.583,0.006,-5.8,0.0676,0.0068,9.604e-06,,0.07599999999999696,0.0078102496759066544,0.0,N/A,-1.0,-1.0,,,,,10.17,,10.15,10.33,CSPII,Ia,0.985,none
