\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
SN2005ir & 0.0752 & 0.07631 & 18.856 & 0.023 & 1.03 & 0.02 & 0.05 & 0.01487 & -2e-05 & 0.0 & 9.23 & CSPI & Ia \\
SN2005kc & 0.0139 & 0.01511 & 16.095 & 0.013 & 0.932 & 0.006 & 0.238 & 0.01063 & 1e-05 & 0.0 & 11.06 & CSPI & Ia \\
SN2005ke & 0.0045 & 0.00488 & 16.025 & 0.013 & 0.438 & 0.003 & 0.67 & 0.01204 & 0.0 & 0.0 & 10.43 & CSPI & Ia-91bg \\
SN2005ki & 0.0204 & 0.01919 & 15.878 & 0.008 & 0.839 & 0.003 & -0.018 & 0.00707 & 0.0 & 0.0 & 10.8 & CSPI & Ia \\
SN2005ku & 0.0442 & 0.04541 & 18.288 & 0.103 & 0.969 & 0.034 & 0.093 & 0.0778 & -0.00032 & 0.0 & 10.04 & CSPI & Ia \\
SN2005lu & 0.0313 & 0.03199 & 17.707 & 0.09 & 1.063 & 0.03 & 0.247 & 0.07201 & -0.00018 & 0.0 & 9.86 & CSPI & Ia \\
SN2005mc & 0.026 & 0.0252 & 18.035 & 0.087 & 0.664 & 0.02 & 0.314 & 0.06742 & -9e-05 & 0.0 & 10.95 & CSPI & Ia \\
SN2005na & 0.0268 & 0.0263 & 16.111 & 0.01 & 0.971 & 0.018 & -0.02 & 0.00781 & -1e-05 & 0.0 & 10.97 & CSPI & Ia \\
SN2006X & 0.0063 & 0.00524 & 17.227 & 0.015 & 0.971 & 0.004 & 1.214 & 0.01131 & 1e-05 & 0.0 & 9.33 & CSPI & Ia \\
SN2006ax & 0.018 & 0.01673 & 15.362 & 0.01 & 1.003 & 0.004 & -0.072 & 0.00781 & 1e-05 & 0.0 & 10.92 & CSPI & Ia \\
SN2006ef & 0.017 & 0.01787 & 15.842 & 0.097 & 0.857 & 0.02 & -0.024 & 0.08071 & -5e-05 & 0.0 & 10.35 & CSPI & Ia \\
SN2006ej & 0.0193 & 0.02044 & 16.191 & 0.072 & 0.842 & 0.018 & 0.029 & 0.06022 & -1e-05 & 0.0 & 10.63 & CSPI & Ia \\
SN2006eq & 0.0484 & 0.04947 & 19.517 & 0.162 & 0.649 & 0.023 & 0.31 & 0.07742 & -0.00012 & 0.0 & 10.19 & CSPI & Ia \\
SN2006et & 0.0216 & 0.02216 & 16.509 & 0.011 & 1.18 & 0.006 & 0.141 & 0.00781 & -0.0 & 0.0 & 10.8 & CSPI & Ia \\
SN2006fw & 0.082 & 0.08294 & 19.469 & 0.101 & 0.922 & 0.045 & 0.104 & 0.06155 & -0.0001 & 0.0 & 9.42 & CSPI & Ia \\
SN2006gj & 0.027 & 0.02833 & 18.367 & 0.017 & 0.708 & 0.007 & 0.298 & 0.01204 & -1e-05 & 0.0 & 10.53 & CSPI & Ia \\
SN2006gt & 0.0436 & 0.04474 & 19.045 & 0.028 & 0.575 & 0.01 & 0.249 & 0.01628 & -0.0 & 0.0 & 9.93 & CSPI & Ia-91bg \\
SN2006hb & 0.0153 & 0.01533 & 16.285 & 0.081 & 0.685 & 0.018 & 0.185 & 0.06603 & -4e-05 & 0.0 & 10.22 & CSPI & Ia-86G \\
SN2006hx & 0.0444 & 0.04546 & 18.014 & 0.049 & 0.977 & 0.012 & 0.116 & 0.03538 & 9e-05 & 0.0 & 10.31 & CSPI & Ia \\
SN2006is & 0.0314 & 0.03133 & 16.584 & 0.085 & 1.092 & 0.037 & 0.039 & 0.0672 & -0.00026 & 0.0 & 7.1 & CSPI & Ia \\
SN2006kf & 0.0208 & 0.02129 & 16.438 & 0.01 & 0.771 & 0.005 & 0.026 & 0.00922 & 0.0 & 0.0 & 10.82 & CSPI & Ia \\
SN2006lu & 0.0544 & 0.05337 & 17.828 & 0.082 & 1.002 & 0.019 & -0.018 & 0.0658 & -4e-05 & 0.0 & 10.29 & CSPI & Ia \\
SN2006mr & 0.0055 & 0.00587 & 16.628 & 0.028 & 0.335 & 0.004 & 0.731 & 0.02759 & 1e-05 & 0.0 & 11.19 & CSPI & Ia-91bg \\
SN2006ob & 0.0583 & 0.0592 & 18.383 & 0.024 & 0.743 & 0.009 & 0.111 & 0.01487 & 0.0 & 0.0 & 11.26 & CSPI & Ia \\
SN2006os & 0.0321 & 0.03279 & 18.29 & 0.095 & 0.944 & 0.02 & 0.317 & 0.065 & -4e-05 & 0.0 & 10.81 & CSPI & Ia \\
SN2006py & 0.0566 & 0.05786 & 18.303 & 0.034 & 0.975 & 0.018 & 0.077 & 0.02062 & -7e-05 & 0.0 & 9.1 & CSPI & Ia \\
SN2007N & 0.014 & 0.01287 & 20.258 & 0.098 & 0.375 & 0.006 & 0.953 & 0.0236 & 6e-05 & 0.0 & 10.19 & CSPI & Ia-91bg \\
SN2007S & 0.015 & 0.01387 & 16.394 & 0.014 & 1.187 & 0.007 & 0.366 & 0.01082 & 1e-05 & 0.0 & 9.98 & CSPI & Ia-91T \\
SN2007ai & 0.032 & 0.03164 & 17.415 & 0.092 & 1.195 & 0.015 & 0.182 & 0.0136 & -8e-05 & 0.0 & 9.91 & CSPI & Ia-91T \\
SN2007al & 0.0133 & 0.01211 & 18.494 & 0.037 & 0.385 & 0.006 & 0.7 & 0.025 & 2e-05 & 0.0 & 9.47 & CSPI & Ia-91bg \\
SN2007as & 0.0179 & 0.01756 & 16.151 & 0.011 & 0.89 & 0.004 & 0.08 & 0.0086 & -0.0 & 0.0 & 10.36 & CSPI & Ia \\
SN2007ax & 0.0076 & 0.00686 & 17.838 & 0.045 & 0.404 & 0.008 & 0.689 & 0.02561 & 4e-05 & 0.0 & 10.23 & CSPI & Ia-91bg \\
SN2007ba & 0.0391 & 0.03849 & 18.638 & 0.039 & 0.556 & 0.008 & 0.328 & 0.01921 & 0.0 & 0.0 & 10.99 & CSPI & Ia-91bg \\
SN2007bc & 0.0218 & 0.02076 & 16.269 & 0.011 & 0.909 & 0.005 & 0.033 & 0.0086 & -0.0 & 0.0 & 10.73 & CSPI & Ia \\
SN2007bd & 0.0318 & 0.031 & 16.998 & 0.025 & 0.917 & 0.006 & -0.001 & 0.01562 & 3e-05 & 0.0 & 10.82 & CSPI & Ia \\
