\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
ASAS15bm & 0.0214 & 0.02079 & 16.25 & 0.012 & 0.991 & 0.005 & 0.127 & 0.0099 & 0.0 & 0.0 & 10.02 & CSPII & Ia \\
ASAS15cb & 0.0411 & 0.04001 & 17.662 & 0.076 & 1.086 & 0.053 & 0.107 & 0.0794 & 0.00017 & 0.0 & 10.28 & CSPII & Ia \\
ASAS15cd & 0.0354 & 0.03429 & 17.475 & 0.011 & 1.003 & 0.005 & -0.021 & 0.00922 & -0.0 & 0.0 & 9.95 & CSPII & Ia \\
ASAS15da & 0.0488 & 0.0487 & 18.36 & 0.07 & 0.853 & 0.025 & -0.132 & 0.07603 & -2e-05 & 0.0 & 10.4 & CSPII & Ia \\
ASAS15db & 0.0114 & 0.01099 & 15.111 & 0.008 & 0.955 & 0.003 & 0.086 & 0.0064 & -0.0 & 0.0 & 10.11 & CSPII & Ia \\
ASAS15dd & 0.0247 & 0.02436 & 16.659 & 0.01 & 0.849 & 0.006 & -0.007 & 0.00922 & -0.0 & 0.0 & 10.41 & CSPII & Ia \\
ASAS15eb & 0.0173 & 0.01647 & 15.937 & 0.024 & 0.821 & 0.018 & -0.129 & 0.01562 & -9e-05 & 0.0 & 10.96 & CSPII & Ia \\
ASAS15fr & 0.0345 & 0.03341 & 17.564 & 0.065 & 0.905 & 0.021 & -0.133 & 0.0658 & -1e-05 & 0.0 & 9.98 & CSPII & Ia-91T \\
ASAS15ga & 0.0077 & 0.00663 & 15.073 & 0.173 & 0.496 & 0.03 & 0.431 & 0.04958 & -0.00041 & 0.0 & 10.38 & CSPII & Ia-91bg \\
ASAS15go & 0.0193 & 0.01891 & 16.426 & 0.011 & 1.071 & 0.012 & 0.224 & 0.0064 & 0.0 & 0.0 & 10.18 & CSPII & Ia \\
ASAS15gr & 0.0248 & 0.02428 & 16.565 & 0.01 & 1.035 & 0.007 & -0.036 & 0.0064 & -1e-05 & 0.0 & 8.94 & CSPII & Ia \\
ASAS15hf & 0.0072 & 0.00617 & 14.571 & 0.015 & 0.943 & 0.005 & 0.009 & 0.01 & 0.0 & 0.0 & 9.56 & CSPII & Ia \\
ASAS15hg & 0.0309 & 0.02975 & 17.352 & 0.061 & 0.82 & 0.02 & 0.063 & 0.0608 & -0.0 & 0.0 & 10.42 & CSPII & Ia \\
ASAS15hx & 0.0092 & 0.0083 & 13.962 & 0.008 & 1.039 & 0.005 & -0.03 & 0.005 & 0.0 & 0.0 & 7.45 & CSPII & Ia \\
CSP12G & 0.038 & 0.03697 & 17.646 & 0.07 & 1.159 & 0.029 & 0.115 & 0.07382 & 0.00017 & 0.0 & 8.41 & CSPII & Ia \\
CSP12J & 0.0149 & 0.01468 & 15.974 & 0.076 & 0.484 & 0.025 & 0.555 & 0.12841 & -5e-05 & 0.0 & 10.09 & CSPII & Ia \\
CSP12N & 0.0983 & 0.09713 & 19.64 & 0.011 & 1.053 & 0.012 & -0.114 & 0.00849 & 1e-05 & 0.0 & 7.51 & CSPII & Ia \\
CSP13N & 0.0488 & 0.04776 & 17.79 & 0.063 & 1.138 & 0.025 & -0.004 & 0.06661 & 4e-05 & 0.0 & 10.07 & CSPII & Ia-91T \\
CSP13Q & 0.0888 & 0.089 & 19.571 & 0.114 & 0.76 & 0.231 & -0.047 & 0.08154 & -0.00981 & 0.0 & 10.25 & CSPII & Ia \\
CSP13V & 0.0611 & 0.05996 & 18.576 & 0.049 & 1.05 & 0.082 & -0.142 & 0.14309 & -0.00127 & 0.0 & 11.5 & CSPII & Ia \\
CSP13Z & 0.0801 & 0.07885 & 18.962 & 0.016 & 1.19 & 0.015 & -0.023 & 0.01063 & 7e-05 & 0.0 & 8.35 & CSPII & Ia-91T \\
CSP13aad & 0.0866 & 0.0868 & 19.257 & 0.072 & 1.19 & 0.033 & 0.02 & 0.0694 & 0.00017 & 0.0 & 9.65 & CSPII & Ia \\
CSP13aaf & 0.0787 & 0.07759 & 19.062 & 0.012 & 1.136 & 0.015 & -0.056 & 0.00849 & 2e-05 & 0.0 & 10.66 & CSPII & Ia \\
CSP13aam & 0.0751 & 0.07495 & 19.107 & 0.015 & 1.136 & 0.017 & -0.155 & 0.01273 & 4e-05 & 0.0 & 9.05 & CSPII & Ia \\
CSP13aao & 0.0616 & 0.06136 & 18.588 & 0.106 & 0.696 & 0.049 & 0.125 & 0.08684 & -0.00131 & 0.0 & 9.93 & CSPII & Ia \\
CSP13aaq & 0.0598 & 0.05976 & 18.718 & 0.016 & 0.984 & 0.007 & -0.055 & 0.01131 & 0.0 & 0.0 & 11.5 & CSPII & Ia \\
