\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
PTF13ebh & 0.0125 & 0.01326 & 14.981 & 0.006 & 0.636 & 0.004 & 0.123 & 0.00922 & 1e-05 & 0.0 & 10.86 & CSPII & Ia \\
PTF14aje & 0.0282 & 0.02767 & 18.229 & 0.007 & 0.684 & 0.005 & 0.608 & 0.01082 & 1e-05 & 0.0 & 10.78 & CSPII & Ia \\
PTF14fpg & 0.0328 & 0.034 & 16.718 & 0.006 & 1.078 & 0.013 & 0.01 & 0.00849 & 3e-05 & 0.0 & 11.5 & CSPII & Ia \\
PTF14w & 0.0201 & 0.01889 & 16.038 & 0.003 & 0.742 & 0.004 & 0.056 & 0.005 & 0.0 & 0.0 & 9.14 & CSPII & Ia \\
PTF14yw & 0.0181 & 0.01697 & 15.723 & 0.007 & 0.856 & 0.008 & -0.038 & 0.01063 & 2e-05 & 0.0 & 10.24 & CSPII & Ia \\
SN2004ef & 0.0298 & 0.03097 & 16.793 & 0.004 & 0.84 & 0.003 & 0.117 & 0.00566 & 0.0 & 0.0 & 10.74 & CSPI & Ia \\
SN2004eo & 0.0147 & 0.01569 & 15.057 & 0.008 & 0.869 & 0.005 & 0.025 & 0.00922 & 1e-05 & 0.0 & 11.16 & CSPI & Ia \\
SN2004ey & 0.0146 & 0.01578 & 14.754 & 0.003 & 1.009 & 0.003 & -0.051 & 0.00424 & 0.0 & 0.0 & 10.06 & CSPI & Ia \\
SN2004gs & 0.0283 & 0.02663 & 17.055 & 0.004 & 0.705 & 0.003 & 0.202 & 0.0064 & 0.0 & 0.0 & 10.63 & CSPI & Ia \\
SN2004gu & 0.0469 & 0.04583 & 17.335 & 0.009 & 1.149 & 0.011 & 0.145 & 0.01562 & -1e-05 & 0.0 & 10.02 & CSPI & Ia-06gz \\
SN2005A & 0.0183 & 0.01913 & 17.68 & 0.01 & 0.963 & 0.007 & 0.984 & 0.01562 & 1e-05 & 0.0 & 11.19 & CSPI & Ia \\
SN2005M & 0.0256 & 0.022 & 15.862 & 0.003 & 1.204 & 0.003 & 0.018 & 0.00424 & 0.0 & 0.0 & 8.8 & CSPI & Ia-91T \\
SN2005ag & 0.0801 & 0.07937 & 18.409 & 0.005 & 1.145 & 0.009 & -0.03 & 0.00781 & -1e-05 & 0.0 & 10.9 & CSPI & Ia \\
SN2005al & 0.0133 & 0.01239 & 14.86 & 0.005 & 0.865 & 0.004 & -0.051 & 0.00721 & -0.0 & 0.0 & 10.49 & CSPI & Ia \\
SN2005am & 0.009 & 0.00789 & 13.628 & 0.006 & 0.764 & 0.004 & 0.074 & 0.00781 & 0.0 & 0.0 & 10.83 & CSPI & Ia \\
SN2005be & 0.0356 & 0.035 & 16.905 & 0.035 & 0.761 & 0.023 & 0.053 & 0.0722 & -4e-05 & 0.0 & 10.4 & CSPI & Ia \\
SN2005bg & 0.0242 & 0.02307 & 15.819 & 0.03 & 1.061 & 0.037 & 0.042 & 0.06544 & -0.0001 & 0.0 & 9.91 & CSPI & Ia \\
SN2005bl & 0.0251 & 0.02404 & 18.151 & 0.024 & 0.427 & 0.011 & 0.689 & 0.0336 & 0.0001 & 0.0 & 11.01 & CSPI & Ia-91bg \\
SN2005bo & 0.015 & 0.01389 & 15.508 & 0.005 & 0.881 & 0.008 & 0.242 & 0.0064 & -1e-05 & 0.0 & 10.5 & CSPI & Ia \\
SN2005el & 0.0149 & 0.0149 & 14.849 & 0.01 & 0.865 & 0.003 & -0.073 & 0.01063 & 1e-05 & 0.0 & 10.84 & CSPI & Ia \\
SN2005eq & 0.0284 & 0.02896 & 16.231 & 0.006 & 1.234 & 0.007 & 0.035 & 0.0086 & 0.0 & 0.0 & 10.56 & CSPI & Ia-91T \\
SN2005hc & 0.0445 & 0.04591 & 17.26 & 0.004 & 1.142 & 0.007 & 0.012 & 0.0064 & -0.0 & 0.0 & 10.6 & CSPI & Ia \\
SN2005hj & 0.057 & 0.05797 & 17.654 & 0.01 & 1.152 & 0.019 & 0.08 & 0.01556 & -1e-05 & 0.0 & 9.32 & CSPI & Ia \\
SN2005iq & 0.0329 & 0.03402 & 16.743 & 0.008 & 0.88 & 0.006 & -0.032 & 0.01063 & 1e-05 & 0.0 & 10.54 & CSPI & Ia \\
SN2005ir & 0.0752 & 0.07631 & 18.371 & 0.01 & 1.03 & 0.02 & 0.05 & 0.01487 & 6e-05 & 0.0 & 9.23 & CSPI & Ia \\
