\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
LSQ12hno & 0.0468 & 0.04727 & 18.123 & 0.028 & 0.989 & 0.014 & 0.049 & 0.01 & -1e-05 & 0.0 & 7.7 & CSPII & Ia \\
LSQ12hvj & 0.0724 & 0.07125 & 18.925 & 0.04 & 1.167 & 0.015 & 0.081 & 0.0099 & 3e-05 & 0.0 & 9.05 & CSPII & Ia \\
LSQ12hxx & 0.0689 & 0.06936 & 19.094 & 0.07 & 1.19 & 0.024 & 0.078 & 0.0164 & -7e-05 & 0.0 & 10.45 & CSPII & Ia \\
LSQ12hzj & 0.0346 & 0.0334 & 17.489 & 0.033 & 0.969 & 0.004 & -0.069 & 0.00707 & -0.0 & 0.0 & 9.35 & CSPII & Ia \\
LSQ12hzs & 0.0718 & 0.07208 & 19.071 & 0.04 & 1.02 & 0.018 & 0.1 & 0.01063 & 1e-05 & 0.0 & 10.02 & CSPII & Ia \\
LSQ13cwp & 0.0662 & 0.0666 & 19.127 & 0.105 & 0.944 & 0.017 & 0.088 & 0.0228 & 0.0 & 0.0 & 10.54 & CSPII & Ia \\
LSQ13dpm & 0.0521 & 0.05086 & 18.317 & 0.017 & 1.054 & 0.009 & -0.01 & 0.005 & 1e-05 & 0.0 & 9.17 & CSPII & Ia \\
LSQ13dsm & 0.042 & 0.04237 & 17.729 & 0.046 & 0.909 & 0.004 & -0.016 & 0.00781 & 0.0 & 0.0 & 9.01 & CSPII & Ia \\
LSQ13lq & 0.0765 & 0.07555 & 19.095 & 0.052 & 1.069 & 0.026 & -0.071 & 0.00566 & 4e-05 & 0.0 & 8.44 & CSPII & Ia \\
LSQ13pf & 0.087 & 0.08604 & 20.035 & 0.183 & 0.915 & 0.039 & 0.233 & 0.07301 & -5e-05 & 0.0 & 10.26 & CSPII & Ia-91T \\
LSQ13ry & 0.031 & 0.02984 & 17.398 & 0.042 & 0.881 & 0.006 & -0.048 & 0.0114 & 1e-05 & 0.0 & 9.64 & CSPII & Ia \\
LSQ13vy & 0.0421 & 0.04177 & 17.953 & 0.117 & 0.891 & 0.005 & 0.076 & 0.00781 & 2e-05 & 0.0 & 10.17 & CSPII & Ia \\
LSQ14ahc & 0.0518 & 0.05086 & 18.1 & 0.033 & 1.222 & 0.01 & -0.029 & 0.01063 & -0.0 & 0.0 & 9.13 & CSPII & Ia \\
LSQ14ahm & 0.051 & 0.04977 & 18.138 & 0.046 & 1.156 & 0.009 & -0.051 & 0.01063 & -7e-05 & 0.0 & 8.2 & CSPII & Ia \\
LSQ14ba & 0.0788 & 0.07755 & 19.433 & 0.099 & 0.958 & 0.006 & 0.035 & 0.01345 & 3e-05 & 0.0 & 9.47 & CSPII & Ia \\
LSQ14foj & 0.0452 & 0.04607 & 18.14 & 0.049 & 1.012 & 0.01 & 0.05 & 0.01063 & 1e-05 & 0.0 & 8.44 & CSPII & Ia \\
LSQ14fom & 0.0553 & 0.05626 & 18.342 & 0.046 & 0.947 & 0.009 & 0.023 & 0.01131 & 1e-05 & 0.0 & 9.54 & CSPII & Ia \\
LSQ14gfb & 0.0528 & 0.05271 & 18.939 & 0.109 & 0.586 & 0.033 & 0.53 & 0.06227 & -0.00048 & 0.0 & 10.3 & CSPII & Ia \\
LSQ14gfn & 0.1211 & 0.12162 & 19.991 & 0.171 & 1.073 & 0.091 & 0.051 & 0.03202 & 0.0017 & 0.0 & 10.54 & CSPII & Ia \\
LSQ14ghv & 0.0663 & 0.06665 & 19.018 & 0.061 & 0.968 & 0.009 & -0.016 & 0.0114 & -2e-05 & 0.0 & 10.18 & CSPII & Ia \\
LSQ14gov & 0.0892 & 0.08954 & 19.821 & 0.134 & 1.052 & 0.011 & -0.104 & 0.00781 & -0.0 & 0.0 & 9.02 & CSPII & Ia \\
LSQ14ip & 0.0624 & 0.0613 & 19.377 & 0.242 & 0.509 & 0.01 & 0.338 & 0.0228 & 0.00012 & 0.0 & 10.18 & CSPII & Ia \\
LSQ14jp & 0.0465 & 0.04539 & 18.246 & 0.069 & 0.675 & 0.007 & 0.123 & 0.01 & -0.0001 & 0.0 & 10.54 & CSPII & Ia \\
LSQ14wp & 0.0706 & 0.06945 & 18.884 & 0.057 & 1.134 & 0.012 & -0.037 & 0.01063 & -2e-05 & 0.0 & 7.48 & CSPII & Ia-91T \\
LSQ14xi & 0.0519 & 0.05074 & 18.338 & 0.063 & 1.142 & 0.011 & 0.218 & 0.01063 & 6e-05 & 0.0 & 10.9 & CSPII & Ia \\
LSQ15alq & 0.0481 & 0.04707 & 18.079 & 0.045 & 0.921 & 0.005 & -0.002 & 0.0064 & 0.0 & 0.0 & 10.4 & CSPII & Ia \\
LSQ15bv & 0.0701 & 0.0689 & 19.023 & 0.124 & 0.952 & 0.009 & -0.001 & 0.01442 & 5e-05 & 0.0 & 10.56 & CSPII & Ia \\
PS1-13eao & 0.0374 & 0.03775 & 17.504 & 0.041 & 0.89 & 0.045 & 1.549 & 0.09632 & -0.00023 & 0.0 & 10.73 & CSPII & Ia \\
PS1-14ra & 0.0288 & 0.02808 & 17.045 & 0.018 & 0.777 & 0.006 & 0.06 & 0.0064 & -1e-05 & 0.0 & 10.65 & CSPII & Ia \\
PS1-14xw & 0.0246 & 0.0245 & 16.553 & 0.015 & 1.039 & 0.01 & 0.026 & 0.0064 & 3e-05 & 0.0 & 11.24 & CSPII & Ia \\
PS15sv & 0.0336 & 0.03328 & 17.463 & 0.075 & 0.993 & 0.005 & 0.011 & 0.00922 & -0.0 & 0.0 & 8.31 & CSPII & Ia-91T \\
PTF11pbp & 0.0277 & 0.0289 & 16.96 & 0.024 & 1.15 & 0.007 & 0.055 & 0.00707 & 1e-05 & 0.0 & 10.88 & CSPII & Ia \\
PTF11pra & 0.0167 & 0.01754 & 16.467 & 0.032 & 0.439 & 0.017 & 0.92 & 0.06 & 0.0 & 0.0 & 10.68 & CSPII & Ia \\
PTF11qnr & 0.015 & 0.01622 & 15.682 & 0.02 & 0.806 & 0.008 & 0.255 & 0.00922 & -0.0 & 0.0 & 10.65 & CSPII & Ia \\
PTF13duj & 0.0159 & 0.01694 & 15.884 & 0.059 & 1.156 & 0.014 & 0.057 & 0.01204 & -3e-05 & 0.0 & 10.73 & CSPII & Ia \\
PTF13dym & 0.0409 & 0.04213 & 16.648 & 0.155 & 0.509 & 0.024 & 0.096 & 0.04952 & 0.00024 & 0.0 & 9.45 & CSPII & Ia-91bg \\
PTF13ebh & 0.0125 & 0.01326 & 15.22 & 0.022 & 0.636 & 0.004 & 0.123 & 0.00922 & -1e-05 & 0.0 & 10.86 & CSPII & Ia \\
PTF13efe & 0.0758 & 0.07495 & 19.296 & 0.049 & 1.145 & 0.011 & -0.017 & 0.01345 & 0.0 & 0.0 & 11.5 & CSPII & Ia \\
PTF14aje & 0.0282 & 0.02767 & 17.133 & 0.02 & 0.684 & 0.005 & 0.608 & 0.01082 & -3e-05 & 0.0 & 10.78 & CSPII & Ia \\
PTF14gnl & 0.0525 & 0.05369 & 18.285 & 0.041 & 1.021 & 0.006 & -0.055 & 0.0086 & 1e-05 & 0.0 & 10.06 & CSPII & Ia \\
PTF14w & 0.0201 & 0.01889 & 16.422 & 0.016 & 0.742 & 0.004 & 0.056 & 0.005 & -1e-05 & 0.0 & 9.14 & CSPII & Ia \\
PTF14yw & 0.0181 & 0.01697 & 16.848 & 0.304 & 0.856 & 0.008 & -0.038 & 0.01063 & -0.0 & 0.0 & 10.24 & CSPII & Ia \\
PTF14yy & 0.0441 & 0.04297 & 17.969 & 0.057 & 0.837 & 0.01 & 0.256 & 0.01487 & -2e-05 & 0.0 & 9.41 & CSPII & Ia \\
SN2004ef & 0.0298 & 0.03097 & 17.215 & 0.048 & 0.84 & 0.003 & 0.117 & 0.00566 & -0.0 & 0.0 & 10.74 & CSPI & Ia \\
SN2004eo & 0.0147 & 0.01569 & 15.709 & 0.015 & 0.869 & 0.005 & 0.025 & 0.00922 & 1e-05 & 0.0 & 11.16 & CSPI & Ia \\
SN2004ey & 0.0146 & 0.01578 & 15.78 & 0.013 & 1.009 & 0.003 & -0.051 & 0.00424 & 1e-05 & 0.0 & 10.06 & CSPI & Ia \\
SN2004gs & 0.0283 & 0.02663 & 17.291 & 0.036 & 0.705 & 0.003 & 0.202 & 0.0064 & -1e-05 & 0.0 & 10.63 & CSPI & Ia \\
SN2004gu & 0.0469 & 0.04583 & 18.331 & 0.062 & 1.149 & 0.011 & 0.145 & 0.01562 & 3e-05 & 0.0 & 10.02 & CSPI & Ia-06gz \\
SN2005A & 0.0183 & 0.01913 & 16.278 & 0.053 & 0.963 & 0.007 & 0.984 & 0.01562 & 3e-05 & 0.0 & 11.19 & CSPI & Ia \\
SN2005M & 0.0256 & 0.022 & 16.68 & 0.012 & 1.204 & 0.003 & 0.018 & 0.00424 & 0.0 & 0.0 & 8.8 & CSPI & Ia-91T \\
SN2005al & 0.0133 & 0.01239 & 15.711 & 0.034 & 0.865 & 0.004 & -0.051 & 0.00721 & 3e-05 & 0.0 & 10.49 & CSPI & Ia \\
SN2005am & 0.009 & 0.00789 & 14.176 & 0.011 & 0.764 & 0.004 & 0.074 & 0.00781 & 2e-05 & 0.0 & 10.83 & CSPI & Ia \\
SN2005el & 0.0149 & 0.0149 & 15.677 & 0.011 & 0.865 & 0.003 & -0.073 & 0.01063 & 1e-05 & 0.0 & 10.84 & CSPI & Ia \\
SN2005eq & 0.0284 & 0.02896 & 17.069 & 0.02 & 1.234 & 0.007 & 0.035 & 0.0086 & 1e-05 & 0.0 & 10.56 & CSPI & Ia-91T \\
SN2005hc & 0.0445 & 0.04591 & 18.01 & 0.046 & 1.142 & 0.007 & 0.012 & 0.0064 & 0.0 & 0.0 & 10.6 & CSPI & Ia \\
SN2005iq & 0.0329 & 0.03402 & 17.503 & 0.04 & 0.88 & 0.006 & -0.032 & 0.01063 & 5e-05 & 0.0 & 10.54 & CSPI & Ia \\
SN2005kc & 0.0139 & 0.01511 & 15.594 & 0.015 & 0.932 & 0.006 & 0.238 & 0.01063 & 0.0 & 0.0 & 11.06 & CSPI & Ia \\
SN2005ke & 0.0045 & 0.00488 & 13.957 & 0.011 & 0.438 & 0.003 & 0.67 & 0.01204 & 1e-05 & 0.0 & 10.43 & CSPI & Ia-91bg \\
SN2005ki & 0.0204 & 0.01919 & 16.294 & 0.013 & 0.839 & 0.003 & -0.018 & 0.00707 & 0.0 & 0.0 & 10.8 & CSPI & Ia \\
SN2005na & 0.0268 & 0.0263 & 16.696 & 0.031 & 0.971 & 0.018 & -0.02 & 0.00781 & 2e-05 & 0.0 & 10.97 & CSPI & Ia \\
SN2006X & 0.0063 & 0.00524 & 12.96 & 0.013 & 0.971 & 0.004 & 1.214 & 0.01131 & 1e-05 & 0.0 & 9.33 & CSPI & Ia \\
SN2006ax & 0.018 & 0.01673 & 15.979 & 0.01 & 1.003 & 0.004 & -0.072 & 0.00781 & 0.0 & 0.0 & 10.92 & CSPI & Ia \\
SN2006bd & 0.0268 & 0.02571 & 17.447 & 0.086 & 0.398 & 0.009 & 0.712 & 0.03912 & 0.00017 & 0.0 & 10.77 & CSPI & Ia-91bg \\
SN2006br & 0.0255 & 0.02457 & 17.126 & 0.096 & 0.962 & 0.032 & 0.849 & 0.09626 & -2e-05 & 0.0 & 10.97 & CSPI & Ia \\
SN2006ej & 0.0193 & 0.02044 & 16.435 & 0.038 & 0.842 & 0.018 & 0.029 & 0.06022 & 2e-05 & 0.0 & 10.63 & CSPI & Ia \\
SN2006eq & 0.0484 & 0.04947 & 17.913 & 0.128 & 0.649 & 0.023 & 0.31 & 0.07742 & -0.00016 & 0.0 & 10.19 & CSPI & Ia \\
SN2006et & 0.0216 & 0.02216 & 16.417 & 0.01 & 1.18 & 0.006 & 0.141 & 0.00781 & -0.0 & 0.0 & 10.8 & CSPI & Ia \\
SN2006ev & 0.0276 & 0.02871 & 17.245 & 0.044 & 0.843 & 0.021 & 0.175 & 0.07021 & 7e-05 & 0.0 & 10.75 & CSPI & Ia \\
SN2006gj & 0.027 & 0.02833 & 17.232 & 0.062 & 0.708 & 0.007 & 0.298 & 0.01204 & -7e-05 & 0.0 & 10.53 & CSPI & Ia \\
SN2006gt & 0.0436 & 0.04474 & 18.308 & 0.092 & 0.575 & 0.01 & 0.249 & 0.01628 & -4e-05 & 0.0 & 9.93 & CSPI & Ia-91bg \\
SN2006hb & 0.0153 & 0.01533 & 15.761 & 0.034 & 0.685 & 0.018 & 0.185 & 0.06603 & -2e-05 & 0.0 & 10.22 & CSPI & Ia-86G \\
