\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
LSQ14ba & 0.0788 & 0.07755 & 19.318 & 0.031 & 0.958 & 0.006 & 0.035 & 0.01345 & -0.0 & 0.0 & 9.47 & CSPII & Ia \\
LSQ14bjj & 0.082 & 0.08114 & 19.263 & 0.019 & 1.01 & 0.009 & -0.075 & 0.0086 & -2e-05 & 0.0 & 8.46 & CSPII & Ia \\
LSQ14fms & 0.0773 & 0.07795 & 19.351 & 0.073 & 0.848 & 0.015 & 0.171 & 0.01628 & -0.00021 & 0.0 & 10.11 & CSPII & Ia \\
LSQ14foj & 0.0452 & 0.04607 & 17.983 & 0.048 & 1.012 & 0.01 & 0.05 & 0.01063 & 3e-05 & 0.0 & 8.44 & CSPII & Ia \\
LSQ14fom & 0.0553 & 0.05626 & 18.35 & 0.04 & 0.947 & 0.009 & 0.023 & 0.01131 & 0.0 & 0.0 & 9.54 & CSPII & Ia \\
LSQ14gfb & 0.0528 & 0.05271 & 18.99 & 0.088 & 0.586 & 0.033 & 0.53 & 0.06227 & -0.00043 & 0.0 & 10.3 & CSPII & Ia \\
LSQ14gfn & 0.1211 & 0.12162 & 20.083 & 0.077 & 1.073 & 0.091 & 0.051 & 0.03202 & 0.00081 & 0.0 & 10.54 & CSPII & Ia \\
LSQ14ghv & 0.0663 & 0.06665 & 18.96 & 0.044 & 0.968 & 0.009 & -0.016 & 0.0114 & -8e-05 & 0.0 & 10.18 & CSPII & Ia \\
LSQ14gov & 0.0892 & 0.08954 & 19.351 & 0.024 & 1.052 & 0.011 & -0.104 & 0.00781 & 1e-05 & 0.0 & 9.02 & CSPII & Ia \\
LSQ14ie & 0.0905 & 0.08954 & 19.621 & 0.06 & 1.162 & 0.011 & -0.01 & 0.01204 & 6e-05 & 0.0 & 8.08 & CSPII & Ia \\
LSQ14ip & 0.0624 & 0.0613 & 19.166 & 0.089 & 0.509 & 0.01 & 0.338 & 0.0228 & -4e-05 & 0.0 & 10.18 & CSPII & Ia \\
LSQ14jp & 0.0465 & 0.04539 & 18.275 & 0.096 & 0.675 & 0.007 & 0.123 & 0.01 & -0.00011 & 0.0 & 10.54 & CSPII & Ia \\
LSQ14mc & 0.0576 & 0.05662 & 18.538 & 0.095 & 0.963 & 0.004 & -0.027 & 0.0064 & -0.0 & 0.0 & 9.17 & CSPII & Ia \\
LSQ14q & 0.0679 & 0.06695 & 18.861 & 0.027 & 0.957 & 0.004 & -0.046 & 0.00849 & 0.0 & 0.0 & 9.32 & CSPII & Ia \\
LSQ14wp & 0.0706 & 0.06945 & 18.824 & 0.039 & 1.134 & 0.012 & -0.037 & 0.01063 & 3e-05 & 0.0 & 7.48 & CSPII & Ia-91T \\
LSQ14xi & 0.0519 & 0.05074 & 18.431 & 0.034 & 1.142 & 0.011 & 0.218 & 0.01063 & 9e-05 & 0.0 & 10.9 & CSPII & Ia \\
LSQ15aae & 0.0518 & 0.05156 & 18.351 & 0.021 & 1.218 & 0.007 & 0.077 & 0.00849 & -1e-05 & 0.0 & 10.27 & CSPII & Ia-91T \\
LSQ15agh & 0.061 & 0.05996 & 18.655 & 0.021 & 1.134 & 0.008 & -0.032 & 0.00781 & 1e-05 & 0.0 & 9.87 & CSPII & Ia \\
LSQ15aja & 0.07 & 0.06995 & 18.83 & 0.022 & 1.032 & 0.011 & -0.087 & 0.00943 & 3e-05 & 0.0 & 7.46 & CSPII & Ia \\
LSQ15alq & 0.0481 & 0.04707 & 17.999 & 0.025 & 0.921 & 0.005 & -0.002 & 0.0064 & 0.0 & 0.0 & 10.4 & CSPII & Ia \\
LSQ15bv & 0.0701 & 0.0689 & 18.98 & 0.077 & 0.952 & 0.009 & -0.001 & 0.01442 & -3e-05 & 0.0 & 10.56 & CSPII & Ia \\
PS1-13eao & 0.0374 & 0.03775 & 17.91 & 0.053 & 0.89 & 0.045 & 1.549 & 0.09632 & -0.00128 & 0.0 & 10.73 & CSPII & Ia \\
PS1-14ra & 0.0288 & 0.02808 & 17.004 & 0.021 & 0.777 & 0.006 & 0.06 & 0.0064 & -5e-05 & 0.0 & 10.65 & CSPII & Ia \\
PS1-14rx & 0.068 & 0.06695 & 18.906 & 0.064 & 0.846 & 0.018 & -0.022 & 0.02691 & 5e-05 & 0.0 & 9.89 & CSPII & Ia \\
PS1-14xw & 0.0246 & 0.0245 & 16.554 & 0.023 & 1.039 & 0.01 & 0.026 & 0.0064 & -1e-05 & 0.0 & 11.24 & CSPII & Ia \\
PS15sv & 0.0336 & 0.03328 & 17.266 & 0.027 & 0.993 & 0.005 & 0.011 & 0.00922 & -1e-05 & 0.0 & 8.31 & CSPII & Ia-91T \\
PTF11pbp & 0.0277 & 0.0289 & 16.901 & 0.027 & 1.15 & 0.007 & 0.055 & 0.00707 & 1e-05 & 0.0 & 10.88 & CSPII & Ia \\
PTF11ppn & 0.0662 & 0.06725 & 18.801 & 0.12 & 0.641 & 0.037 & 0.189 & 0.17918 & -0.00119 & 0.0 & 11.02 & CSPII & Ia-91bg \\
PTF11pra & 0.0167 & 0.01754 & 16.649 & 0.052 & 0.439 & 0.017 & 0.92 & 0.06 & -1e-05 & 0.0 & 10.68 & CSPII & Ia \\
PTF11qnr & 0.015 & 0.01622 & 15.791 & 0.029 & 0.806 & 0.008 & 0.255 & 0.00922 & -4e-05 & 0.0 & 10.65 & CSPII & Ia \\
PTF13anh & 0.0625 & 0.06146 & 18.537 & 0.118 & 0.944 & 0.007 & -0.17 & 0.01844 & 6e-05 & 0.0 & 7.48 & CSPII & Ia \\
PTF13duj & 0.0159 & 0.01694 & 15.852 & 0.095 & 1.156 & 0.014 & 0.057 & 0.01204 & 0.00025 & 0.0 & 10.73 & CSPII & Ia \\
PTF13dwl & 0.0864 & 0.08744 & 19.864 & 0.14 & 1.088 & 0.04 & -0.034 & 0.0114 & 0.00094 & 0.0 & 8.74 & CSPII & Ia \\
PTF13dym & 0.0409 & 0.04213 & 17.453 & 0.142 & 0.509 & 0.024 & 0.096 & 0.04952 & -0.00044 & 0.0 & 9.45 & CSPII & Ia-91bg \\
PTF13dyt & 0.1099 & 0.10992 & 18.444 & 0.109 & 0.96 & 0.057 & -0.27 & 0.0836 & 0.00053 & 0.0 & 11.5 & CSPII & Ia-pec \\
PTF13ebh & 0.0125 & 0.01326 & 15.22 & 0.023 & 0.636 & 0.004 & 0.123 & 0.00922 & -0.0 & 0.0 & 10.86 & CSPII & Ia \\
PTF13efe & 0.0758 & 0.07495 & 19.054 & 0.032 & 1.145 & 0.011 & -0.017 & 0.01345 & 3e-05 & 0.0 & 11.5 & CSPII & Ia \\
PTF13ez & 0.0445 & 0.04347 & 17.809 & 0.032 & 0.897 & 0.011 & 0.159 & 0.02968 & 3e-05 & 0.0 & 9.71 & CSPII & Ia \\
PTF14aje & 0.0282 & 0.02767 & 17.408 & 0.023 & 0.684 & 0.005 & 0.608 & 0.01082 & -4e-05 & 0.0 & 10.78 & CSPII & Ia \\
PTF14gnl & 0.0525 & 0.05369 & 18.234 & 0.038 & 1.021 & 0.006 & -0.055 & 0.0086 & 1e-05 & 0.0 & 10.06 & CSPII & Ia \\
PTF14uo & 0.0922 & 0.09124 & 19.806 & 0.153 & 1.118 & 0.017 & -0.114 & 0.00849 & 0.00026 & 0.0 & 9.0 & CSPII & Ia \\
PTF14w & 0.0201 & 0.01889 & 16.456 & 0.018 & 0.742 & 0.004 & 0.056 & 0.005 & -1e-05 & 0.0 & 9.14 & CSPII & Ia \\
PTF14yy & 0.0441 & 0.04297 & 18.28 & 0.031 & 0.837 & 0.01 & 0.256 & 0.01487 & -0.0 & 0.0 & 9.41 & CSPII & Ia \\
SN2004ef & 0.0298 & 0.03097 & 17.234 & 0.079 & 0.84 & 0.003 & 0.117 & 0.00566 & -1e-05 & 0.0 & 10.74 & CSPI & Ia \\
SN2004eo & 0.0147 & 0.01569 & 15.576 & 0.018 & 0.869 & 0.005 & 0.025 & 0.00922 & 0.0 & 0.0 & 11.16 & CSPI & Ia \\
