sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
PTF11qnr,-0.4544067088942043,0.34105577210047006,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none
PTF13duj,0.25007165867718584,0.33985526368098756,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none
PTF13dwl,-0.417681540935277,0.29998481702385704,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none
PTF13ebh,0.00824099194131378,0.37156519508937114,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none
PTF14aje,0.4193843296967472,0.2749093647388118,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none
PTF14fpg,0.5234414826685452,0.2678331409363641,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none
PTF14w,0.13322107439148567,0.296051502180101,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none
PTF14yw,0.4869493811119483,0.31853003704746763,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none
SN1981B,0.0653039330000027,0.06792401140607715,0.0071693,0.941,0.07,10.47,10.42,10.68,,ct
SN1989B,-0.8878526079999993,0.17485416432313022,0.0035864,0.888,0.366,11.02,11.02,11.02,,t
SN1994D,-0.3014950319999983,0.08537614741543684,0.0026093,0.824,-0.047,11.0,11.05,11.0,,t
SN1998bu,-0.25101096799999567,0.05663703906187244,0.0036812,0.968,0.345,11.26,11.09,11.54,,t
SN2001el,0.5068375330000023,0.07880014585707884,0.0036761,0.959,0.145,10.69,10.22,10.73,,t
SN2004ef,0.030452998553791133,0.2615859759388047,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none
SN2004eo,0.055557592924820653,0.3425035232390402,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none
SN2004ey,0.0854853316994948,0.35415715658017055,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none
SN2004gs,0.04362027480001274,0.2636784204567422,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none
SN2004gu,-0.24313318950846252,0.2707294833457484,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none
