sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
PTF13efe,0.10937440551363409,0.1459134823781254,0.0758465,1.159,-0.022,11.5,11.5,11.5,CSPII,none
PTF13ez,-0.3076333902295829,0.16259688825863247,0.0445375,0.896,0.165,9.71,9.52,9.84,CSPII,none
PTF14aaf,0.1363778027287239,0.14903336968051598,0.0595653,1.169,0.044,11.5,11.5,11.5,CSPII,none
PTF14aje,0.0415824068272741,0.18088402823510916,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none
PTF14fpg,0.38147646379908196,0.17577311018397934,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none
PTF14gnl,-0.08802766854253008,0.1494764110863255,0.0525349,1.02,-0.06,10.06,9.86,10.5,CSPII,none
PTF14uo,0.028371984870602773,0.15459025753809294,0.0922406,1.123,-0.06,9.0,8.86,9.48,CSPII,none
PTF14w,0.13296120752200125,0.21938794932368147,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none
PTF14yw,0.4842920372424686,0.23854908616739595,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none
PTF14yy,0.1407854348691444,0.1564373388645376,0.0440905,0.837,0.252,9.41,9.25,9.52,CSPII,none
SN1980N,-0.032778241999999125,0.05392364910110057,0.0055142,0.903,0.07,11.79,11.75,11.8,,t
SN1989B,-1.1058398720000007,0.12241328817796109,0.0035864,0.888,0.366,11.02,11.02,11.02,,t
SN1994D,0.03730311200000003,0.07303173195053231,0.0026093,0.824,-0.047,11.0,11.05,11.0,,t
SN1994ae,-0.1363059999999976,0.059386465456027944,0.0051205,1.05,0.063,9.69,9.55,9.83,,ct
SN1995al,0.22980194999999526,0.06786602712749877,0.0058765,1.165,0.108,9.87,9.76,9.97,,ct
SN1998bu,-0.11102911199999355,0.04476243111716324,0.0036812,0.968,0.345,11.26,11.09,11.54,,t
SN2001el,0.23575082200000708,0.06544539381102692,0.0036761,0.959,0.145,10.69,10.22,10.73,,t
SN2002fk,0.00524194200000494,0.07309925375776867,0.0066137,0.979,-0.091,9.94,9.78,10.64,,ct
SN2004ef,-0.01083154931568231,0.1750846902307335,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none
SN2004eo,-0.09064311394464397,0.2753223310598606,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none
SN2004ey,0.061061999830023694,0.2774561579884915,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none
SN2004gs,0.03386060793052792,0.17929565565664518,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none
SN2004gu,-0.10298721637791886,0.15957573078144113,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none
SN2005A,-0.1430590994646579,0.23567114682444498,0.01834,0.963,0.978,11.19,11.07,11.26,CSPI,none
SN2005M,-0.012316595087682458,0.19087809265515857,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none
SN2005W,0.10315229562876027,0.468605382456899,0.00795,0.938,0.165,9.9,9.75,10.0,CSPI,none
SN2005ag,0.055225735914163465,0.1411628420650618,0.08008,1.145,-0.036,10.9,10.84,10.95,CSPI,none
SN2005al,0.3284398011567049,0.2983668086377931,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none
SN2005am,-0.48468520806090964,0.42018131972038086,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none
SN2005be,-0.13555864423411634,0.20439747822196014,0.0355767,0.768,0.055,10.4,10.25,10.5,CSPI,none
SN2005bg,-0.06250911801609504,0.2784466584626928,0.0241567,1.064,0.036,9.91,9.72,10.02,CSPI,none
SN2005bl,0.42708567320564583,0.200228683604771,0.0251133,0.429,0.676,11.01,10.89,11.2,CSPI,none
SN2005bo,-0.19589323710876272,0.2725367151565174,0.0150133,0.883,0.237,10.5,10.34,10.65,CSPI,none
SN2005el,0.065780875555987,0.2738624893271022,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none
SN2005eq,0.04913691313437596,0.18456861364769434,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none
SN2005hc,0.21099450779878026,0.15376452111232483,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none
SN2005hj,-0.026713513805226796,0.17009461128430886,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none
SN2005iq,0.10007798615129815,0.16929884347448407,0.03293,0.882,-0.031,10.54,10.47,10.6,CSPI,none
SN2005ir,-0.22405662157799355,0.1498574741009856,0.0752333,1.003,0.053,9.23,9.12,9.37,CSPI,none
SN2005kc,-0.014413662504537683,0.2921011128128555,0.01389,0.933,0.234,11.06,10.6,11.5,CSPI,none
SN2005ke,0.6109592580076395,0.808854452580659,0.0044833,0.436,0.662,10.43,10.29,10.61,CSPI,none
SN2005ki,-0.09470947112082939,0.21749565866619405,0.02037,0.836,-0.019,10.8,10.62,10.86,CSPI,none
SN2005ku,-0.04657123483317349,0.2411752055391046,0.0441833,0.973,0.1,10.04,9.96,10.1,CSPI,none
SN2005lu,0.06861671668259106,0.23952752698956933,0.0312933,1.063,0.25,9.86,9.68,10.03,CSPI,none
SN2005mc,-0.05454552859868045,0.21992994224676343,0.0260067,0.666,0.311,10.95,10.85,11.1,CSPI,none
SN2005na,-0.19516995836080042,0.18552169781992223,0.0268133,0.97,-0.015,10.97,10.9,11.05,CSPI,none
SN2006D,-0.1872325079067778,0.3927584877556005,0.00964,0.839,0.099,9.76,9.54,9.85,CSPI,none
SN2006X,-1.3360217495803255,0.5811507155022851,0.00632,0.97,1.213,9.33,9.06,9.43,CSPI,none
SN2006ax,-0.08974117835759188,0.23730099449461603,0.0179567,1.003,-0.073,10.92,10.79,11.04,CSPI,none
SN2006bd,0.3571931782753879,0.19604010537289798,0.0267967,0.395,0.733,10.77,10.6,10.8,CSPI,none
SN2006bh,0.09054096298081049,0.3641489842123368,0.0104933,0.827,-0.01,10.43,10.31,10.49,CSPI,none
SN2006br,0.20260726810326446,0.2664681723499346,0.0255233,0.954,0.837,10.97,10.87,11.36,CSPI,none
SN2006dd,0.054253461999998365,0.04300109394564729,0.0055089,0.951,-0.065,11.79,11.75,11.8,,t
SN2006ef,0.20391153628010272,0.2797462138839996,0.0170267,0.858,-0.024,10.35,10.18,10.49,CSPI,none
SN2006ej,0.09247440589276579,0.24443135743050215,0.0193367,0.845,0.028,10.63,10.48,10.7,CSPI,none
SN2006eq,-0.0321686359911908,0.19805974041240892,0.0483667,0.656,0.302,10.19,9.79,10.65,CSPI,none
SN2006et,0.013055435422941741,0.21064421524798332,0.0216467,1.181,0.142,10.8,10.7,10.88,CSPI,none
SN2006ev,0.2588878761055895,0.22262170374206322,0.0276,0.84,0.179,10.75,10.65,10.91,CSPI,none
SN2006fw,-0.5498439362493599,0.2647903143595561,0.0819867,0.901,0.109,9.42,9.32,9.62,CSPI,none
SN2006gj,0.21235795182316508,0.18592798390314094,0.0269667,0.709,0.297,10.53,10.36,10.6,CSPI,none
SN2006gt,0.0416720938684918,0.15465518625022895,0.0436433,0.565,0.257,9.93,9.87,9.94,CSPI,none
SN2006hb,-0.09944895055987502,0.2874704660557865,0.0153367,0.682,0.186,10.22,10.05,10.39,CSPI,none
SN2006hx,-0.2966229279087713,0.17165751466592574,0.0444033,0.98,0.113,10.31,10.12,10.44,CSPI,none
SN2006is,-0.19155286576371822,0.2591229246747817,0.03142,1.093,0.038,7.1,6.68,7.41,CSPI,none
SN2006kf,0.04553645710174692,0.21518880596333373,0.0208,0.771,0.024,10.82,10.59,10.9,CSPI,none
SN2006lu,-0.10361435993892343,0.1902418861756736,0.0543967,1.003,-0.019,10.29,10.22,10.37,CSPI,none
