sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
LSQ12hjm,0.1113640355461456,0.17198367917510665,0.0707978,0.962,-0.06800000000000139,10.09,9.93,10.25,CSPII,
LSQ12hno,0.27101386581560405,0.18272866000110147,0.0468084,0.989,0.04900000000000304,7.7,7.64,7.9,CSPII,
LSQ12hnr,-0.14948213403094002,0.2847081642055652,0.1255265,1.095,0.006000000000000227,8.05,7.93,8.16,CSPII,
LSQ12hvj,-0.06101648229657286,0.1778295062970382,0.0723911,1.167,0.08099999999999952,9.05,8.79,9.22,CSPII,
LSQ12hxx,0.011890224327167687,0.18825638222273422,0.0689135,1.19,0.0779999999999994,10.45,10.28,10.58,CSPII,
LSQ12hzj,-0.07603821123646526,0.19066007677885943,0.0345752,0.969,-0.06899999999999906,9.35,9.32,9.73,CSPII,
LSQ12hzs,0.1365920365073947,0.18059278245593408,0.0718169,1.02,0.09999999999999787,10.02,9.88,10.42,CSPII,
LSQ13abo,-0.23380438021570882,0.18455885652291687,0.0681328,0.88,0.20700000000000074,10.31,10.04,10.34,CSPII,
LSQ13aiz,-0.7695610653330291,0.356317671318074,0.0102493,0.964,0.08000000000000007,8.24,8.12,8.34,CSPII,
LSQ13cwp,-0.13785115102175638,0.1822059743342192,0.0662474,0.944,0.08800000000000097,10.54,10.39,10.7,CSPII,
LSQ13dby,0.3183157143757285,0.17286010140774286,0.0995683,1.139,-0.03999999999999915,11.5,11.5,11.5,CSPII,
LSQ13dcy,0.052517448147057166,0.1848575232767271,0.0800671,0.94,0.11599999999999966,9.18,9.01,9.34,CSPII,
LSQ13dhj,0.00028838026170774356,0.1813032475936211,0.0929027,1.167,0.05999999999999872,8.63,8.27,8.78,CSPII,
LSQ13dkp,0.1890854122673531,0.1742772084856282,0.0685268,0.646,0.00999999999999801,10.8,10.61,10.92,CSPII,
LSQ13dpm,0.1293344322121328,0.17954123861422622,0.0520617,1.054,-0.00999999999999801,9.17,9.06,9.6,CSPII,
LSQ13dqh,0.39551301828127094,0.18144085427742002,0.1035425,1.19,-0.030999999999998806,11.5,11.5,11.5,CSPII,
LSQ13dsm,0.02746760391304548,0.1825691053312459,0.0419767,0.909,-0.015999999999998238,9.01,8.85,9.14,CSPII,
LSQ13lq,-0.22896101275158998,0.1864944521684265,0.0765051,1.069,-0.07099999999999795,8.44,8.0,8.63,CSPII,
LSQ13pf,-0.04691906639931176,0.22757849572878433,0.0870045,0.915,0.23300000000000054,10.26,10.14,10.44,CSPII,
LSQ13ry,0.07957809679979988,0.19608837807319138,0.031032,0.881,-0.047999999999998266,9.64,9.54,9.7,CSPII,
LSQ13vy,0.10952364588398211,0.18234358234961767,0.0421068,0.891,0.07599999999999696,10.17,10.15,10.33,CSPII,
LSQ14act,0.11221849926371164,0.17699893609258321,0.0594518,0.691,0.0030000000000001137,10.17,10.07,10.61,CSPII,
LSQ14age,-0.05864121225857133,0.17550610087918186,0.0815802,1.115,-0.008999999999996788,8.42,8.33,8.59,CSPII,
LSQ14ahc,-0.01112470401139376,0.18310038512351637,0.0517592,1.222,-0.028999999999999915,9.13,8.89,9.62,CSPII,
LSQ14ahm,-0.02924149905157236,0.17947640765611972,0.0509869,1.156,-0.05099999999999838,8.2,8.03,8.37,CSPII,
LSQ14ajn,0.06717477244746561,0.22095013806797686,0.0221584,0.654,0.07499999999999929,10.11,9.95,10.3,CSPII,
LSQ14asu,0.34360530339971973,0.17544980482696013,0.069594,0.767,0.004000000000001336,10.67,10.51,10.86,CSPII,
LSQ14auy,0.17582156159816975,0.18047356648111187,0.0832263,1.147,-0.012000000000000455,10.74,10.61,11.19,CSPII,
LSQ14azy,0.19008069142252282,0.22141610365904998,0.0469322,1.134,0.0730000000000004,9.94,9.75,10.1,CSPII,
