sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
CSP13N,-0.13354647255600582,0.16659226790652895,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13abl,-0.23916248192353606,0.17604948606922746,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP14aar,0.01900269204038807,0.1810014498282862,0.0423854,0.982,-0.016,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.09449324259016123,0.19162266187746477,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14adc,0.11162156787104749,0.1768195845855946,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
CSP15aae,0.08555780127961299,0.21735880035505337,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
KISS15m,0.2544630802077421,0.18614489522369093,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
KISS15n,-0.3629675290997625,0.1951764390254644,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
LSQ11bk,0.1289651264095113,0.16568709548874824,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
LSQ11ot,0.3272617308566268,0.17849289002315424,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none
LSQ11pn,-0.4271694189240023,0.17382176871838004,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none
LSQ12bld,-0.2073405336092975,0.17943159612594223,0.084303,0.892,0.101,10.55,10.42,10.64,CSPII,none
LSQ12btn,-0.07112809223398386,0.16556932416434922,0.0552706,0.832,0.098,10.9,10.84,10.94,CSPII,none
LSQ12fuk,0.0700775649222436,0.1988709252909674,0.0205571,1.003,-0.009,8.34,8.2,8.45,CSPII,none
LSQ12fvl,0.14090854606553904,0.1670245928374255,0.055977,0.61,0.251,10.74,10.55,10.93,CSPII,none
LSQ12fxd,-0.09509961276450696,0.1731813853863881,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none
LSQ12gdj,-0.10908186691194999,0.17918493079239411,0.0292813,1.167,-0.035,8.66,8.36,8.76,CSPII,none
LSQ12hno,-0.10872266780805262,0.1634713344256381,0.0468084,0.989,0.046,7.7,7.64,7.9,CSPII,none
LSQ12hvj,-0.19879968892023925,0.16158699678055458,0.0723911,1.206,0.08,9.05,8.79,9.22,CSPII,none
LSQ12hxx,0.03579689670349495,0.17270775969865437,0.0689135,1.204,0.077,10.45,10.28,10.58,CSPII,none
LSQ12hzj,0.07384514213986648,0.17283146582457493,0.0345752,0.97,-0.07,9.35,9.32,9.73,CSPII,none
LSQ12hzs,-0.005650674116282062,0.1631308024379858,0.0718169,1.145,0.1,10.02,9.88,10.42,CSPII,none
LSQ13cwp,-0.013402122645430836,0.18244594635948844,0.0662474,0.94,0.086,10.54,10.39,10.7,CSPII,none
LSQ13dpm,-0.012854794411531145,0.16258583065943916,0.0520617,1.055,-0.013,9.17,9.06,9.6,CSPII,none
LSQ13dsm,-0.22285343071062158,0.16939184347888886,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none
LSQ13lq,-0.2175128513752611,0.167496080707142,0.0765051,1.054,-0.076,8.44,8.0,8.63,CSPII,none
LSQ13pf,0.05716447997701124,0.23381975772570163,0.0870045,0.917,0.216,10.26,10.14,10.44,CSPII,none
LSQ13ry,0.18327675017614098,0.17684428011810582,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none
LSQ13vy,0.0387016112603078,0.19908299579277883,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none
LSQ14ahc,-0.16917347163506236,0.1683152862760474,0.0517592,1.252,-0.02,9.13,8.89,9.62,CSPII,none
LSQ14ahm,-0.10047409767525295,0.16528643125294745,0.0509869,1.161,-0.059,8.2,8.03,8.37,CSPII,none
LSQ14ba,0.08769879516547263,0.18690184350889652,0.0787677,0.959,0.034,9.47,9.3,9.87,CSPII,none
LSQ14foj,0.04685880533729403,0.16928366965252536,0.0451705,1.015,0.047,8.44,8.33,8.7,CSPII,none
LSQ14fom,-0.196011557991163,0.16507576550474043,0.0553279,0.947,0.021,9.54,9.4,9.72,CSPII,none
LSQ14gfb,0.13192413200992092,0.19706423439193954,0.0527873,0.605,0.526,10.3,10.11,10.64,CSPII,none
LSQ14gfn,-0.5696309812686593,0.20277233814800508,0.1210925,0.991,0.037,10.54,10.42,10.88,CSPII,none
LSQ14ghv,-0.0207606114437624,0.1667918426448953,0.0662566,0.949,-0.022,10.18,10.06,10.31,CSPII,none
LSQ14gov,0.2614790134041556,0.22086029500798668,0.0892443,1.141,-0.105,9.02,8.85,9.19,CSPII,none
LSQ14ip,0.13957981165714983,0.266341935127191,0.0624196,0.522,0.345,10.18,10.01,10.31,CSPII,none
LSQ14jp,0.0026444674023125003,0.1744421492615371,0.0464896,0.677,0.123,10.54,10.48,10.81,CSPII,none
LSQ14wp,-0.15724302495762998,0.16392652794654836,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none
LSQ14xi,0.05028726187597243,0.17227540720549722,0.0519014,1.142,0.212,10.9,10.77,11.07,CSPII,none
LSQ15alq,-0.11607101571745204,0.17077727322608913,0.0480953,0.92,-0.004,10.4,10.22,10.82,CSPII,none
LSQ15bv,-0.04256795732396057,0.209094484630111,0.0701168,0.955,-0.003,10.56,10.39,10.77,CSPII,none
PS1-14ra,-0.0850566772471737,0.17751982651717135,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none
PS1-14xw,-0.03941228623207138,0.18931056053169576,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none
PS15sv,0.11382531465915235,0.1911456405660893,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none
PTF11pbp,0.11135262665327872,0.1791075885271988,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none
PTF11pra,0.061736566152021055,0.21827402054967074,0.0167242,0.442,0.935,10.68,10.57,10.75,CSPII,none
PTF11qnr,-0.02933643653530993,0.22994682111555123,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none
PTF13duj,0.2938687310360777,0.2291697953519061,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none
PTF13ebh,-0.16374873569979798,0.2564559632295767,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none
PTF13efe,0.12062177674200569,0.1617681035615481,0.0758465,1.159,-0.022,11.5,11.5,11.5,CSPII,none
PTF14aje,-0.12352627794436444,0.1795901052047328,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none
PTF14gnl,-0.07952292831417651,0.16904038930785847,0.0525349,1.02,-0.06,10.06,9.86,10.5,CSPII,none
PTF14w,0.046489346750369975,0.1991832450452638,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none
PTF14yw,0.8213746934708297,0.3648331624667276,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none
PTF14yy,-0.17103790590247314,0.17171487111183162,0.0440905,0.837,0.252,9.41,9.25,9.52,CSPII,none
SN1981B,-0.06892434700000294,0.061134497454750546,0.0071693,0.941,0.07,10.47,10.42,10.68,,c
SN2001el,-0.06753074699999928,0.06267431087462311,0.0036761,0.959,0.145,10.34,10.34,10.34,,c
SN2002fk,-0.09242286700000335,0.06112244206236737,0.0066137,0.979,-0.091,9.94,9.78,10.64,,c
SN2003du,-0.09428839200000283,0.06439274858993563,0.0066521,1.004,-0.074,8.6,8.47,8.74,,c
SN2004ef,0.08477639091268685,0.17981692391333867,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none
SN2004eo,0.13809666528371878,0.23196589939233123,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none
SN2004ey,0.28482240405838866,0.23576860992846985,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none
SN2004gs,0.15238254715889354,0.1793386465303569,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none
SN2004gu,0.15349628285043337,0.17439463813687509,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none
SN2005A,0.033120359763707086,0.2129873593773227,0.01834,0.963,0.978,11.19,11.07,11.26,CSPI,none
SN2005M,-0.017490479859318953,0.18391979292520572,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none
SN2005al,0.3836995653850579,0.24788094226252447,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none
SN2005am,-0.3814818928325394,0.32674986493940217,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none
SN2005cf,-0.004645923000005325,0.10110983353761445,0.007045,0.973,0.005,9.65,9.6,9.6,,c
SN2005el,0.12055171178435131,0.2325466925409645,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none
SN2005eq,0.14614974936273484,0.17768342398602235,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none
SN2005hc,0.10040847902714489,0.16788337743666262,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none
SN2005iq,0.16535725037964966,0.17417594733548822,0.03293,0.882,-0.031,10.54,10.47,10.6,CSPI,none
SN2005kc,0.13893091672383662,0.24809289067036175,0.01389,0.933,0.234,11.06,10.6,11.5,CSPI,none
SN2005ke,0.47275569423599606,0.5937198683979374,0.0044833,0.436,0.662,10.43,10.29,10.61,CSPI,none
SN2005ki,0.03494376510753483,0.19732867603853593,0.02037,0.836,-0.019,10.8,10.62,10.86,CSPI,none
SN2005na,-0.11840971813244039,0.18134904400453783,0.0268133,0.97,-0.015,10.97,10.9,11.05,CSPI,none
SN2006D,-0.031142496678405962,0.3078016339077334,0.00964,0.839,0.099,9.76,9.54,9.85,CSPI,none
SN2006X,-1.073605509351971,0.43471246000123465,0.00632,0.97,1.213,9.33,9.06,9.43,CSPI,none
SN2006ax,0.08058492087077695,0.20852924639449702,0.0179567,1.003,-0.073,10.92,10.79,11.04,CSPI,none
SN2006bd,0.2326432935037559,0.20254869071897696,0.0267967,0.395,0.733,10.77,10.6,10.8,CSPI,none
SN2006bh,0.17161698220916577,0.2879102202290903,0.0104933,0.827,-0.01,10.43,10.31,10.49,CSPI,none
SN2006br,0.18340072433163357,0.21150957843636928,0.0255233,0.954,0.837,10.97,10.87,11.36,CSPI,none
SN2006ej,0.23651252112112786,0.20561152620014492,0.0193367,0.845,0.028,10.63,10.48,10.7,CSPI,none
SN2006eq,-0.6432719597628278,0.20490601588954171,0.0483667,0.656,0.302,10.19,9.79,10.65,CSPI,none
SN2006et,0.07878028665130898,0.19219032852477824,0.0216467,1.181,0.142,10.8,10.7,10.88,CSPI,none
SN2006ev,0.20990581633395777,0.1844158998791383,0.0276,0.84,0.179,10.75,10.65,10.91,CSPI,none
SN2006gj,0.17630272305153483,0.18866144239267008,0.0269667,0.709,0.297,10.53,10.36,10.6,CSPI,none
SN2006gt,0.08703340909685409,0.18615561404249,0.0436433,0.565,0.257,9.93,9.87,9.94,CSPI,none
SN2006hb,-0.05998848633150544,0.2293967059687611,0.0153367,0.682,0.186,10.22,10.05,10.39,CSPI,none
SN2006hx,-0.08510218768040545,0.1718070553018698,0.0444033,0.98,0.113,10.31,10.12,10.44,CSPI,none
SN2006is,-0.0855561265353586,0.18448152556062533,0.03142,1.093,0.038,7.1,6.68,7.41,CSPI,none
SN2006kf,-0.008575011669883281,0.19649774811952206,0.0208,0.771,0.024,10.82,10.59,10.9,CSPI,none
