sn	mu_obs	err_mu_obs	zcmb	mass_best	mass_low	mass_hhigh	sample
ASAS15go	34.636	0.298	0.0193	10.18	10.04	10.27	CSPII
ASAS15gr	35.133	0.27	0.0248	8.94	8.82	9.02	CSPII
ASAS15hf	32.925	0.533	0.0072	9.56	9.39	9.97	CSPII
ASAS15hg	35.656	0.386	0.0309	10.42	10.3	10.51	CSPII
ASAS15hx	32.334	0.442	0.0092	7.45	7.06	7.89	CSPII
CSP12J	34.362	0.68	0.0149	10.09	9.97	10.2	CSPII
CSP13abm	36.028	0.272	0.0275	11.5	11.5	11.5	CSPII
CSP14aaq	35.843	0.272	0.0362	11.08	11.01	11.48	CSPII
CSP14abn	34.813	0.274	0.0233	9.75	9.59	10.24	CSPII
CSP14acl	35.964	0.281	0.0289	11.5	11.5	11.5	CSPII
CSP14adc	35.374	0.263	0.0317	10.81	10.67	11.14	CSPII
CSP15B	34.627	0.287	0.0208	10.95	10.78	11.42	CSPII
CSP15aae	34.28	0.31	0.017	11.14	10.96	11.26	CSPII
KISS15m	35.376	0.338	0.0254	9.78	9.67	9.94	CSPII
KISS15n	34.59	0.28	0.024	8.0	7.8	8.17	CSPII
LSQ11bk	36.066	0.261	0.04	6.53	6.5	6.59	CSPII
LSQ11ot	35.783	0.263	0.0273	10.17	10.0	10.22	CSPII
LSQ11pn	35.243	0.266	0.0327	10.7	10.52	10.8	CSPII
LSQ12ca	38.471	0.434	0.0995	10.44	10.34	10.64	CSPII
LSQ12fxd	35.728	0.258	0.0313	10.28	10.16	10.4	CSPII
LSQ13aiz	32.302	0.411	0.0102	8.24	8.12	8.34	CSPII
LSQ13dsm	36.238	0.245	0.042	9.01	8.85	9.14	CSPII
LSQ13ry	35.375	0.259	0.031	9.64	9.54	9.7	CSPII
LSQ13vy	36.637	0.245	0.0421	10.17	10.15	10.33	CSPII
LSQ14ajn	34.961	0.28	0.0222	10.11	9.95	10.3	CSPII
LSQ14wp	37.127	0.254	0.0706	7.48	7.23	7.59	CSPII
LSQ15aae	37.274	0.245	0.0518	10.27	10.1	10.46	CSPII
PS1-14ra	35.369	0.26	0.0288	10.65	10.35	10.72	CSPII
PS1-14xw	34.986	0.273	0.0246	11.24	11.11	11.71	CSPII
PS15sv	35.245	0.255	0.0336	8.31	8.2	8.56	CSPII
PTF11pbp	35.686	0.267	0.0277	10.88	10.73	10.97	CSPII
PTF11qnr	33.474	0.329	0.015	10.65	10.38	10.7	CSPII
PTF13duj	34.312	0.336	0.0159	10.73	10.61	10.82	CSPII
PTF13dwl	37.678	0.341	0.0864	8.74	8.42	8.98	CSPII
PTF13ebh	33.494	0.362	0.0125	10.86	10.8	11.02	CSPII
PTF14aje	35.473	0.265	0.0282	10.78	10.64	10.84	CSPII
PTF14fpg	36.199	0.261	0.0328	11.5	11.5	11.5	CSPII
PTF14w	34.73	0.287	0.0201	9.14	8.96	9.3	CSPII
SN1981B	30.857	0.12	0.0072	10.47	10.42	10.68	
SN1990N	31.622	0.101	0.0041	10.14	10.07	10.24	
SN1998aq	31.491	0.084	0.0043	10.02	9.86	10.1	
SN2001el	31.503	0.064	0.0037	10.34	10.34	10.34	
SN2004ef	35.526	0.257	0.0298	10.74	10.63	10.8	CSPI
SN2004eo	34.008	0.33	0.0147	11.16	11.03	11.35	CSPI
SN2004ey	34.064	0.33	0.0146	10.06	9.76	10.41	CSPI
SN2004gs	35.374	0.26	0.0283	10.63	10.57	10.7	CSPI
SN2004gu	36.256	0.267	0.0469	10.02	9.74	10.19	CSPI
SN2005M	35.204	0.266	0.0256	8.8	8.38	8.92	CSPI
SN2005W	32.619	0.119	0.008	9.9	9.75	10.0	CSPI
SN2005al	34.089	0.348	0.0133	10.49	10.4	10.63	CSPI
SN2005am	32.306	0.45	0.009	10.83	10.68	11.26	CSPI
SN2005be	35.546	0.419	0.0356	10.4	10.25	10.5	CSPI
SN2005bg	34.825	0.446	0.0242	9.91	9.72	10.02	CSPI
SN2005bl	35.083	0.308	0.0251	11.01	10.89	11.2	CSPI
SN2005bo	33.773	0.328	0.015	10.5	10.34	10.65	CSPI
SN2005el	34.025	0.33	0.0149	10.84	10.7	11.24	CSPI
SN2005eq	35.713	0.265	0.0284	10.56	10.44	10.65	CSPI
SN2005hc	36.737	0.248	0.0445	10.6	10.52	10.65	CSPI
SN2005hj	36.64	0.282	0.057	9.32	9.22	9.38	CSPI
SN2005iq	35.802	0.256	0.0329	10.54	10.47	10.6	CSPI
SN2005ir	37.35	0.256	0.0752	9.23	9.12	9.37	CSPI
SN2005kc	33.713	0.343	0.0139	11.06	10.6	11.5	CSPI
SN2005ke	31.4	0.808	0.0045	10.43	10.29	10.61	CSPI
SN2005ki	34.446	0.286	0.0204	10.8	10.62	10.86	CSPI
SN2005ku	36.531	0.461	0.0442	10.04	9.96	10.1	CSPI
SN2005lu	35.46	0.44	0.0313	9.86	9.68	10.03	CSPI
SN2005mc	35.017	0.411	0.026	10.95	10.85	11.1	CSPI
SN2005na	34.9	0.282	0.0268	10.97	10.9	11.05	CSPI
SN2006D	32.788	0.128	0.0096	9.76	9.54	9.85	CSPI
SN2006X	30.609	0.597	0.0063	9.33	9.06	9.43	CSPI
SN2006ax	34.431	0.301	0.018	10.92	10.79	11.04	CSPI
SN2006bh	33.236	0.121	0.0105	10.43	10.31	10.49	CSPI
SN2006ef	34.432	0.484	0.017	10.35	10.18	10.49	CSPI
SN2006ej	34.55	0.406	0.0193	10.63	10.48	10.7	CSPI
SN2006eq	36.461	0.453	0.0484	10.19	9.79	10.65	CSPI
SN2006et	35.05	0.283	0.0216	10.8	10.7	10.88	CSPI
SN2006fw	37.547	0.425	0.082	9.42	9.32	9.62	CSPI
SN2006gj	35.423	0.268	0.027	10.53	10.36	10.6	CSPI
SN2006gt	36.204	0.256	0.0436	9.93	9.87	9.94	CSPI
SN2006hb	33.791	0.444	0.0153	10.22	10.05	10.39	CSPI
SN2006hx	36.189	0.3	0.0444	10.31	10.12	10.44	CSPI
SN2006is	35.127	0.456	0.0314	7.1	6.68	7.41	CSPI
SN2006kf	34.739	0.286	0.0208	10.82	10.59	10.9	CSPI
SN2006lu	36.624	0.393	0.0544	10.29	10.22	10.37	CSPI
SN2006mr	31.831	0.681	0.0055	11.19	10.79	11.38	CSPI
SN2006ob	36.318	0.247	0.0583	11.26	11.08	11.33	CSPI
SN2006os	35.573	0.403	0.0321	10.81	10.66	10.87	CSPI
SN2006py	36.568	0.266	0.0566	9.1	8.94	9.24	CSPI
SN2007A	34.065	0.269	0.0165	10.57	10.57	10.57	CSPI
SN2007N	34.423	0.366	0.014	10.19	10.1	10.57	CSPI
SN2007S	33.936	0.331	0.015	9.98	9.63	10.16	CSPI
SN2007af	32.028	0.062	0.0063	9.82	9.69	9.87	CSPI
SN2007ai	35.765	0.291	0.032	9.91	9.76	10.18	CSPI
SN2007al	33.699	0.366	0.0133	9.47	9.33	9.91	CSPI
SN2007as	34.341	0.302	0.0179	10.36	10.24	10.43	CSPI
SN2007ax	33.129	0.522	0.0076	10.23	10.13	10.29	CSPI
SN2007ba	35.517	0.264	0.0391	10.99	10.9	11.06	CSPI
SN2007bc	34.712	0.281	0.0218	10.73	10.65	10.78	CSPI
SN2007bd	35.606	0.263	0.0318	10.82	10.68	10.89	CSPI
SN2007bm	32.036	0.522	0.0074	10.27	10.09	10.72	CSPI
SN2007ca	34.243	0.334	0.0151	9.69	9.52	9.74	CSPI
SN2007cg	35.104	0.578	0.0342	10.37	10.33	10.43	CSPI
SN2007hj	33.797	0.356	0.0129	10.45	10.3	10.89	CSPI
SN2007hx	37.559	0.45	0.0789	10.55	10.45	10.62	CSPI
SN2007jd	37.963	0.487	0.0719	10.13	9.93	10.18	CSPI
SN2007jg	36.436	0.252	0.0366	8.1	7.95	8.22	CSPI
SN2007le	32.158	0.669	0.0055	9.85	9.71	10.16	CSPI
SN2007nq	36.077	0.247	0.0439	11.21	11.15	11.28	CSPI
SN2007ol	37.12	0.291	0.0549	9.82	9.71	9.93	CSPI
SN2007on	31.432	0.608	0.0062	11.04	10.78	11.45	CSPI
SN2007sr	31.471	0.302	0.0067	10.05	9.85	10.17	CSPI
SN2007st	34.168	0.483	0.0207	10.95	10.85	11.4	CSPI
SN2007ux	35.558	0.258	0.032	10.3	10.23	10.34	CSPI
SN2008C	34.216	0.471	0.0171	10.49	10.35	10.55	CSPI
SN2008O	36.324	0.262	0.0393	11.33	11.12	11.59	CSPI
SN2008R	33.687	0.357	0.0129	11.25	11.07	11.31	CSPI
SN2008ar	35.373	0.266	0.0272	10.21	10.11	10.28	CSPI
SN2008bc	34.093	0.318	0.0157	10.1	9.95	10.23	CSPI
SN2008bf	35.07	0.27	0.0246	11.4	11.4	11.4	CSPI
SN2008bi	34.134	0.672	0.0144	10.38	10.27	10.48	CSPI
SN2008bq	36.119	0.262	0.0344	10.82	10.74	10.91	CSPI
SN2008bt	33.922	0.317	0.0166	10.85	10.7	10.91	CSPI
SN2008bz	37.188	0.391	0.0613	10.5	10.44	10.56	CSPI
SN2008cc	32.658	0.514	0.0101	10.48	10.4	10.64	CSPI
SN2008cf	36.015	0.429	0.0468	8.73	8.59	8.97	CSPI
SN2008ff	33.942	0.308	0.0187	10.8	10.8	10.8	CSPI
SN2008fl	34.464	0.402	0.0194	10.94	10.87	11.01	CSPI
SN2008fp	31.468	0.6	0.0063	10.2	10.15	10.63	CSPI
SN2008fr	35.871	0.428	0.0379	7.73	7.58	7.92	CSPI
SN2008fu	36.763	0.468	0.0518	10.72	10.66	10.8	CSPI
SN2008fw	32.862	0.545	0.0095	10.49	10.31	10.61	CSPI
SN2008gg	35.434	0.409	0.0311	10.73	10.63	10.82	CSPI
SN2008gl	35.761	0.254	0.0329	10.86	10.81	10.92	CSPI
SN2008go	37.204	0.256	0.0613	10.94	10.89	11.0	CSPI
SN2008gp	35.507	0.256	0.0328	10.73	10.64	10.79	CSPI
SN2008hj	36.045	0.25	0.0367	10.4	10.2	10.69	CSPI
SN2008hu	36.768	0.413	0.0505	10.99	10.84	11.07	CSPI
SN2008hv	33.796	0.346	0.0136	10.55	10.29	10.67	CSPI
SN2008ia	35.018	0.286	0.0225	10.77	10.54	11.23	CSPI
SN2009D	35.357	0.273	0.0247	10.43	10.35	10.5	CSPI
SN2009F	33.81	0.371	0.0129	10.79	10.61	11.22	CSPI
SN2009I	35.326	0.349	0.0254	10.74	10.53	10.88	CSPI
SN2009P	34.885	0.378	0.0263	9.87	9.77	9.95	CSPI
SN2009Y	32.981	0.228	0.0101	10.76	10.66	10.95	CSPI
SN2009aa	35.191	0.265	0.0285	10.6	10.1	10.8	CSPI
SN2009ab	33.414	0.396	0.0109	10.35	10.2	10.78	CSPI
SN2009ad	35.178	0.281	0.0283	10.58	10.5	10.64	CSPI
SN2009ag	33.385	0.444	0.0092	10.2	9.99	10.6	CSPI
SN2009al	34.49	0.306	0.0233	10.72	10.66	10.77	CSPI
SN2009cz	35.141	0.291	0.022	10.75	10.68	10.84	CSPI
SN2009ds	34.463	0.308	0.0205	10.77	10.62	10.97	CSPI
SN2009ig	32.163	0.127	0.008	10.35	10.35	10.35	
SN2009le	34.205	0.314	0.017	10.84	10.66	11.31	CSPI
SN2011iy	30.58	0.691	0.0053	10.39	10.21	10.83	CSPII
SN2011jh	32.832	0.452	0.0089	10.09	10.02	10.16	CSPII
SN2011jn	36.368	0.471	0.0485	11.35	11.23	11.78	CSPII
SN2011jt	35.094	0.464	0.0285	10.39	10.25	10.52	CSPII
SN2012E	34.443	0.296	0.0194	10.54	10.36	10.73	CSPII
SN2012G	35.463	0.267	0.0268	9.73	9.58	9.84	CSPII
SN2012U	34.616	0.472	0.0193	10.56	10.38	10.74	CSPII
SN2012ah	33.811	0.497	0.0124	11.5	11.5	11.5	CSPII
SN2012aq	36.514	0.381	0.0526	7.77	7.63	8.01	CSPII
SN2012ar	35.109	0.261	0.0285	10.94	10.84	11.02	CSPII
SN2012bl	34.358	0.313	0.0182	10.09	9.85	10.24	CSPII
SN2012bo	35.504	0.269	0.0265	10.32	10.15	10.4	CSPII
SN2012cg	30.763	0.14	0.0026	9.7	9.6	9.8	
SN2012fr	31.327	0.068	0.0051	11.25	11.06	11.32	CSPII
SN2012gm	33.826	0.343	0.0136	10.01	9.9	10.08	CSPII
SN2012hd	33.767	0.387	0.0111	10.44	10.38	10.54	CSPII
SN2012hr	32.94	0.496	0.0079	10.32	10.21	10.45	CSPII
SN2012ht	31.986	0.058	0.0047	8.06	8.06	8.06	CSPII
SN2012ij	33.488	0.376	0.0121	9.94	9.8	10.11	CSPII
SN2013E	32.772	0.404	0.0105	9.96	9.83	9.99	CSPII
SN2013H	34.342	0.317	0.0159	10.5	10.32	10.6	CSPII
SN2013M	35.653	0.255	0.0357	10.9	10.73	11.04	CSPII
SN2013U	35.843	0.261	0.0357	10.27	10.15	10.31	CSPII
SN2013aa	30.456	0.058	0.0047	9.99	9.85	10.12	CSPII
SN2013aj	32.894	0.416	0.0101	9.99	9.82	10.38	CSPII
SN2013ay	33.426	0.495	0.0157	10.72	10.64	10.82	CSPII
SN2013az	35.958	0.416	0.0375	10.99	10.93	11.07	CSPII
SN2013bc	34.465	0.409	0.0235	10.47	10.28	10.55	CSPII
SN2013bz	34.0	0.298	0.0202	9.98	9.94	10.04	CSPII
SN2013cg	32.597	0.577	0.009	10.13	9.98	10.27	CSPII
SN2013ct	30.839	1.289	0.0027	8.72	8.57	8.89	CSPII
SN2013fy	35.739	0.269	0.0302	10.86	10.77	10.96	CSPII
SN2013fz	34.633	0.284	0.0206	10.69	10.61	10.77	CSPII
SN2013gv	35.754	0.259	0.0335	11.27	11.16	11.56	CSPII
SN2013gy	33.749	0.343	0.0136	9.0	8.98	9.16	CSPII
SN2013hh	34.655	0.477	0.0141	9.59	9.41	9.69	CSPII
SN2013hn	33.997	0.454	0.016	10.99	10.84	11.07	CSPII
SN2014D	34.576	0.552	0.0092	8.26	8.15	8.38	CSPII
SN2014I	35.164	0.257	0.0302	10.9	10.76	11.31	CSPII
SN2014Z	34.76	0.425	0.0209	10.75	10.66	10.81	CSPII
SN2014ao	34.041	0.327	0.015	10.57	10.47	10.74	CSPII
SN2014at	35.548	0.254	0.0315	11.25	11.08	11.4	CSPII
SN2014ba	31.844	0.844	0.005	10.64	10.56	11.06	CSPII
SN2014dn	34.446	0.29	0.0221	10.65	10.58	10.72	CSPII
SN2014eg	33.984	0.307	0.0183	11.62	11.47	11.73	CSPII
SN2015F	31.512	0.072	0.0053	10.97	10.97	10.97	CSPII
SNhunt281	32.323	0.772	0.0047	9.75	9.66	9.85	CSPII
