sn	mu_obs	err_mu_obs	zcmb	mass_best	mass_low	mass_hhigh	sample
LSQ12fuk	34.72	0.194	0.0206	8.34	8.2	8.45	CSPII
LSQ12fvl	37.014	0.158	0.056	10.74	10.55	10.93	CSPII
LSQ12fxd	35.435	0.165	0.0313	10.28	10.16	10.4	CSPII
LSQ12gdj	35.326	0.171	0.0293	8.66	8.36	8.76	CSPII
LSQ12hno	36.427	0.154	0.0468	7.7	7.64	7.9	CSPII
LSQ12hvj	37.315	0.15	0.0724	9.05	8.79	9.22	CSPII
LSQ12hxx	37.526	0.162	0.0689	10.45	10.28	10.58	CSPII
LSQ12hzj	35.853	0.163	0.0346	9.35	9.32	9.73	CSPII
LSQ12hzs	37.433	0.151	0.0718	10.02	9.88	10.42	CSPII
LSQ13cwp	37.473	0.18	0.0662	10.54	10.39	10.7	CSPII
LSQ13dpm	36.697	0.15	0.0521	9.17	9.06	9.6	CSPII
LSQ13dsm	36.044	0.161	0.042	9.01	8.85	9.14	CSPII
LSQ13lq	37.476	0.154	0.0765	8.44	8.0	8.63	CSPII
LSQ13pf	38.327	0.234	0.087	10.26	10.14	10.44	CSPII
LSQ13ry	35.723	0.17	0.031	9.64	9.54	9.7	CSPII
LSQ13vy	36.267	0.193	0.0421	10.17	10.15	10.33	CSPII
LSQ14ahc	36.531	0.153	0.0518	9.13	8.89	9.62	CSPII
LSQ14ahm	36.535	0.157	0.051	8.2	8.03	8.37	CSPII
LSQ14ba	37.771	0.175	0.0788	9.47	9.3	9.87	CSPII
LSQ14foj	36.471	0.16	0.0452	8.44	8.33	8.7	CSPII
LSQ14fom	36.68	0.155	0.0553	9.54	9.4	9.72	CSPII
LSQ14gfb	36.955	0.186	0.0528	10.3	10.11	10.64	CSPII
LSQ14gfn	38.397	0.224	0.1211	10.54	10.42	10.88	CSPII
LSQ14ghv	37.39	0.158	0.0663	10.18	10.06	10.31	CSPII
LSQ14gov	38.218	0.196	0.0892	9.02	8.85	9.19	CSPII
LSQ14ip	37.372	0.283	0.0624	10.18	10.01	10.31	CSPII
LSQ14jp	36.428	0.166	0.0465	10.54	10.48	10.81	CSPII
LSQ14wp	37.254	0.156	0.0706	7.48	7.23	7.59	CSPII
LSQ14xi	36.736	0.162	0.0519	10.9	10.77	11.07	CSPII
LSQ15alq	36.432	0.157	0.0481	10.4	10.22	10.82	CSPII
LSQ15bv	37.394	0.191	0.0701	10.56	10.39	10.77	CSPII
PS1-14ra	35.311	0.169	0.0288	10.65	10.35	10.72	CSPII
PS1-14xw	34.97	0.178	0.0246	11.24	11.11	11.71	CSPII
PS15sv	35.793	0.178	0.0336	8.31	8.2	8.56	CSPII
PTF11pbp	35.398	0.172	0.0277	10.88	10.73	10.97	CSPII
PTF11pra	34.277	0.215	0.0167	10.68	10.57	10.75	CSPII
PTF11qnr	33.92	0.227	0.015	10.65	10.38	10.7	CSPII
PTF13duj	34.319	0.227	0.0159	10.73	10.61	10.82	CSPII
PTF13ebh	33.382	0.256	0.0125	10.86	10.8	11.02	CSPII
PTF13efe	37.764	0.153	0.0758	11.5	11.5	11.5	CSPII
PTF14aje	35.215	0.17	0.0282	10.78	10.64	10.84	CSPII
PTF14gnl	36.685	0.155	0.0525	10.06	9.86	10.5	CSPII
PTF14w	34.63	0.194	0.0201	9.14	8.96	9.3	CSPII
PTF14yy	36.193	0.163	0.0441	9.41	9.25	9.52	CSPII
SN1981B	30.86	0.061	0.0072	10.47	10.42	10.68	
SN2001el	31.238	0.041	0.0037	10.34	10.34	10.34	
SN2002fk	32.435	0.061	0.0066	9.94	9.78	10.64	
SN2003du	32.84	0.071	0.0067	8.6	8.47	8.74	
SN2004ef	35.507	0.173	0.0298	10.74	10.63	10.8	CSPI
SN2004eo	34.048	0.229	0.0147	11.16	11.03	11.35	CSPI
SN2004ey	34.174	0.23	0.0146	10.06	9.76	10.41	CSPI
SN2004gs	35.478	0.173	0.0283	10.63	10.57	10.7	CSPI
SN2004gu	36.726	0.163	0.0469	10.02	9.74	10.19	CSPI
SN2005A	34.44	0.209	0.0183	11.19	11.07	11.26	CSPI
SN2005M	35.088	0.175	0.0256	8.8	8.38	8.92	CSPI
SN2005al	34.049	0.247	0.0133	10.49	10.4	10.63	CSPI
SN2005am	32.436	0.329	0.009	10.83	10.68	11.26	CSPI
SN2005cf	32.266	0.121	0.007	9.65	9.6	9.6	
SN2005el	34.029	0.228	0.0149	10.84	10.7	11.24	CSPI
SN2005eq	35.523	0.17	0.0284	10.56	10.44	10.65	CSPI
SN2005hc	36.448	0.159	0.0445	10.6	10.52	10.65	CSPI
SN2005iq	35.846	0.167	0.0329	10.54	10.47	10.6	CSPI
SN2005kc	33.912	0.238	0.0139	11.06	10.6	11.5	CSPI
SN2005ke	31.818	0.611	0.0045	10.43	10.29	10.61	CSPI
SN2005ki	34.618	0.192	0.0204	10.8	10.62	10.86	CSPI
SN2005na	35.09	0.175	0.0268	10.97	10.9	11.05	CSPI
SN2006D	32.941	0.125	0.0096	9.76	9.54	9.85	CSPI
SN2006X	31.025	0.445	0.0063	9.33	9.06	9.43	CSPI
SN2006ax	34.397	0.204	0.018	10.92	10.79	11.04	CSPI
SN2006bd	35.27	0.192	0.0268	10.77	10.6	10.8	CSPI
SN2006bh	33.325	0.117	0.0105	10.43	10.31	10.49	CSPI
SN2006br	35.314	0.201	0.0255	10.97	10.87	11.36	CSPI
SN2006ej	34.746	0.201	0.0193	10.63	10.48	10.7	CSPI
SN2006eq	36.024	0.199	0.0484	10.19	9.79	10.65	CSPI
SN2006et	34.84	0.187	0.0216	10.8	10.7	10.88	CSPI
SN2006ev	35.525	0.177	0.0276	10.75	10.65	10.91	CSPI
SN2006gj	35.396	0.182	0.027	10.53	10.36	10.6	CSPI
SN2006gt	36.371	0.178	0.0436	9.93	9.87	9.94	CSPI
SN2006hb	33.928	0.226	0.0153	10.22	10.05	10.39	CSPI
SN2006hx	36.277	0.162	0.0444	10.31	10.12	10.44	CSPI
SN2006is	35.548	0.173	0.0314	7.1	6.68	7.41	CSPI
SN2006kf	34.646	0.191	0.0208	10.82	10.59	10.9	CSPI
SN2006mr	31.634	0.505	0.0055	11.19	10.79	11.38	CSPI
SN2006ob	36.889	0.172	0.0583	11.26	11.08	11.33	CSPI
SN2006os	35.586	0.174	0.0321	10.81	10.66	10.87	CSPI
SN2007A	34.343	0.253	0.0165	10.57	10.57	10.57	CSPI
SN2007N	34.038	0.241	0.014	10.19	10.1	10.57	CSPI
SN2007S	33.868	0.227	0.015	9.98	9.63	10.16	CSPI
SN2007af	31.957	0.053	0.0063	9.82	9.69	9.87	CSPI
SN2007ai	35.541	0.166	0.032	9.91	9.76	10.18	CSPI
SN2007al	33.702	0.251	0.0133	9.47	9.33	9.91	CSPI
SN2007as	34.392	0.205	0.0179	10.36	10.24	10.43	CSPI
SN2007ax	32.913	0.38	0.0076	10.23	10.13	10.29	CSPI
SN2007ba	35.674	0.172	0.0391	10.99	10.9	11.06	CSPI
SN2007bc	34.818	0.188	0.0218	10.73	10.65	10.78	CSPI
SN2007bd	35.735	0.169	0.0318	10.82	10.68	10.89	CSPI
SN2007bm	32.238	0.385	0.0074	10.27	10.09	10.72	CSPI
SN2007ca	34.061	0.226	0.0151	9.69	9.52	9.74	CSPI
SN2007hj	33.835	0.252	0.0129	10.45	10.3	10.89	CSPI
SN2007jg	35.872	0.164	0.0366	8.1	7.95	8.22	CSPI
SN2007le	32.268	0.503	0.0055	9.85	9.71	10.16	CSPI
SN2007nq	35.987	0.167	0.0439	11.21	11.15	11.28	CSPI
SN2007on	31.396	0.454	0.0062	11.04	10.78	11.45	CSPI
SN2007sr	31.736	0.12	0.0067	10.05	9.85	10.17	CSPI
SN2007st	34.561	0.2	0.0207	10.95	10.85	11.4	CSPI
SN2007ux	35.621	0.165	0.032	10.3	10.23	10.34	CSPI
SN2008C	34.401	0.215	0.0171	10.49	10.35	10.55	CSPI
SN2008O	36.085	0.163	0.0393	11.33	11.12	11.59	CSPI
SN2008R	33.649	0.254	0.0129	11.25	11.07	11.31	CSPI
SN2008ar	35.232	0.174	0.0272	10.21	10.11	10.28	CSPI
SN2008bc	34.137	0.22	0.0157	10.1	9.95	10.23	CSPI
SN2008bf	35.355	0.179	0.0246	11.4	11.4	11.4	CSPI
SN2008bi	34.134	0.241	0.0144	10.38	10.27	10.48	CSPI
SN2008bq	35.858	0.179	0.0344	10.82	10.74	10.91	CSPI
SN2008bt	34.294	0.256	0.0166	10.85	10.7	10.91	CSPI
SN2008cc	32.894	0.299	0.0101	10.48	10.4	10.64	CSPI
SN2008cf	36.406	0.159	0.0468	8.73	8.59	8.97	CSPI
SN2008ff	34.664	0.201	0.0187	10.8	10.8	10.8	CSPI
SN2008fl	34.538	0.199	0.0194	10.94	10.87	11.01	CSPI
SN2008fp	31.884	0.447	0.0063	10.2	10.15	10.63	CSPI
SN2008fr	36.139	0.164	0.0379	7.73	7.58	7.92	CSPI
SN2008fu	36.653	0.16	0.0518	10.72	10.66	10.8	CSPI
SN2008fw	33.12	0.315	0.0095	10.49	10.31	10.61	CSPI
SN2008gg	35.804	0.17	0.0311	10.73	10.63	10.82	CSPI
SN2008gl	35.843	0.166	0.0329	10.86	10.81	10.92	CSPI
SN2008gp	35.854	0.166	0.0328	10.73	10.64	10.79	CSPI
SN2008hj	36.06	0.162	0.0367	10.4	10.2	10.69	CSPI
SN2008hu	36.489	0.166	0.0505	10.99	10.84	11.07	CSPI
SN2008hv	33.883	0.242	0.0136	10.55	10.29	10.67	CSPI
SN2008ia	34.692	0.185	0.0225	10.77	10.54	11.23	CSPI
SN2009D	35.108	0.177	0.0247	10.43	10.35	10.5	CSPI
SN2009F	33.823	0.252	0.0129	10.79	10.61	11.22	CSPI
SN2009I	35.245	0.178	0.0254	10.74	10.53	10.88	CSPI
SN2009Y	33.103	0.206	0.0101	10.76	10.66	10.95	CSPI
SN2009aa	35.333	0.169	0.0285	10.6	10.1	10.8	CSPI
SN2009ab	33.573	0.283	0.0109	10.35	10.2	10.78	CSPI
SN2009ad	35.529	0.171	0.0283	10.58	10.5	10.64	CSPI
SN2009ag	33.109	0.321	0.0092	10.2	9.99	10.6	CSPI
SN2009al	34.915	0.184	0.0233	10.72	10.66	10.77	CSPI
SN2009cz	34.918	0.187	0.022	10.75	10.68	10.84	CSPI
SN2009ds	34.708	0.193	0.0205	10.77	10.62	10.97	CSPI
SN2009ig	32.624	0.09	0.008	10.35	10.35	10.35	
SN2011by	31.833	0.09	0.0034	9.47	9.47	9.47	
SN2011fe	29.107	0.041	0.0012	10.23	10.23	10.23	
SN2011iy	31.032	0.52	0.0053	10.39	10.21	10.83	CSPII
SN2011jh	32.658	0.331	0.0089	10.09	10.02	10.16	CSPII
SN2012aq	36.583	0.157	0.0526	7.77	7.63	8.01	CSPII
SN2012ar	35.161	0.174	0.0285	10.94	10.84	11.02	CSPII
SN2012bl	34.677	0.207	0.0182	10.09	9.85	10.24	CSPII
SN2012bo	35.372	0.177	0.0265	10.32	10.15	10.4	CSPII
SN2012cg	30.89	0.129	0.0026	9.7	9.6	9.8	
SN2012fr	31.411	0.057	0.0051	11.25	11.06	11.32	CSPII
SN2012gm	33.809	0.242	0.0136	10.01	9.9	10.08	CSPII
SN2012hd	33.437	0.278	0.0111	10.44	10.38	10.54	CSPII
SN2012hr	32.779	0.367	0.0079	10.32	10.21	10.45	CSPII
SN2012ht	31.955	0.035	0.0047	8.06	8.06	8.06	CSPII
SN2013E	32.903	0.292	0.0105	9.96	9.83	9.99	CSPII
SN2013H	34.1	0.222	0.0159	10.5	10.32	10.6	CSPII
SN2013M	35.703	0.163	0.0357	10.9	10.73	11.04	CSPII
SN2013U	35.465	0.166	0.0357	10.27	10.15	10.31	CSPII
SN2013aa	30.507	0.053	0.0047	9.99	9.85	10.12	CSPII
SN2013ad	35.69	0.168	0.0359	11.5	11.5	11.5	CSPII
SN2013aj	32.86	0.3	0.0101	9.99	9.82	10.38	CSPII
SN2013as	37.236	0.202	0.0696	8.59	8.43	8.95	CSPII
SN2013ay	33.628	0.224	0.0157	10.72	10.64	10.82	CSPII
SN2013az	35.757	0.168	0.0375	10.99	10.93	11.07	CSPII
SN2013bc	34.7	0.191	0.0235	10.47	10.28	10.55	CSPII
SN2013bz	34.322	0.194	0.0202	9.98	9.94	10.04	CSPII
SN2013dy	31.322	0.126	0.0029	9.09	9.09	9.09	
SN2013fy	35.477	0.175	0.0302	10.86	10.77	10.96	CSPII
SN2013fz	34.624	0.194	0.0206	10.69	10.61	10.77	CSPII
SN2013gv	35.939	0.164	0.0335	11.27	11.16	11.56	CSPII
SN2013gy	33.658	0.242	0.0136	9.0	8.98	9.16	CSPII
SN2013hn	34.006	0.229	0.016	10.99	10.84	11.07	CSPII
SN2014I	35.35	0.166	0.0302	10.9	10.76	11.31	CSPII
SN2014Z	34.83	0.195	0.0209	10.75	10.66	10.81	CSPII
SN2014ba	31.743	0.555	0.005	10.64	10.56	11.06	CSPII
SN2014dl	35.243	0.166	0.0331	9.48	9.19	9.68	CSPII
SN2014dn	34.855	0.191	0.0221	10.65	10.58	10.72	CSPII
SN2014eg	34.493	0.206	0.0183	11.62	11.47	11.73	CSPII
SN2015F	31.443	0.066	0.0053	10.97	10.97	10.97	CSPII
SNhunt281	32.197	0.584	0.0047	9.75	9.66	9.85	CSPII
