sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
ASAS14me,0.0178,0.017386,1.078,0.005,15.542,0.073,6.3,0.0175,0.0018,6.346e-06,,,,0.001,0.006,0.0,N/A,-1.0,-1.0,,,,,9.05,8.91,9.15,CSPII,Ia,0.981,none
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.587,0.013,0.1,0.0179,0.0018,2.691e-06,,,,-0.042,0.005,0.0,N/A,-1.0,-1.0,,,,,10.68,10.59,10.75,CSPII,Ia,0.984,none
ASAS14my,0.0205,0.0217279,0.921,0.005,16.087,0.018,-3.5,0.0316,0.0032,7.778e-07,,,,0.007,0.01,0.0,N/A,-1.0,-1.0,,,,,10.31,10.11,10.74,CSPII,Ia,0.975,none
ASAS15aj,0.0109133,0.0120218,0.83,0.007,14.781,0.03,1.1,0.0656,0.0066,-7.332e-07,,,,0.095,0.009,0.0,N/A,-1.0,-1.0,,,,,11.2,11.05,11.35,CSPII,Ia,0.952,none
ASAS15al,0.0337766,0.0337612,1.079,0.027,17.572,0.061,24.2,0.0293,0.0029,-4.102e-05,,,,0.043,0.059,0.0,N/A,-1.0,-1.0,,,,,8.07,8.03,8.23,CSPII,Ia,0.916,none
ASAS15as,0.0286801,0.0297845,1.077,0.014,16.967,0.114,29.4,0.0398,0.004,4.962e-05,,,,0.018,0.008,0.0,N/A,-1.0,-1.0,,,,,7.66,7.47,8.01,CSPII,Ia,0.985,none
ASAS15ba,0.0231167,0.0239771,0.965,0.004,16.433,0.074,9.0,0.0223,0.0022,-4.793e-06,,,,0.0,0.006,0.0,N/A,-1.0,-1.0,,,,,7.99,7.83,8.19,CSPII,Ia,0.983,none
ASAS15be,0.0218833,0.0213892,1.14,0.005,16.253,0.013,4.7,0.0167,0.0017,8.939e-06,,,,0.008,0.006,0.0,N/A,-1.0,-1.0,,,,,7.8,7.66,8.16,CSPII,Ia,0.976,none
ASAS15bm,0.0207856,0.0214395,0.989,0.005,16.038,0.014,-0.4,0.069,0.0069,1.952e-06,,,,0.119,0.01,0.0,N/A,-1.0,-1.0,,,,,10.02,9.89,10.15,CSPII,Ia,0.976,none
ASAS15cb,0.04001,0.0411361,1.088,0.052,17.408,0.105,6.8,0.0279,0.0028,-8.488e-05,,,,0.102,0.079,0.0,N/A,-1.0,-1.0,,,,,10.28,10.17,10.4,CSPII,Ia,0.583,none
ASAS15cd,0.0342863,0.0353887,1.001,0.005,17.304,0.013,0.8,0.0261,0.0026,-7.758e-06,,,,-0.03,0.009,0.0,N/A,-1.0,-1.0,,,,,9.95,9.85,10.02,CSPII,Ia,0.983,none
ASAS15db,0.01099,0.0113676,0.953,0.003,15.042,0.06,16.8,0.029,0.0029,1.04e-05,,,,0.078,0.007,0.0,N/A,-1.0,-1.0,,,,,10.11,9.98,10.19,CSPII,Ia,0.975,none
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.24,0.092,18.8,0.0461,0.0046,2.977e-06,,,,-0.017,0.009,0.0,N/A,-1.0,-1.0,,,,,10.41,10.31,10.52,CSPII,Ia,0.962,none
ASAS15fr,0.0334133,0.0345082,0.905,0.021,17.258,0.073,4.3,0.0321,0.0032,-6.795e-05,,,,-0.147,0.066,0.0,N/A,-1.0,-1.0,,,,,9.98,9.89,10.06,CSPII,Ia-91T,0.978,none
ASAS15ga,0.0066267,0.0076517,0.5,0.031,14.293,0.151,1.2,0.0236,0.0024,-0.0007131,,,,0.421,0.051,0.0,N/A,-1.0,-1.0,,,,,10.38,10.18,10.48,CSPII,Ia-91bg,0.966,none
ASAS15go,0.01891,0.0192546,1.072,0.011,16.087,0.025,0.8,0.1369,0.0137,-2.399e-06,,,,0.214,0.006,0.0,N/A,-1.0,-1.0,,,,,10.18,10.04,10.27,CSPII,Ia,0.981,none
ASAS15gr,0.0242832,0.0247678,1.031,0.006,16.369,0.077,15.2,0.0823,0.0082,-7.052e-06,,,,-0.046,0.006,0.0,N/A,-1.0,-1.0,,,,,8.94,8.82,9.02,CSPII,Ia,0.983,none
ASAS15hf,0.0061733,0.0072452,0.939,0.005,13.907,0.077,4.0,0.0854,0.0085,2.493e-06,,,,0.004,0.01,0.0,N/A,-1.0,-1.0,,,,,9.56,9.39,9.97,CSPII,Ia,0.961,none
ASAS15hg,0.02975,0.0308678,0.824,0.02,17.123,0.094,8.5,0.041,0.0041,-6.896e-05,,,,0.048,0.061,0.0,N/A,-1.0,-1.0,,,,,10.42,10.3,10.51,CSPII,Ia,0.985,none
ASAS15hx,0.0083,0.0092051,1.034,0.004,13.864,0.011,-6.6,0.0415,0.0042,1.466e-05,,,,-0.035,0.005,0.0,N/A,-1.0,-1.0,,,,,7.45,7.06,7.89,CSPII,Ia,0.909,none
CSP12G,0.0369744,0.0379661,1.158,0.029,17.286,0.097,13.9,0.0283,0.0028,9.131e-05,,,,0.109,0.075,0.0,N/A,-1.0,-1.0,,,,,8.41,8.29,8.49,CSPII,Ia,0.985,none
CSP13N,0.04776,0.0487969,1.145,0.024,17.731,0.065,18.3,0.0238,0.0024,0.0001111,,,,-0.015,0.065,0.0,N/A,-1.0,-1.0,,,,,10.07,9.88,10.24,CSPII,Ia-91T,0.976,none
CSP13V,0.0599585,0.0611394,1.069,0.049,18.4,0.096,21.5,0.0474,0.0047,0.002134,,,,-0.075,0.114,0.0,N/A,-1.0,-1.0,,,,,11.5,11.5,11.5,CSPII,Ia,0.987,none
CSP13Z,0.0788454,0.0800694,1.215,0.017,18.907,0.052,-2.3,0.0484,0.0048,0.0001246,,,,-0.026,0.012,0.0,N/A,-1.0,-1.0,,,,,8.35,8.25,8.85,CSPII,Ia-91T,0.98,none
CSP13aad,0.0868,0.0865709,1.193,0.035,19.207,0.124,16.2,0.0206,0.0021,0.0004895,,,,0.029,0.073,0.0,N/A,-1.0,-1.0,,,,,9.65,9.59,9.8,CSPII,Ia,0.979,none
CSP13aaf,0.0775863,0.0787193,1.131,0.015,18.546,0.092,8.4,0.0222,0.0022,2.04e-05,,,,-0.056,0.008,0.0,N/A,-1.0,-1.0,,,,,10.66,10.53,11.04,CSPII,Ia,0.978,none
CSP13aam,0.0749481,0.0750921,1.138,0.014,18.854,0.158,7.7,0.1643,0.0164,-2.26e-05,,,,-0.15,0.011,0.0,N/A,-1.0,-1.0,,,,,9.05,8.65,9.23,CSPII,Ia,0.968,none
CSP13aao,0.0613575,0.0616022,0.7,0.051,18.861,0.224,5.3,0.0444,0.0044,-0.002163,,,,0.123,0.088,0.0,N/A,-1.0,-1.0,,,,,9.93,9.8,10.09,CSPII,Ia,0.978,none
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.567,0.027,-2.6,0.0293,0.0029,1.537e-05,,,,-0.057,0.012,0.0,N/A,-1.0,-1.0,,,,,11.5,11.5,11.5,CSPII,Ia,0.969,none
CSP13aay,0.0589592,0.0587551,1.142,0.012,18.739,0.016,4.3,0.0159,0.0016,-1.601e-06,,,,0.037,0.009,0.0,N/A,-1.0,-1.0,,,,,11.5,11.5,11.5,CSPII,Ia,0.955,none
CSP13abl,0.0403721,0.0406288,0.812,0.05,18.062,0.044,-0.3,0.0862,0.0086,-0.0001636,,,,1.061,0.063,0.0,N/A,-1.0,-1.0,,,,,8.91,8.9,9.04,CSPII,Ia,0.42,none
CSP13abs,0.0771466,0.0783462,1.22,0.018,18.801,0.035,2.4,0.0208,0.0021,1.3e-05,,,,-0.062,0.016,0.0,N/A,-1.0,-1.0,,,,,6.36,6.23,6.48,CSPII,Ia-91T,0.983,none
CSP14aar,0.0421708,0.0423854,0.982,0.01,17.687,0.12,14.1,0.0934,0.0093,4.81e-05,,,,-0.016,0.009,0.0,N/A,-1.0,-1.0,,,,,9.07,8.9,9.42,CSPII,Ia,0.986,none
CSP14abk,0.0797448,0.0797387,0.963,0.025,17.974,0.047,1.3,0.0663,0.0066,-0.0001088,,,,0.082,0.028,0.0,N/A,-1.0,-1.0,,,,,11.5,11.5,11.5,CSPII,Ia,0.0,none
CSP14abn,0.0225,0.0232746,1.004,0.004,16.186,0.01,3.0,0.0747,0.0075,-1.321e-05,,,,-0.036,0.004,0.0,N/A,-1.0,-1.0,,,,,9.75,9.59,10.24,CSPII,Ia,0.976,none
CSP14acy,0.0663741,0.0660269,1.215,0.035,18.097,0.134,11.4,0.0174,0.0017,7.458e-05,,,,0.085,0.072,0.0,N/A,-1.0,-1.0,,,,,8.19,7.86,8.33,CSPII,Ia-91T,0.027,none
CSP14adc,0.03244,0.031651,0.815,0.009,17.396,0.028,0.5,0.0949,0.0095,1.365e-06,,,,0.219,0.011,0.0,N/A,-1.0,-1.0,,,,,10.81,10.67,11.14,CSPII,Ia,0.976,none
CSP14ade,0.0624568,0.0626358,1.181,0.012,17.971,0.226,49.2,0.077,0.0077,0.0003694,,,,0.034,0.011,0.0,N/A,-1.0,-1.0,,,,,10.49,10.33,10.97,CSPII,Ia-91T,0.963,none
CSP15B,0.0198862,0.0208198,0.72,0.006,15.635,0.109,25.8,0.0641,0.0064,2.772e-05,,,,0.132,0.011,0.0,N/A,-1.0,-1.0,,,,,10.95,10.78,11.42,CSPII,Ia,0.966,none
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.24,0.05,12.4,0.0226,0.0023,-5.679e-06,,,,0.455,0.011,0.0,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,11.06,11.22,N/A,N/A,0.0,s
KISS13j,0.0765333,0.0776331,0.872,0.028,18.545,0.34,19.2,0.0326,0.0033,5.62e-05,,,,0.132,0.022,0.0,N/A,-1.0,-1.0,,,,,9.83,9.65,10.21,CSPII,Ia,0.963,none
KISS15m,0.02432,0.0253844,0.429,0.009,17.549,0.026,-6.9,0.0277,0.0028,2.68e-05,,,,0.62,0.031,0.0,N/A,-1.0,-1.0,,,,,9.78,9.67,9.94,CSPII,Ia-91bg,0.958,none
KISS15n,0.023084,0.0239783,1.241,0.009,15.865,0.079,6.0,0.0088,0.0009,4.355e-05,,,,0.102,0.009,0.0,N/A,-1.0,-1.0,,,,,8.0,7.8,8.17,CSPII,Ia-91T,0.85,none
LSQ11bk,0.0402721,0.0400251,1.071,0.015,17.706,0.021,4.1,0.0936,0.0094,-3.193e-05,,,,-0.079,0.011,0.0,N/A,-1.0,-1.0,,,,,6.53,6.5,6.59,CSPII,Ia,0.967,none
LSQ11ot,0.02732,0.0273222,0.982,0.003,17.133,0.012,3.7,0.1581,0.0158,-3.479e-06,,,,0.318,0.006,0.0,N/A,-1.0,-1.0,,,,,10.17,10.0,10.22,CSPII,Ia,0.976,none
LSQ11pn,0.0326533,0.0326611,0.507,0.008,17.329,0.026,-2.0,0.1457,0.0146,-4.735e-05,,,,0.285,0.018,0.0,N/A,-1.0,-1.0,,,,,10.7,10.52,10.8,CSPII,Ia,0.948,none
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.574,0.136,12.9,0.0371,0.0037,-5.121e-05,,,,0.084,0.074,0.0,N/A,-1.0,-1.0,,,,,9.3,9.29,9.43,CSPII,Ia,0.986,none
LSQ12bld,0.0833623,0.084303,0.892,0.01,19.49,0.032,-0.3,0.0233,0.0023,1.362e-06,,,,0.101,0.016,0.0,N/A,-1.0,-1.0,,,,,10.55,10.42,10.64,CSPII,Ia,0.987,none
LSQ12btn,0.0541733,0.0552706,0.832,0.009,18.339,0.085,26.9,0.0333,0.0033,8.527e-05,,,,0.098,0.011,0.0,N/A,-1.0,-1.0,,,,,10.9,10.84,10.94,CSPII,Ia,0.986,none
LSQ12cdl,0.1079253,0.1090245,0.988,0.045,20.18,0.101,7.4,0.0492,0.0049,-0.0003698,,,,-0.143,0.075,0.0,N/A,-1.0,-1.0,,,,,8.81,8.79,8.93,CSPII,Ia,0.986,none
LSQ12fuk,0.0205857,0.0205571,1.003,0.006,16.071,0.067,5.1,0.0714,0.0071,-3.798e-05,,,,-0.009,0.012,0.0,N/A,-1.0,-1.0,,,,,8.34,8.2,8.45,CSPII,Ia,0.982,none
LSQ12fvl,0.05593,0.055977,0.61,0.008,18.639,0.032,-3.7,0.0179,0.0018,6.522e-05,,,,0.251,0.016,0.0,N/A,-1.0,-1.0,,,,,10.74,10.55,10.93,CSPII,Ia,0.981,none
LSQ12fxd,0.03122,0.0313344,1.161,0.006,16.922,0.019,-5.0,0.0217,0.0022,1.741e-05,,,,-0.008,0.006,0.0,N/A,-1.0,-1.0,,,,,10.28,10.16,10.4,CSPII,Ia,0.98,none
LSQ12gdj,0.0303033,0.0292813,1.167,0.007,16.552,0.025,4.8,0.0199,0.002,1.466e-05,,,,-0.035,0.007,0.0,N/A,-1.0,-1.0,,,,,8.66,8.36,8.76,CSPII,Ia-91T,0.969,none
LSQ12hno,0.0472673,0.0468084,0.989,0.015,17.894,0.02,4.1,0.0994,0.0099,-9.822e-05,,,,0.046,0.01,0.0,N/A,-1.0,-1.0,,,,,7.7,7.64,7.9,CSPII,Ia,0.983,none
LSQ12hvj,0.0712507,0.0723911,1.206,0.014,19.06,0.019,-1.4,0.0458,0.0046,1.941e-05,,,,0.08,0.009,0.0,N/A,-1.0,-1.0,,,,,9.05,8.79,9.22,CSPII,Ia,0.986,none
LSQ12hxx,0.06936,0.0689135,1.204,0.023,18.867,0.048,3.2,0.0153,0.0015,3.022e-05,,,,0.077,0.017,0.0,N/A,-1.0,-1.0,,,,,10.45,10.28,10.58,CSPII,Ia,0.986,none
LSQ12hzj,0.0334,0.0345752,0.97,0.004,17.294,0.026,-0.0,0.0569,0.0057,-3.758e-06,,,,-0.07,0.007,0.0,N/A,-1.0,-1.0,,,,,9.35,9.32,9.73,CSPII,Ia,0.985,none
LSQ12hzs,0.07208,0.0718169,1.145,0.012,18.895,0.022,-1.6,0.0227,0.0023,7.399e-06,,,,0.1,0.011,0.0,N/A,-1.0,-1.0,,,,,10.02,9.88,10.42,CSPII,Ia,0.985,none
LSQ13abo,0.0674467,0.0681328,0.877,0.019,19.001,0.076,-0.3,0.0906,0.0091,6.918e-06,,,,0.205,0.028,0.0,N/A,-1.0,-1.0,,,,,10.31,10.04,10.34,CSPII,Ia,0.986,none
LSQ13cwp,0.0666,0.0662474,0.94,0.016,18.901,0.031,2.3,0.1326,0.0133,-2.118e-05,,,,0.086,0.02,0.0,N/A,-1.0,-1.0,,,,,10.54,10.39,10.7,CSPII,Ia,0.986,none
LSQ13dcy,0.0801,0.0800671,1.213,0.042,19.414,0.04,2.9,0.0408,0.0041,-0.0001704,,,,0.095,0.023,0.0,N/A,-1.0,-1.0,,,,,9.18,9.01,9.34,CSPII,Ia,0.929,none
LSQ13dkp,0.0689367,0.0685268,0.657,0.008,18.99,0.046,-0.7,0.0145,0.0015,1.96e-05,,,,0.019,0.013,0.0,N/A,-1.0,-1.0,,,,,10.8,10.61,10.92,CSPII,Ia,0.963,none
LSQ13dpm,0.0508648,0.0520617,1.055,0.009,18.059,0.011,-2.1,0.0529,0.0053,9.944e-06,,,,-0.013,0.005,0.0,N/A,-1.0,-1.0,,,,,9.17,9.06,9.6,CSPII,Ia,0.984,none
LSQ13dsm,0.0423707,0.0419767,0.908,0.004,17.585,0.028,-0.1,0.0088,0.0009,3.263e-06,,,,-0.024,0.008,0.0,N/A,-1.0,-1.0,,,,,9.01,8.85,9.14,CSPII,Ia,0.984,none
LSQ13lq,0.0755477,0.0765051,1.054,0.012,18.7,0.066,5.5,0.0215,0.0022,-4.518e-07,,,,-0.076,0.006,0.0,N/A,-1.0,-1.0,,,,,8.44,8.0,8.63,CSPII,Ia,0.951,none
LSQ13pf,0.0860404,0.0870045,0.917,0.038,19.282,0.153,10.0,0.0558,0.0056,-1.954e-05,,,,0.216,0.072,0.0,N/A,-1.0,-1.0,,,,,10.26,10.14,10.44,CSPII,Ia-91T,0.957,none
LSQ13ry,0.0298367,0.031032,0.88,0.006,17.149,0.034,-8.5,0.0403,0.004,2.552e-05,,,,-0.05,0.011,0.0,N/A,-1.0,-1.0,,,,,9.64,9.54,9.7,CSPII,Ia,0.971,none
LSQ13vy,0.0417711,0.0421068,0.892,0.005,17.778,0.108,9.9,0.0676,0.0068,2.752e-05,,,,0.075,0.008,0.0,N/A,-1.0,-1.0,,,,,10.17,10.15,10.33,CSPII,Ia,0.985,none
LSQ14act,0.05905,0.0594518,0.701,0.008,18.707,0.029,1.3,0.2269,0.0227,-3.896e-05,,,,-0.002,0.011,0.0,N/A,-1.0,-1.0,,,,,10.17,10.07,10.61,CSPII,Ia,0.976,none
LSQ14age,0.0805442,0.0815802,1.115,0.014,19.54,0.045,-4.1,0.0576,0.0058,6.082e-05,,,,-0.019,0.013,0.0,N/A,-1.0,-1.0,,,,,8.42,8.33,8.59,CSPII,Ia,0.976,none
LSQ14ahc,0.0508648,0.0517592,1.252,0.01,17.931,0.022,-2.8,0.0461,0.0046,1.426e-05,,,,-0.02,0.011,0.0,N/A,-1.0,-1.0,,,,,9.13,8.89,9.62,CSPII,Ia,0.986,none
LSQ14ahm,0.0497655,0.0509869,1.161,0.009,18.047,0.021,-5.6,0.0274,0.0027,6.372e-06,,,,-0.059,0.011,0.0,N/A,-1.0,-1.0,,,,,8.2,8.03,8.37,CSPII,Ia,0.986,none
LSQ14auy,0.0824129,0.0832263,1.136,0.014,19.045,0.022,0.7,0.0669,0.0067,4.747e-06,,,,-0.009,0.011,0.0,N/A,-1.0,-1.0,,,,,10.74,10.61,11.19,CSPII,Ia,0.987,none
LSQ14ba,0.0775463,0.0787677,0.959,0.006,19.307,0.023,-0.8,0.0493,0.0049,3.584e-06,,,,0.034,0.013,0.0,N/A,-1.0,-1.0,,,,,9.47,9.3,9.87,CSPII,Ia,0.986,none
LSQ14bjj,0.0811438,0.0819882,0.996,0.008,19.195,0.015,0.8,0.0408,0.0041,-1.451e-05,,,,-0.082,0.009,0.0,N/A,-1.0,-1.0,,,,,8.46,8.3,8.91,CSPII,Ia,0.986,none
LSQ14fms,0.077946,0.0773231,0.849,0.015,19.433,0.196,4.5,0.0143,0.0014,-0.0001225,,,,0.165,0.016,0.0,N/A,-1.0,-1.0,,,,,10.11,10.0,10.49,CSPII,Ia,0.986,none
LSQ14foj,0.0460667,0.0451705,1.015,0.01,17.939,0.028,-6.5,0.0121,0.0012,5.265e-05,,,,0.047,0.011,0.0,N/A,-1.0,-1.0,,,,,8.44,8.33,8.7,CSPII,Ia,0.986,none
LSQ14fom,0.05626,0.0553279,0.947,0.009,18.305,0.033,-3.3,0.0184,0.0018,1.846e-05,,,,0.021,0.011,0.0,N/A,-1.0,-1.0,,,,,9.54,9.4,9.72,CSPII,Ia,0.978,none
LSQ14gfb,0.0527067,0.0527873,0.605,0.035,18.684,0.138,4.3,0.0159,0.0016,-0.001289,,,,0.526,0.064,0.0,N/A,-1.0,-1.0,,,,,10.3,10.11,10.64,CSPII,Ia,0.985,none
LSQ14ghv,0.0666539,0.0662566,0.949,0.009,18.994,0.048,3.3,0.0088,0.0009,-5.961e-05,,,,-0.022,0.011,0.0,N/A,-1.0,-1.0,,,,,10.18,10.06,10.31,CSPII,Ia,0.981,none
LSQ14gov,0.089538,0.0892443,1.141,0.008,19.265,0.035,-0.4,0.0357,0.0036,-1.159e-07,,,,-0.105,0.009,0.0,N/A,-1.0,-1.0,,,,,9.02,8.85,9.19,CSPII,Ia,0.985,none
LSQ14ip,0.0612967,0.0624196,0.522,0.009,18.973,0.081,-6.9,0.0373,0.0037,-9.109e-05,,,,0.345,0.021,0.0,N/A,-1.0,-1.0,,,,,10.18,10.01,10.31,CSPII,Ia,0.987,none
LSQ14jp,0.04539,0.0464896,0.677,0.007,17.887,0.115,9.8,0.053,0.0053,-0.0001083,,,,0.123,0.009,0.0,N/A,-1.0,-1.0,,,,,10.54,10.48,10.81,CSPII,Ia,0.986,none
LSQ14wp,0.0694519,0.0706148,1.138,0.011,18.649,0.024,-2.8,0.0207,0.0021,1.447e-05,,,,-0.05,0.01,0.0,N/A,-1.0,-1.0,,,,,7.48,7.23,7.59,CSPII,Ia-91T,0.984,none
LSQ14xi,0.0507429,0.0519014,1.142,0.011,18.179,0.027,-3.7,0.0368,0.0037,5.588e-05,,,,0.212,0.011,0.0,N/A,-1.0,-1.0,,,,,10.9,10.77,11.07,CSPII,Ia,0.986,none
LSQ15aja,0.0699516,0.0699657,1.027,0.01,18.735,0.018,-4.6,0.0545,0.0054,4.663e-05,,,,-0.092,0.009,0.0,N/A,-1.0,-1.0,,,,,7.46,7.34,7.58,CSPII,Ia,0.984,none
LSQ15alq,0.0470667,0.0480953,0.92,0.005,17.768,0.02,0.7,0.0668,0.0067,-5.042e-06,,,,-0.004,0.006,0.0,N/A,-1.0,-1.0,,,,,10.4,10.22,10.82,CSPII,Ia,0.97,none
LSQ15bv,0.0689,0.0701168,0.955,0.01,18.817,0.136,10.2,0.0443,0.0044,-0.0001458,,,,-0.003,0.017,0.0,N/A,-1.0,-1.0,,,,,10.56,10.39,10.77,CSPII,Ia,0.985,none
PS1-13eao,0.0377533,0.037362,0.893,0.047,17.564,0.039,1.7,0.0107,0.0011,-0.0009823,,,,1.509,0.1,0.0,N/A,-1.0,-1.0,,,,,10.73,10.56,11.04,CSPII,Ia,0.0,none
PS1-14ra,0.0280833,0.0287982,0.778,0.006,16.94,0.014,3.7,0.023,0.0023,-1.386e-05,,,,0.052,0.006,0.0,N/A,-1.0,-1.0,,,,,10.65,10.35,10.72,CSPII,Ia,0.984,none
PS1-14rx,0.0669536,0.0680019,0.848,0.018,19.067,0.064,-4.5,0.0266,0.0027,-5.608e-06,,,,-0.022,0.028,0.0,N/A,-1.0,-1.0,,,,,9.89,9.77,10.06,CSPII,Ia,0.981,none
PS1-14xw,0.0245,0.0245957,1.036,0.01,16.233,0.014,4.4,0.0656,0.0066,-1.499e-05,,,,0.018,0.006,0.0,N/A,-1.0,-1.0,,,,,11.24,11.11,11.71,CSPII,Ia,0.975,none
PS15sv,0.033277,0.0335844,1.113,0.014,16.933,0.018,2.9,0.0782,0.0078,1.498e-05,,,,0.013,0.013,0.0,N/A,-1.0,-1.0,,,,,8.31,8.2,8.56,CSPII,Ia-91T,0.977,none
PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.711,0.016,0.5,0.0507,0.0051,8.861e-06,,,,0.051,0.007,0.0,N/A,-1.0,-1.0,,,,,10.88,10.73,10.97,CSPII,Ia,0.984,none
PTF11ppn,0.0672534,0.0661869,0.66,0.038,18.27,0.181,11.1,0.132,0.0132,-0.002044,,,,0.245,0.164,0.0,N/A,-1.0,-1.0,,,,,11.02,10.96,11.06,CSPII,Ia-91bg,0.154,none
PTF11pra,0.0175433,0.0167242,0.442,0.017,16.571,0.062,1.3,0.0243,0.0024,-1.861e-05,,,,0.935,0.061,0.0,N/A,-1.0,-1.0,,,,,10.68,10.57,10.75,CSPII,Ia,0.981,none
PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.534,0.025,2.3,0.0556,0.0056,4.856e-05,,,,0.255,0.009,0.0,N/A,-1.0,-1.0,,,,,10.65,10.38,10.7,CSPII,Ia,0.979,none
PTF13duj,0.01694,0.015867,1.158,0.013,15.674,0.108,15.9,0.0665,0.0067,0.0001721,,,,0.052,0.011,0.0,N/A,-1.0,-1.0,,,,,10.73,10.61,10.82,CSPII,Ia,0.965,none
PTF13dym,0.04213,0.0409061,0.517,0.024,16.644,0.145,1.5,0.0379,0.0038,-0.00109,,,,0.097,0.049,0.0,N/A,-1.0,-1.0,,,,,9.45,9.25,9.88,CSPII,Ia-91bg,0.0,none
PTF13ebh,0.01326,0.012484,0.632,0.004,15.083,0.023,-9.5,0.0668,0.0067,-1.362e-05,,,,0.117,0.009,0.0,NGC0890,33.296,0.081,0.0,0.0,0.0,0.0,10.86,10.809999999999999,10.91,N/A,N/A,0.0,s
PTF13efe,0.0749481,0.0758465,1.159,0.011,18.958,0.022,-0.1,0.0213,0.0021,1.518e-05,,,,-0.022,0.012,0.0,N/A,-1.0,-1.0,,,,,11.5,11.5,11.5,CSPII,Ia,0.987,none
PTF13ez,0.0434699,0.0445375,0.896,0.012,17.798,0.033,1.7,0.0429,0.0043,-0.0001073,,,,0.165,0.031,0.0,N/A,-1.0,-1.0,,,,,9.71,9.52,9.84,CSPII,Ia,0.982,none
