sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
SN2013aj	14.09	14.419	0.031	N/A	CSPII
SN2013as	18.33	18.33	0.081	N/A	CSPII
SN2013ay	16.284	18.198	0.11	N/A	CSPII
SN2013az	17.229	17.67	0.087	N/A	CSPII
SN2013bc	18.187	20.759	0.08	N/A	CSPII
SN2013bz	15.446	15.746	0.031	N/A	CSPII
SN2013cg	13.848	14.137	0.098	N/A	CSPII
SN2013ct	11.843	12.033	0.032	N/A	CSPII
SN2013dy	12.747	13.275	0.037	N7250	N/A
SN2013fy	16.269	16.159	0.031	N/A	CSPII
SN2013fz	15.417	15.416	0.03	N/A	CSPII
SN2013gv	16.76	16.84	0.032	N/A	CSPII
SN2013gy	14.697	14.757	0.03	N/A	CSPII
SN2013hh	17.194	18.665	0.081	N/A	CSPII
SN2013hn	14.886	14.852	0.083	N/A	CSPII
SN2014D	17.251	18.964	0.086	N/A	CSPII
SN2014I	16.296	16.409	0.03	N/A	CSPII
SN2014Z	15.54	15.517	0.075	N/A	CSPII
SN2014ao	16.919	18.816	0.031	N/A	CSPII
SN2014at	16.389	16.333	0.03	N/A	CSPII
SN2014ba	16.121	19.313	0.129	N/A	CSPII
SN2014dl	16.031	15.873	0.031	N/A	CSPII
SN2014dn	17.66	19.95	0.031	N/A	CSPII
SN2014eg	15.512	16.082	0.031	N/A	CSPII
SN2015F	12.753	13.024	0.033	N2442	CSPII
SNhunt281	13.695	14.074	0.03	N/A	CSPII
