sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
SN2008ff	16.276	16.692	0.027	N/A	CSPI
SN2008fl	16.205	16.494	0.059	N/A	CSPI
SN2008fp	13.576	14.893	0.024	N/A	CSPI
SN2008fr	17.799	17.766	0.081	N/A	CSPI
SN2008fu	18.335	18.407	0.104	N/A	CSPI
SN2008fw	14.707	14.772	0.074	N/A	CSPI
SN2008gg	17.421	17.792	0.071	N/A	CSPI
SN2008gl	17.513	17.733	0.024	N/A	CSPI
SN2008gp	17.46	17.388	0.025	N/A	CSPI
SN2008hj	17.668	17.634	0.024	N/A	CSPI
SN2008hu	18.18	18.431	0.08	N/A	CSPI
SN2008hv	15.542	15.542	0.024	N/A	CSPI
SN2008ia	16.366	16.424	0.026	N/A	CSPI
SN2009D	16.662	16.371	0.024	N/A	CSPI
SN2009F	15.977	17.96	0.03	N/A	CSPI
SN2009I	16.97	18.824	0.047	N/A	CSPI
SN2009Y	14.692	14.923	0.027	N/A	CSPI
SN2009aa	16.968	17.07	0.024	N/A	CSPI
SN2009ab	15.24	15.459	0.024	N/A	CSPI
SN2009ad	17.107	17.053	0.029	N/A	CSPI
SN2009ag	14.775	15.27	0.025	N/A	CSPI
SN2009al	16.598	17.245	0.032	N/A	CSPI
SN2009cz	16.471	16.279	0.026	N/A	CSPI
SN2009ds	16.293	16.438	0.03	N/A	CSPI
SN2011fe	10.739	10.803	0.002	M101	N/A
SN2011iv	12.78	13.126	0.006	N1404	CSPII
SN2011iy	12.687	13.377	0.024	N/A	CSPII
SN2011jh	14.47	15.8	0.023	N/A	CSPII
SN2012aq	18.265	18.342	0.065	N/A	CSPII
SN2012ar	16.863	17.148	0.025	N/A	CSPII
SN2012bl	16.278	16.31	0.03	N/A	CSPII
SN2012bo	16.937	16.753	0.026	N/A	CSPII
SN2012cg	12.532	12.745	0.005	N4424	N/A
SN2012fr	12.966	12.838	0.004	N1365	CSPII
SN2012gm	15.477	16.025	0.023	N/A	CSPII
SN2012hd	15.129	15.625	0.023	N/A	CSPII
SN2012hr	14.407	14.469	0.022	N/A	CSPII
SN2013E	14.499	14.556	0.024	N/A	CSPII
SN2013H	15.735	16.234	0.024	N/A	CSPII
SN2013M	17.334	17.463	0.026	N/A	CSPII
SN2013U	17.054	17.244	0.028	N/A	CSPII
SN2013aa	12.111	11.88	0.007	N5643	CSPII
SN2013ad	17.258	16.977	0.028	N/A	CSPII
SN2013aj	14.598	14.969	0.024	N/A	CSPII
SN2013as	18.891	18.921	0.088	N/A	CSPII
SN2013ay	15.676	17.593	0.09	N/A	CSPII
SN2013az	17.494	17.961	0.076	N/A	CSPII
SN2013bc	16.817	19.409	0.069	N/A	CSPII
SN2013bz	15.93	16.19	0.026	N/A	CSPII
SN2013fy	17.027	16.839	0.029	N/A	CSPII
SN2013fz	16.224	16.213	0.024	N/A	CSPII
SN2013gv	17.599	17.69	0.025	N/A	CSPII
SN2013gy	15.344	15.449	0.023	N/A	CSPII
SN2013hn	15.676	15.656	0.076	N/A	CSPII
SN2014I	16.992	17.118	0.023	N/A	CSPII
SN2014Z	16.435	16.408	0.071	N/A	CSPII
SN2014ba	14.036	17.18	0.108	N/A	CSPII
SN2014dl	16.818	16.587	0.026	N/A	CSPII
SN2014dn	16.959	19.249	0.026	N/A	CSPII
SN2014eg	16.077	16.572	0.027	N/A	CSPII
SN2017cbv	12.054	11.957	0.008	N5643	N/A
SNhunt281	14.004	14.421	0.023	N/A	CSPII
