sn	mmax_snoopy	mmax_corrected	err_mmax	host	Source
SN2009F	15.977	17.959	0.024		CSPI
SN2009I	16.97	18.823	0.042		CSPI
SN2009Y	14.692	14.922	0.047	N5728	CSPI
SN2009aa	16.968	17.069	0.019		CSPI
SN2009ab	15.24	15.458	0.019		CSPI
SN2009ad	17.107	17.052	0.023		CSPI
SN2009ag	14.775	15.269	0.019		CSPI
SN2009al	16.598	17.244	0.027		CSPI
SN2009cz	16.471	16.278	0.021		CSPI
SN2009ds	16.293	16.437	0.025		CSPI
SN2009ig	14.239	14.467	0.011	N1015	N/A
SN2011by	13.481	13.519	0.009	N3972	N/A
SN2011fe	10.739	10.802	0.002	M101	N/A
SN2011iy	12.687	13.376	0.019		CSPII
SN2011jh	14.47	15.799	0.018		CSPII
SN2012aq	18.265	18.341	0.06		CSPII
SN2012ar	16.863	17.147	0.019		CSPII
SN2012bl	16.278	16.309	0.025		CSPII
SN2012bo	16.937	16.752	0.02		CSPII
SN2012cg	12.532	12.744	0.018	N4424	N/A
SN2012fr	12.966	12.837	0.004	N1365	CSPII
SN2012gm	15.477	16.024	0.017		CSPII
SN2012hd	15.129	15.624	0.018		CSPII
SN2012hr	14.407	14.468	0.017		CSPII
SN2012ht	13.684	13.825	0.002	N3447	CSPII
SN2013E	14.499	14.555	0.018		CSPII
SN2013H	15.735	16.233	0.019		CSPII
SN2013M	17.334	17.462	0.02		CSPII
SN2013U	17.054	17.243	0.022		CSPII
SN2013aa	12.111	11.879	0.003	N5643	CSPII
SN2013ad	17.258	16.976	0.023		CSPII
SN2013aj	14.598	14.968	0.018		CSPII
SN2013as	18.891	18.92	0.082		CSPII
SN2013ay	15.676	17.592	0.085		CSPII
SN2013az	17.494	17.96	0.071		CSPII
SN2013bc	16.817	19.408	0.064		CSPII
SN2013bz	15.93	16.189	0.021		CSPII
SN2013dy	12.983	13.518	0.017	N7250	N/A
SN2013fy	17.027	16.838	0.023		CSPII
SN2013fz	16.224	16.212	0.018		CSPII
SN2013gv	17.599	17.689	0.02		CSPII
SN2013gy	15.344	15.448	0.018		CSPII
SN2013hn	15.676	15.655	0.071		CSPII
SN2014I	16.992	17.117	0.018		CSPII
SN2014Z	16.435	16.407	0.066		CSPII
SN2014ba	14.036	17.179	0.102		CSPII
SN2014dl	16.818	16.586	0.021		CSPII
SN2014dn	16.959	19.248	0.021		CSPII
SN2014eg	16.077	16.571	0.022		CSPII
SN2015F	13.107	13.396	0.005	N2442	CSPII
SNhunt281	14.004	14.42	0.018		CSPII
