ObjID,Name,zhel,zcmb,sBV,e_sBV,mcorr,e_mcorr,BV,e_BV,mass
99,SN08gg,0.031993,0.031066,1.114,0.027,16.3443531219,0.148178156059,0.141,0.0636003144646,10.7648076878
100,SN08gl,0.033993,0.032946,0.851,0.004,16.5828296576,0.0218148419743,0.035,0.00565685424949,11.0492000049
101,SN08go,0.062367,0.061313,0.912,0.023,17.8545337138,0.0364679377568,0.04,0.00989949493661,11.1018489996
102,SN08gp,0.03339,0.032823,0.973,0.005,16.4220302822,0.0281672418841,-0.005,0.00921954445729,10.9234656455
103,SN08hj,0.037867,0.036722,1.011,0.006,16.731424234,0.0318411961787,0.0,0.00707106781187,10.3976477304
104,SN08hu,0.049666,0.050526,0.786,0.008,17.6318840366,0.0571819810652,0.014,0.0186010752377,11.3675114102
105,SN08hv,0.01254,0.01358,0.846,0.003,14.6715204973,0.0287819747382,-0.03,0.00781024967591,10.8557734079
106,SN08ia,0.021983,0.02254,0.843,0.004,15.8403291418,0.0312202846863,-0.037,0.00921954445729,11.0091618697
107,SN09D,0.02499,0.024654,1.186,0.006,15.9393876349,0.0370377617817,-0.019,0.00565685424949,10.5796109245
108,SN09F,0.012947,0.01291,0.328,0.008,14.7442493499,0.100194716588,0.55,0.0206155281281,10.7442947839
109,SN09I,0.02615,0.025431,1.064,0.019,16.3663200707,0.0808907630122,0.639,0.0192093727123,10.7554098764
110,SN09P,0.025087,0.02632,1.093,0.03,15.9342097799,0.0851397866083,0.387,0.0242074368738,10.1121996229
111,SN09Y,0.009347,0.010103,1.189,0.008,13.7511668918,0.0448924617627,0.15,0.0106301458127,11.014352177
112,SN09aa,0.02729,0.028481,0.906,0.004,16.1850016436,0.0270529240167,0.019,0.00848528137424,11.0183202
113,SN09ab,0.011163,0.010862,0.874,0.005,14.4263264979,0.0335753195478,0.045,0.00848528137424,10.5146965314
114,SN09ad,0.02838,0.028317,1.015,0.006,16.0892429929,0.0282769627995,0.03,0.00848528137424,10.6809610432
115,SN09ag,0.008633,0.009248,0.961,0.007,14.0595955365,0.0465103148514,0.162,0.0134536240471,10.5158857553
116,SN09al,0.02209,0.023276,1.174,0.041,15.8200772952,0.175514609479,0.137,0.0794040301244,10.8058327688
117,SN09cz,0.021123,0.021979,1.189,0.012,15.8101150063,0.0446561654625,0.024,0.0106301458127,10.9842244011
118,SN09ds,0.019247,0.020466,1.125,0.02,15.3171728184,0.0437016716702,0.102,0.0120415945788,10.9489556823
119,SN09le,0.017773,0.017027,1.156,0.021,15.1187092057,0.0390684290204,0.133,0.00781024967591,10.9093157408
120,SN1981B,0.006027,0.007169,0.921,0.006,11.6119205338,0.0409109690812,0.076,0.00921954445729,10.9760339076
121,SN1990N,0.003,0.004068,1.122,0.009,12.5849115781,0.0459538856758,0.068,0.00989949493661,9.9662212173
122,SN1994ae,0.004,0.00512,1.046,0.007,12.9017480993,0.0479094297881,0.067,0.01,9.91827448984
123,SN1995al,0.005,0.005876,1.126,0.016,12.9724407802,0.0530099436556,0.151,0.0120415945788,10.1378262899
124,SN1998aq,0.003697,0.004262,0.949,0.005,12.4523598955,0.048481301278,-0.081,0.01,9.98925448168
125,SN1998bu,0.002483,0.003681,0.959,0.004,10.9437256937,0.0455712984768,0.371,0.00721110255093,10.8730132341
126,SN01el,0.003896,0.003676,0.952,0.006,12.2632408865,0.0419046619634,0.165,0.0108166538264,10.337056925
127,SN02fk,0.00712,0.006614,0.979,0.005,13.3305888628,0.0356701831696,-0.076,0.00781024967591,10.2726882927
128,SN03du,0.006384,0.006652,1.006,0.004,13.4227947989,0.0928781729607,-0.056,0.00565685424949,8.60432127853
129,SN05cf,0.006461,0.007045,0.97,0.006,12.9133779169,0.0676540908125,0.07,0.0106301458127,9.65847570323
130,SN09ig,0.0088,0.00804,1.108,0.016,13.2504802899,0.0517838500228,0.079,0.0128062484749,10.3462629853
131,SN11by,0.002843,0.003405,0.956,0.004,12.5994061528,0.0555747187761,0.048,0.01,9.47887771893
