sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype,Ho,eHo,meth,kmag,ekmag,dsbf,ed
SN2013dy,0.003889,0.0028843,1.112,0.006,12.985,0.012,-5.1,0.132,0.0132,3.658e-06,,,,,,0.205,0.006,0.0,9.09,9.09,9.09,N7250,31.5,0.08,c,,,,,,,
SN2013fy,0.0308467,0.0301903,1.174,0.011,17.05,0.057,11.8,0.023,0.0023,-1.661e-05,CSPII,Ia,0.985,1,1,0.01,0.008,0.0,10.77,10.86,10.96,N/A,-1.0,-1.0,none,,,,,,,
SN2013fz,0.0205933,0.0205517,1.015,0.004,16.251,0.034,9.7,0.0119,0.0012,4.136e-06,CSPII,Ia,0.98,0,1,-0.002,0.004,0.0,10.61,10.69,10.77,N/A,-1.0,-1.0,none,,,,,,,
SN2013gv,0.0340967,0.0334585,0.845,0.008,17.589,0.03,1.3,0.1434,0.0143,-1.044e-06,CSPII,Ia,0.973,1,1,-0.025,0.012,0.0,11.16,11.27,11.56,N/A,-1.0,-1.0,none,,,,,,,
SN2013gy,0.0140133,0.0135587,0.911,0.003,15.344,0.015,-8.0,0.0485,0.0049,6.803e-06,CSPII,Ia,0.976,0,1,-0.008,0.006,0.0,8.98,9.0,9.16,N/A,-1.0,-1.0,none,,,,,,,
SN2013hn,0.01513,0.0160268,0.821,0.026,15.699,0.069,11.1,0.0529,0.0053,-4.035e-05,CSPII,Ia,0.98,0,1,-0.069,0.067,0.0,10.84,10.99,11.07,N/A,-1.0,-1.0,none,,,,,,,
SN2014I,0.0299933,0.0302041,0.916,0.003,16.99,0.014,-2.8,0.0207,0.0021,2.623e-06,CSPII,Ia,0.98,1,1,-0.022,0.006,0.0,10.76,10.9,11.31,N/A,-1.0,-1.0,none,,,,,,,
SN2014Z,0.02126,0.0209246,0.98,0.029,16.447,0.042,7.3,0.0246,0.0025,3.805e-05,CSPII,Ia,0.983,0,1,-0.019,0.06,0.0,10.66,10.75,10.81,N/A,-1.0,-1.0,none,,,,,,,
SN2014ba,0.0058367,0.0049902,0.338,0.021,14.043,0.049,4.7,0.0102,0.001,-1.498e-05,CSPII,Ia-91bg,0.954,0,1,0.944,0.09,0.0,10.56,10.64,11.06,N/A,-1.0,-1.0,none,,,,,,,
SN2014dl,0.0329433,0.0331433,1.227,0.013,16.817,0.037,0.1,0.0547,0.0055,-1.412e-07,CSPII,Ia-91T,0.694,1,0,0.019,0.007,0.0,9.19,9.48,9.68,N/A,-1.0,-1.0,none,,,,,,,
SN2014dn,0.0221733,0.0221408,0.465,0.005,16.956,0.05,4.2,0.0161,0.0016,1.302e-05,CSPII,Ia,0.982,0,0,0.653,0.01,0.0,10.58,10.65,10.72,N/A,-1.0,-1.0,none,,,,,,,
SN2014eg,0.01862,0.018331,1.183,0.01,16.076,0.041,3.7,0.0257,0.0026,3.903e-05,CSPII,Ia-91T,0.947,0,1,0.247,0.009,0.0,11.47,11.62,11.73,N/A,-1.0,-1.0,none,,,,,,,
SN2015F,0.0048867,0.0052804,0.885,0.003,13.119,0.016,-10.1,0.1749,0.0175,1.192e-05,CSPII,Ia,0.987,0,1,0.05,0.008,0.0,10.97,10.97,10.97,N2442,31.51,0.05,c,,,,,,,
SN2017cbv,0.003999,0.0046684,1.124,0.005,12.055,0.007,-5.5,0.1452,0.0145,2.999e-06,,,,,,0.013,0.008,0.0,9.0,9.0,9.0,N5643,30.48,0.08,t,,,,,,,
SNhunt281,0.0040667,0.004706,0.692,0.003,14.01,0.014,1.5,0.0454,0.0045,-7.337e-06,CSPII,Ia,0.947,0,1,0.04,0.007,0.0,9.66,9.75,9.85,N/A,-1.0,-1.0,none,,,,,,,
