sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,method,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,m,ml,mu,sample,subtype,quality,caltype
ASAS15aj,0.0109133,0.0120218,0.83,0.007,14.677,0.007,-2.6,0.0656,0.0066,1.946e-06,,,,0.095,0.009,4.9e-05,N/A,-1.0,-1.0,,,11.2,11.05,11.35,CSPII,Ia,0.952,none
ASAS15al,0.0337766,0.0337612,1.079,0.027,16.888,0.047,0.4,0.0293,0.0029,-3.818e-05,,,,0.043,0.059,0.002209,N/A,-1.0,-1.0,,,8.07,8.03,8.23,CSPII,Ia,0.916,none
ASAS15as,0.0286801,0.0297845,1.077,0.014,16.202,0.006,-1.2,0.0398,0.004,-1.007e-05,,,,0.018,0.008,3.6e-05,N/A,-1.0,-1.0,,,7.66,7.47,8.01,CSPII,Ia,0.985,none
ASAS15ba,0.0231167,0.0239771,0.965,0.004,15.979,0.005,-2.0,0.0223,0.0022,7.071e-07,,,,0.0,0.006,2.5e-05,N/A,-1.0,-1.0,,,7.99,7.83,8.19,CSPII,Ia,0.983,none
ASAS15be,0.0218833,0.0213892,1.14,0.005,15.628,0.004,-7.2,0.0167,0.0017,-2.388e-06,,,,0.008,0.006,1.6e-05,N/A,-1.0,-1.0,,,7.8,7.66,8.16,CSPII,Ia,0.976,none
ASAS15bm,0.0207856,0.0214395,0.989,0.005,15.749,0.007,-7.6,0.069,0.0069,9.619e-06,,,,0.119,0.01,4.9e-05,N/A,-1.0,-1.0,,,10.02,9.89,10.15,CSPII,Ia,0.976,none
ASAS15cb,0.04001,0.0411361,1.088,0.052,17.059,0.064,2.0,0.0279,0.0028,-0.0003234,,,,0.102,0.079,0.004096,N/A,-1.0,-1.0,,,10.28,10.17,10.4,CSPII,Ia,0.583,none
ASAS15cd,0.0342863,0.0353887,1.001,0.005,16.667,0.007,-3.5,0.0261,0.0026,4.808e-06,,,,-0.03,0.009,4.9e-05,N/A,-1.0,-1.0,,,9.95,9.85,10.02,CSPII,Ia,0.983,none
ASAS15da,0.0487,0.0488203,0.851,0.025,17.543,0.062,2.5,0.0303,0.003,-0.0001186,,,,-0.133,0.076,0.003844,N/A,-1.0,-1.0,,,10.4,10.23,10.48,CSPII,Ia,0.973,none
ASAS15db,0.01099,0.0113676,0.953,0.003,14.683,0.006,-6.1,0.029,0.0029,6.447e-06,,,,0.078,0.007,3.6e-05,N/A,-1.0,-1.0,,,10.11,9.98,10.19,CSPII,Ia,0.975,none
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.053,0.007,-0.7,0.0461,0.0046,-2.843e-06,,,,-0.017,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.41,10.31,10.52,CSPII,Ia,0.962,none
ASAS15eb,0.01647,0.0173082,0.82,0.018,15.207,0.013,-0.8,0.1652,0.0165,-4.154e-05,,,,-0.136,0.016,0.000169,N/A,-1.0,-1.0,,,10.96,10.79,11.4,CSPII,Ia,0.978,none
ASAS15fr,0.0334133,0.0345082,0.905,0.021,16.676,0.053,1.4,0.0321,0.0032,-8.091e-06,,,,-0.147,0.066,0.002809,N/A,-1.0,-1.0,,,9.98,9.89,10.06,CSPII,Ia-91T,0.978,none
ASAS15ga,0.0066267,0.0076517,0.5,0.031,15.5,0.034,-3.7,0.0236,0.0024,0.0004011,,,,0.421,0.051,0.001156,N/A,-1.0,-1.0,,,10.38,10.18,10.48,CSPII,Ia-91bg,0.966,none
ASAS15go,0.01891,0.0192546,1.072,0.011,16.067,0.005,-3.9,0.1369,0.0137,5.055e-06,,,,0.214,0.006,2.5e-05,N/A,-1.0,-1.0,,,10.18,10.04,10.27,CSPII,Ia,0.981,none
ASAS15gr,0.0242832,0.0247678,1.031,0.006,15.826,0.005,-3.3,0.0823,0.0082,5.913e-06,,,,-0.046,0.006,2.5e-05,N/A,-1.0,-1.0,,,8.94,8.82,9.02,CSPII,Ia,0.983,none
ASAS15hf,0.0061733,0.0072452,0.939,0.005,14.003,0.008,-7.8,0.0854,0.0085,1.519e-05,,,,0.004,0.01,6.4e-05,N/A,-1.0,-1.0,,,9.56,9.39,9.97,CSPII,Ia,0.961,none
ASAS15hg,0.02975,0.0308678,0.824,0.02,16.882,0.049,1.8,0.041,0.0041,-2.409e-05,,,,0.048,0.061,0.002401,N/A,-1.0,-1.0,,,10.42,10.3,10.51,CSPII,Ia,0.985,none
ASAS15hx,0.0083,0.0092051,1.034,0.004,13.147,0.004,-11.1,0.0415,0.0042,7.211e-06,,,,-0.035,0.005,1.6e-05,N/A,-1.0,-1.0,,,7.45,7.06,7.89,CSPII,Ia,0.909,none
CSP12G,0.0369744,0.0379661,1.158,0.029,17.202,0.061,9.0,0.0283,0.0028,-0.0001117,,,,0.109,0.075,0.003721,N/A,-1.0,-1.0,,,8.41,8.29,8.49,CSPII,Ia,0.985,none
CSP12J,0.01468,0.0149235,0.484,0.025,16.375,0.107,5.1,0.0678,0.0068,-0.0003476,,,,0.555,0.128,0.011449,N/A,-1.0,-1.0,,,10.09,9.97,10.2,CSPII,Ia,0.917,none
CSP12N,0.0971328,0.0982741,1.062,0.011,18.591,0.006,-8.9,0.0429,0.0043,2.37e-05,,,,-0.11,0.008,3.6e-05,N/A,-1.0,-1.0,,,7.51,7.32,7.66,CSPII,Ia,0.985,none
CSP13N,0.04776,0.0487969,1.145,0.024,16.962,0.053,3.2,0.0238,0.0024,-6.379e-05,,,,-0.015,0.065,0.002809,N/A,-1.0,-1.0,,,10.07,9.88,10.24,CSPII,Ia-91T,0.976,none
CSP13Q,0.089,0.0887656,0.768,0.243,18.915,0.069,1.0,0.0287,0.0029,-0.000686,,,,-0.046,0.082,0.004761,N/A,-1.0,-1.0,,,10.25,10.06,10.74,CSPII,Ia,0.986,none
CSP13V,0.0599585,0.0611394,1.069,0.049,17.595,0.091,16.8,0.0474,0.0047,-0.002706,,,,-0.075,0.114,0.008281,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.987,none
CSP13Z,0.0788454,0.0800694,1.215,0.017,18.167,0.009,-7.2,0.0484,0.0048,2.815e-05,,,,-0.026,0.012,8.1e-05,N/A,-1.0,-1.0,,,8.35,8.25,8.85,CSPII,Ia-91T,0.98,none
CSP13aad,0.0868,0.0865709,1.193,0.035,18.695,0.059,3.1,0.0206,0.0021,-8.866e-05,,,,0.029,0.073,0.003481,N/A,-1.0,-1.0,,,9.65,9.59,9.8,CSPII,Ia,0.979,none
CSP13aaf,0.0775863,0.0787193,1.131,0.015,18.269,0.006,-3.6,0.0222,0.0022,-1.379e-05,,,,-0.056,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.66,10.53,11.04,CSPII,Ia,0.978,none
CSP13aam,0.0749481,0.0750921,1.138,0.014,17.801,0.008,-3.2,0.1643,0.0164,-2.655e-05,,,,-0.15,0.011,6.4e-05,N/A,-1.0,-1.0,,,9.05,8.65,9.23,CSPII,Ia,0.968,none
CSP13aao,0.0613575,0.0616022,0.7,0.051,18.16,0.072,0.9,0.0444,0.0044,-0.000385,,,,0.123,0.088,0.005184,N/A,-1.0,-1.0,,,9.93,9.8,10.09,CSPII,Ia,0.978,none
CSP13aaq,0.0597586,0.0597706,0.984,0.007,17.985,0.009,-6.9,0.0293,0.0029,2.218e-05,,,,-0.057,0.012,8.1e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.969,none
CSP13aay,0.0589592,0.0587551,1.142,0.012,18.235,0.007,-1.6,0.0159,0.0016,-2.714e-05,,,,0.037,0.009,4.9e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.955,none
CSP13abl,0.0403721,0.0406288,0.812,0.05,21.235,0.057,-5.0,0.0862,0.0086,0.0006938,,,,1.061,0.063,0.003249,N/A,-1.0,-1.0,,,8.91,8.9,9.04,CSPII,Ia,0.42,none
CSP13abm,0.0281805,0.027529,1.14,0.009,16.349,0.006,-3.9,0.1485,0.0149,-3.539e-06,,,,-0.018,0.008,3.6e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.747,none
CSP13abs,0.0771466,0.0783462,1.22,0.018,18.212,0.012,-6.7,0.0208,0.0021,6.91e-05,,,,-0.062,0.016,0.000144,N/A,-1.0,-1.0,,,6.36,6.23,6.48,CSPII,Ia-91T,0.983,none
CSP14aaq,0.0359133,0.0361755,0.905,0.015,16.639,0.014,-6.7,0.0524,0.0052,7.266e-05,,,,-0.085,0.021,0.000196,N/A,-1.0,-1.0,,,11.08,11.01,11.48,CSPII,Ia,0.986,none
CSP14aar,0.0421708,0.0423854,0.982,0.01,17.079,0.007,-1.0,0.0934,0.0093,-2.139e-06,,,,-0.016,0.009,4.9e-05,N/A,-1.0,-1.0,,,9.07,8.9,9.42,CSPII,Ia,0.986,none
CSP14abk,0.0797448,0.0797387,0.963,0.025,18.044,0.021,-4.7,0.0663,0.0066,0.0002186,,,,0.082,0.028,0.000441,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.0,none
CSP14abn,0.0225,0.0232746,1.004,0.004,15.609,0.003,-1.4,0.0747,0.0075,-5.32e-07,,,,-0.036,0.004,9e-06,N/A,-1.0,-1.0,,,9.75,9.59,10.24,CSPII,Ia,0.976,none
CSP14acl,0.0299792,0.0289327,0.959,0.008,16.565,0.012,-0.2,0.0264,0.0026,-2.21e-05,,,,-0.081,0.015,0.000144,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.081,none
CSP14acy,0.0663741,0.0660269,1.215,0.035,17.811,0.057,0.2,0.0174,0.0017,-5.06e-05,,,,0.085,0.072,0.003249,N/A,-1.0,-1.0,,,8.19,7.86,8.33,CSPII,Ia-91T,0.027,none
CSP14adc,0.03244,0.031651,0.815,0.009,17.159,0.009,-3.1,0.0949,0.0095,1.02e-05,,,,0.219,0.011,8.1e-05,N/A,-1.0,-1.0,,,10.81,10.67,11.14,CSPII,Ia,0.976,none
CSP14ade,0.0624568,0.0626358,1.181,0.012,17.69,0.008,-7.6,0.077,0.0077,8.707e-07,,,,0.034,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.49,10.33,10.97,CSPII,Ia-91T,0.963,none
CSP15B,0.0198862,0.0208198,0.72,0.006,16.114,0.009,-3.8,0.0641,0.0064,1.903e-05,,,,0.132,0.011,8.1e-05,N/A,-1.0,-1.0,,,10.95,10.78,11.42,CSPII,Ia,0.966,none
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.762,0.008,-6.6,0.0226,0.0023,4.715e-06,,,,0.455,0.011,6.4e-05,N/A,-1.0,-1.0,,,11.14,10.96,11.26,CSPII,Ia-91bg,0.981,none
KISS13j,0.0765333,0.0776331,0.872,0.028,18.859,0.018,-1.4,0.0326,0.0033,3.894e-05,,,,0.132,0.022,0.000324,N/A,-1.0,-1.0,,,9.83,9.65,10.21,CSPII,Ia,0.963,none
KISS13l,0.1320086,0.1330018,1.106,0.064,19.518,0.074,1.6,0.0137,0.0014,-0.001119,,,,-0.033,0.088,0.005476,N/A,-1.0,-1.0,,,8.69,8.32,8.85,CSPII,Ia,0.987,none
KISS13v,0.0954,0.0962132,0.985,0.015,19.291,0.013,-9.2,0.0195,0.002,5.018e-05,,,,0.085,0.018,0.000169,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.98,none
KISS15m,0.02432,0.0253844,0.429,0.009,18.302,0.027,-5.9,0.0277,0.0028,5.385e-05,,,,0.62,0.031,0.000729,N/A,-1.0,-1.0,,,9.78,9.67,9.94,CSPII,Ia-91bg,0.958,none
KISS15n,0.023084,0.0239783,1.241,0.009,15.507,0.007,-14.2,0.0088,0.0009,2.725e-05,,,,0.102,0.009,4.9e-05,N/A,-1.0,-1.0,,,8.0,7.8,8.17,CSPII,Ia-91T,0.85,none
LSQ11bk,0.0402721,0.0400251,1.071,0.015,16.874,0.008,-0.7,0.0936,0.0094,-2.144e-05,,,,-0.079,0.011,6.4e-05,N/A,-1.0,-1.0,,,6.53,6.5,6.59,CSPII,Ia,0.967,none
LSQ11ot,0.02732,0.0273222,0.982,0.003,17.876,0.005,-5.3,0.1581,0.0158,5.403e-06,,,,0.318,0.006,2.5e-05,N/A,-1.0,-1.0,,,10.17,10.0,10.22,CSPII,Ia,0.976,none
LSQ11pn,0.0326533,0.0326611,0.507,0.008,17.487,0.013,-4.9,0.1457,0.0146,2.401e-05,,,,0.285,0.018,0.000169,N/A,-1.0,-1.0,,,10.7,10.52,10.8,CSPII,Ia,0.948,none
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.44,0.06,5.0,0.0371,0.0037,-9.756e-05,,,,0.084,0.074,0.0036,N/A,-1.0,-1.0,,,9.3,9.29,9.43,CSPII,Ia,0.986,none
LSQ12aor,0.0933354,0.0945588,0.827,0.021,19.313,0.021,-3.1,0.0415,0.0042,8.142e-05,,,,-0.088,0.026,0.000441,N/A,-1.0,-1.0,,,9.85,9.67,10.15,CSPII,Ia,0.986,none
LSQ12bld,0.0833623,0.084303,0.892,0.01,19.069,0.013,-4.9,0.0233,0.0023,5.819e-05,,,,0.101,0.016,0.000169,N/A,-1.0,-1.0,,,10.55,10.42,10.64,CSPII,Ia,0.987,none
LSQ12btn,0.0541733,0.0552706,0.832,0.009,18.233,0.008,-1.7,0.0333,0.0033,-4.146e-06,,,,0.098,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.9,10.84,10.94,CSPII,Ia,0.986,none
LSQ12ca,0.0994,0.0995466,1.195,0.041,18.945,0.064,4.5,0.0417,0.0042,-0.0001498,,,,-0.084,0.081,0.004096,N/A,-1.0,-1.0,,,10.44,10.34,10.64,CSPII,Ia,0.962,none
LSQ12cda,0.1374948,0.1384035,0.814,0.105,20.191,0.101,4.3,0.0284,0.0028,-0.003702,,,,0.087,0.119,0.010201,N/A,-1.0,-1.0,,,9.82,9.69,9.98,CSPII,Ia,0.859,none
LSQ12cdl,0.1079253,0.1090245,0.988,0.045,19.142,0.06,2.4,0.0492,0.0049,0.0001822,,,,-0.143,0.075,0.0036,N/A,-1.0,-1.0,,,8.81,8.79,8.93,CSPII,Ia,0.986,none
LSQ12fuk,0.0205857,0.0205571,1.003,0.006,15.674,0.008,-0.2,0.0714,0.0071,-6.362e-06,,,,-0.009,0.012,6.4e-05,N/A,-1.0,-1.0,,,8.34,8.2,8.45,CSPII,Ia,0.982,none
LSQ12fvl,0.05593,0.055977,0.61,0.008,18.764,0.012,-4.9,0.0179,0.0018,2.949e-05,,,,0.251,0.016,0.000144,N/A,-1.0,-1.0,,,10.74,10.55,10.93,CSPII,Ia,0.981,none
LSQ12fxd,0.03122,0.0313344,1.161,0.006,16.285,0.004,-9.9,0.0217,0.0022,-5.305e-07,,,,-0.008,0.006,1.6e-05,N/A,-1.0,-1.0,,,10.28,10.16,10.4,CSPII,Ia,0.98,none
LSQ12gdj,0.0303033,0.0292813,1.167,0.007,15.85,0.005,-11.2,0.0199,0.002,1.562e-07,,,,-0.035,0.007,2.5e-05,N/A,-1.0,-1.0,,,8.66,8.36,8.76,CSPII,Ia-91T,0.969,none
LSQ12gef,0.0641556,0.0631798,1.18,0.034,18.894,0.054,0.1,0.0512,0.0051,-0.0001045,,,,0.265,0.067,0.002916,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.987,none
LSQ12gln,0.1020294,0.1021611,1.113,0.02,18.968,0.008,-3.9,0.0201,0.002,-3.631e-05,,,,-0.072,0.012,6.4e-05,N/A,-1.0,-1.0,,,8.75,8.6,9.07,CSPII,Ia,0.986,none
LSQ12gxj,0.0353,0.034596,1.107,0.009,18.071,0.004,-9.8,0.0571,0.0057,4.188e-06,,,,0.262,0.006,1.6e-05,N/A,-1.0,-1.0,,,9.18,9.06,9.31,CSPII,Ia,0.655,none
LSQ12gyc,0.0931355,0.0924863,1.145,0.024,18.759,0.008,-0.7,0.0211,0.0021,-8.571e-05,,,,-0.047,0.01,6.4e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.98,none
LSQ12gzm,0.0999308,0.0993978,1.113,0.044,19.506,0.008,-5.7,0.0208,0.0021,7.811e-06,,,,0.033,0.012,6.4e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.986,none
LSQ12hjm,0.0713506,0.0707978,0.963,0.005,18.293,0.004,-5.8,0.0246,0.0025,1.064e-05,,,,-0.068,0.006,1.6e-05,N/A,-1.0,-1.0,,,10.09,9.93,10.25,CSPII,Ia,0.982,none
LSQ12hno,0.0472673,0.0468084,0.989,0.015,17.919,0.008,-1.1,0.0994,0.0099,2.337e-05,,,,0.046,0.01,6.4e-05,N/A,-1.0,-1.0,,,7.7,7.64,7.9,CSPII,Ia,0.983,none
LSQ12hnr,0.1243,0.1255265,1.167,0.038,19.404,0.054,2.0,0.0324,0.0032,-0.0001522,,,,0.005,0.067,0.002916,N/A,-1.0,-1.0,,,8.05,7.93,8.16,CSPII,Ia,0.982,none
LSQ12hvj,0.0712507,0.0723911,1.206,0.014,18.409,0.007,-5.5,0.0458,0.0046,5.896e-06,,,,0.08,0.009,4.9e-05,N/A,-1.0,-1.0,,,9.05,8.79,9.22,CSPII,Ia,0.986,none
LSQ12hxx,0.06936,0.0689135,1.204,0.023,18.235,0.013,-0.8,0.0153,0.0015,-4.058e-05,,,,0.077,0.017,0.000169,N/A,-1.0,-1.0,,,10.45,10.28,10.58,CSPII,Ia,0.986,none
LSQ12hzj,0.0334,0.0345752,0.97,0.004,16.51,0.005,-4.1,0.0569,0.0057,7.321e-06,,,,-0.07,0.007,2.5e-05,N/A,-1.0,-1.0,,,9.35,9.32,9.73,CSPII,Ia,0.985,none
LSQ12hzs,0.07208,0.0718169,1.145,0.012,18.806,0.007,-7.5,0.0227,0.0023,-1.882e-06,,,,0.1,0.011,4.9e-05,N/A,-1.0,-1.0,,,10.02,9.88,10.42,CSPII,Ia,0.985,none
LSQ13abo,0.0674467,0.0681328,0.877,0.019,18.809,0.024,-7.0,0.0906,0.0091,0.0002905,,,,0.205,0.028,0.000576,N/A,-1.0,-1.0,,,10.31,10.04,10.34,CSPII,Ia,0.986,none
LSQ13aiz,0.0092,0.0102493,0.964,0.006,13.71,0.007,-8.4,0.0788,0.0079,1.646e-05,,,,0.08,0.009,4.9e-05,N/A,-1.0,-1.0,,,8.24,8.12,8.34,CSPII,Ia,0.716,none
LSQ13cwp,0.0666,0.0662474,0.94,0.016,18.395,0.016,-6.7,0.1326,0.0133,0.0001349,,,,0.086,0.02,0.000256,N/A,-1.0,-1.0,,,10.54,10.39,10.7,CSPII,Ia,0.986,none
LSQ13dby,0.0999308,0.0995683,1.14,0.014,19.105,0.006,-5.9,0.0093,0.0009,-1.889e-06,,,,-0.044,0.009,3.6e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.865,none
LSQ13dcy,0.0801,0.0800671,1.213,0.042,19.189,0.017,-2.1,0.0408,0.0041,7.8e-06,,,,0.095,0.023,0.000289,N/A,-1.0,-1.0,,,9.18,9.01,9.34,CSPII,Ia,0.929,none
LSQ13dhj,0.0935,0.0929027,1.16,0.019,19.057,0.013,-6.7,0.0132,0.0013,4.104e-06,,,,0.057,0.019,0.000169,N/A,-1.0,-1.0,,,8.63,8.27,8.78,CSPII,Ia,0.985,none
LSQ13dkp,0.0689367,0.0685268,0.657,0.008,18.771,0.01,-4.7,0.0145,0.0015,2.652e-05,,,,0.019,0.013,0.0001,N/A,-1.0,-1.0,,,10.8,10.61,10.92,CSPII,Ia,0.963,none
LSQ13dpm,0.0508648,0.0520617,1.055,0.009,17.683,0.004,-7.7,0.0529,0.0053,1.393e-05,,,,-0.013,0.005,1.6e-05,N/A,-1.0,-1.0,,,9.17,9.06,9.6,CSPII,Ia,0.984,none
LSQ13dqh,0.1038,0.1035425,1.197,0.02,19.318,0.012,-5.6,0.0501,0.005,9.181e-06,,,,-0.039,0.016,0.000144,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.969,none
LSQ13dsm,0.0423707,0.0419767,0.908,0.004,17.263,0.006,-11.8,0.0088,0.0009,1.043e-05,,,,-0.024,0.008,3.6e-05,N/A,-1.0,-1.0,,,9.01,8.85,9.14,CSPII,Ia,0.984,none
LSQ13lq,0.0755477,0.0765051,1.054,0.012,18.003,0.005,-6.1,0.0215,0.0022,2.484e-05,,,,-0.076,0.006,2.5e-05,N/A,-1.0,-1.0,,,8.44,8.0,8.63,CSPII,Ia,0.951,none
LSQ13pf,0.0860404,0.0870045,0.917,0.038,19.645,0.058,1.2,0.0558,0.0056,-7.238e-05,,,,0.216,0.072,0.003364,N/A,-1.0,-1.0,,,10.26,10.14,10.44,CSPII,Ia-91T,0.957,none
LSQ13ry,0.0298367,0.031032,0.88,0.006,16.54,0.009,-12.2,0.0403,0.004,2.209e-05,,,,-0.05,0.011,8.1e-05,N/A,-1.0,-1.0,,,9.64,9.54,9.7,CSPII,Ia,0.971,none
LSQ13vy,0.0417711,0.0421068,0.892,0.005,17.65,0.006,-5.8,0.0676,0.0068,1.262e-05,,,,0.075,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.17,10.15,10.33,CSPII,Ia,0.985,none
LSQ14act,0.05905,0.0594518,0.701,0.008,18.372,0.008,-3.3,0.2269,0.0227,1.27e-05,,,,-0.002,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.17,10.07,10.61,CSPII,Ia,0.976,none
LSQ14age,0.0805442,0.0815802,1.115,0.014,18.473,0.009,-11.9,0.0576,0.0058,2.389e-06,,,,-0.019,0.013,8.1e-05,N/A,-1.0,-1.0,,,8.42,8.33,8.59,CSPII,Ia,0.976,none
LSQ14ahc,0.0508648,0.0517592,1.252,0.01,17.271,0.008,-8.0,0.0461,0.0046,4.066e-05,,,,-0.02,0.011,6.4e-05,N/A,-1.0,-1.0,,,9.13,8.89,9.62,CSPII,Ia,0.986,none
LSQ14ahm,0.0497655,0.0509869,1.161,0.009,17.21,0.007,-10.6,0.0274,0.0027,9.58e-07,,,,-0.059,0.011,4.9e-05,N/A,-1.0,-1.0,,,8.2,8.03,8.37,CSPII,Ia,0.986,none
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.296,0.007,-0.3,0.0193,0.0019,-1.842e-06,,,,0.066,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.11,9.95,10.3,CSPII,Ia,0.979,none
LSQ14asu,0.0683967,0.069594,0.775,0.012,18.888,0.009,-3.6,0.0372,0.0037,3.641e-05,,,,0.004,0.011,8.1e-05,N/A,-1.0,-1.0,,,10.67,10.51,10.86,CSPII,Ia,0.927,none
LSQ14auy,0.0824129,0.0832263,1.136,0.014,18.658,0.007,-4.3,0.0669,0.0067,-1.374e-05,,,,-0.009,0.011,4.9e-05,N/A,-1.0,-1.0,,,10.74,10.61,11.19,CSPII,Ia,0.987,none
LSQ14azy,0.0457633,0.0469322,1.136,0.027,17.682,0.055,3.6,0.0164,0.0016,-0.0001024,,,,0.066,0.067,0.003025,N/A,-1.0,-1.0,,,9.94,9.75,10.1,CSPII,Ia,0.981,none
