sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,dist,edist,covBVs,host,caltype
ASAS14lp,0.0050967,0.0062254,1.029,0.004,12.37,0.008,-13.9,0.0213,0.0021,1.154e-06,CSPII,Ia,0.335,0,1,0.24300000000000033,0.006403124237432849,0.0,10.6,10.74,10.91,-1.0,-1.0,5.687e-06,,
ASAS14lq,0.0261733,0.0250833,0.999,0.024,16.788,0.075,5.6,0.0275,0.0028,-7.633e-05,CSPII,Ia,0.977,0,1,0.019999999999999574,0.07940403012442127,0.0,10.46,10.65,10.73,-1.0,-1.0,-1.0990000000000002e-05,,
ASAS14lt,0.0320233,0.0314552,0.944,0.008,17.031,0.019,-4.6,0.0474,0.0047,-4.675e-06,CSPII,Ia,0.984,1,0,-0.0329999999999977,0.016401219466856725,0.0,10.56,10.64,10.7,-1.0,-1.0,1.0000000000001598e-08,,
ASAS14lw,0.0208855,0.0202609,1.25,0.007,16.431,0.012,-9.0,0.0117,0.0012,1.151e-05,CSPII,Ia,0.939,0,1,-0.012000000000000455,0.009219544457292887,0.0,6.08,6.35,6.72,-1.0,-1.0,3.0699999999999994e-06,,
ASAS14me,0.0178,0.017386,1.078,0.005,15.791,0.008,-11.4,0.0175,0.0018,2.529e-06,CSPII,Ia,0.981,0,1,0.006999999999999673,0.00565685424949238,0.0,8.91,9.05,9.15,-1.0,-1.0,6.19e-06,,
ASAS14mf,0.03108,0.0301521,0.984,0.005,17.128,0.013,-4.7,0.0125,0.0013,-9.226e-06,CSPII,Ia,0.984,1,0,-0.012000000000000455,0.01063014581273465,0.0,8.66,8.93,9.03,-1.0,-1.0,2.48e-06,,
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.68,0.007,-6.6,0.0179,0.0018,2.521e-06,CSPII,Ia,0.984,1,1,-0.03399999999999892,0.005,0.0,10.59,10.68,10.75,-1.0,-1.0,1.2944e-05,,
ASAS14my,0.0205,0.0217279,0.923,0.005,16.143,0.011,-8.2,0.0316,0.0032,4.975e-06,CSPII,Ia,0.975,0,1,0.014999999999998792,0.01,0.0,10.11,10.31,10.74,-1.0,-1.0,9.722000000000001e-06,,
ASAS15aj,0.0109133,0.0120218,0.831,0.007,14.912,0.013,-2.6,0.0656,0.0066,4.194e-06,CSPII,Ia,0.952,0,1,0.10299999999999976,0.009219544457292887,0.0,11.05,11.2,11.35,-1.0,-1.0,-1.2812999999999999e-05,,
ASAS15al,0.0337766,0.0337612,1.077,0.028,17.541,0.06,0.4,0.0293,0.0029,-1.162e-05,CSPII,Ia,0.916,1,0,0.054999999999999716,0.05920304046246273,0.0,8.03,8.07,8.23,-1.0,-1.0,-1.0789999999999997e-05,,
ASAS15as,0.0286801,0.0297845,1.076,0.014,17.037,0.01,-1.3,0.0398,0.004,-2.351e-06,CSPII,Ia,0.985,1,1,0.028999999999999915,0.0078102496759066544,0.0,7.47,7.66,8.01,-1.0,-1.0,1.348e-05,,
ASAS15ba,0.0231167,0.0239771,0.967,0.004,16.651,0.008,-2.1,0.0223,0.0022,-4.563e-06,CSPII,Ia,0.983,0,1,0.008000000000000895,0.006403124237432849,0.0,7.83,7.99,8.19,-1.0,-1.0,-1.1373e-06,,
ASAS15be,0.0218833,0.0213892,1.134,0.006,16.404,0.008,-7.2,0.0167,0.0017,9.406e-06,CSPII,Ia,0.976,0,1,0.019000000000000128,0.006403124237432849,0.0,7.66,7.8,8.16,-1.0,-1.0,-2.0469e-05,,
ASAS15bm,0.0207856,0.0214395,0.991,0.005,16.25,0.012,-7.6,0.069,0.0069,1.618e-06,CSPII,Ia,0.976,0,1,0.12700000000000067,0.009899494936611667,0.0,9.89,10.02,10.15,-1.0,-1.0,-4.38e-06,,
ASAS15cb,0.04001,0.0411361,1.086,0.053,17.662,0.076,1.9,0.0279,0.0028,0.0001735,CSPII,Ia,0.583,1,0,0.10699999999999932,0.07940403012442127,0.0,10.17,10.28,10.4,-1.0,-1.0,-0.00026724,,
ASAS15cd,0.0342863,0.0353887,1.003,0.005,17.475,0.011,-3.6,0.0261,0.0026,-7.475e-07,CSPII,Ia,0.983,1,0,-0.021000000000000796,0.009219544457292887,0.0,9.85,9.95,10.02,-1.0,-1.0,-9.859999999999995e-07,,
ASAS15da,0.0487,0.0488203,0.853,0.025,18.36,0.07,2.5,0.0303,0.003,-2.324e-05,CSPII,Ia,0.973,1,0,-0.1319999999999979,0.07602631123499284,0.0,10.23,10.4,10.48,-1.0,-1.0,-0.00010775999999999998,,
ASAS15db,0.01099,0.0113676,0.955,0.003,15.111,0.008,-6.1,0.029,0.0029,-1.858e-06,CSPII,Ia,0.975,0,0,0.0860000000000003,0.006403124237432849,0.0,9.98,10.11,10.19,-1.0,-1.0,3.0610000000000004e-06,,
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.659,0.01,-0.8,0.0461,0.0046,-3.731e-06,CSPII,Ia,0.962,0,0,-0.0070000000000014495,0.009219544457292887,0.0,10.31,10.41,10.52,-1.0,-1.0,-1.3378999999999998e-05,,
ASAS15eb,0.01647,0.0173082,0.821,0.018,15.937,0.024,-0.9,0.1652,0.0165,-8.834e-05,CSPII,Ia,0.978,0,1,-0.12899999999999956,0.015620499351813309,0.0,10.79,10.96,11.4,-1.0,-1.0,-7.844e-05,,
ASAS15fr,0.0334133,0.0345082,0.905,0.021,17.564,0.065,1.4,0.0321,0.0032,-1.002e-05,CSPII,Ia-91T,0.978,1,1,-0.13299999999999912,0.0658027355054484,0.0,9.89,9.98,10.06,-1.0,-1.0,1.3709e-05,,
ASAS15ga,0.0066267,0.0076517,0.496,0.03,15.073,0.173,2.1,0.0236,0.0024,-0.000408,CSPII,Ia-91bg,0.966,0,1,0.43100000000000094,0.04957822102496216,0.0,10.18,10.38,10.48,-1.0,-1.0,-0.0003347,,
ASAS15go,0.01891,0.0192546,1.071,0.012,16.426,0.011,-4.0,0.1369,0.0137,1.399e-06,CSPII,Ia,0.981,0,1,0.22400000000000198,0.006403124237432849,0.0,10.04,10.18,10.27,-1.0,-1.0,2.0911e-05,,
ASAS15gr,0.0242832,0.0247678,1.035,0.007,16.565,0.01,-3.4,0.0823,0.0082,-6.825e-06,CSPII,Ia,0.983,0,1,-0.036000000000001364,0.006403124237432849,0.0,8.82,8.94,9.02,-1.0,-1.0,1.0612e-05,,
ASAS15hf,0.0061733,0.0072452,0.943,0.005,14.571,0.015,-7.8,0.0854,0.0085,1.346e-06,CSPII,Ia,0.961,0,1,0.009000000000000341,0.01,0.0,9.39,9.56,9.97,-1.0,-1.0,3.3200000000000004e-06,,
ASAS15hg,0.02975,0.0308678,0.82,0.02,17.352,0.061,1.7,0.041,0.0041,-2.237e-06,CSPII,Ia,0.985,1,0,0.06299999999999883,0.060802960454241044,0.0,10.3,10.42,10.51,-1.0,-1.0,-2.309e-05,,
ASAS15hx,0.0083,0.0092051,1.039,0.005,13.962,0.008,-11.2,0.0415,0.0042,8.296e-07,CSPII,Ia,0.909,0,1,-0.030000000000001137,0.005,0.0,7.06,7.45,7.89,-1.0,-1.0,7.7367e-06,,
CSP12G,0.0369744,0.0379661,1.159,0.029,17.646,0.07,8.9,0.0283,0.0028,0.0001745,CSPII,Ia,0.985,1,0,0.11499999999999844,0.0738173421358423,0.0,8.29,8.41,8.49,-1.0,-1.0,-0.00017449000000000002,,
CSP12J,0.01468,0.0149235,0.484,0.025,15.974,0.076,5.0,0.0678,0.0068,-4.634e-05,CSPII,Ia,0.917,0,0,0.5549999999999997,0.12841339493993606,0.0,9.97,10.09,10.2,-1.0,-1.0,-0.0001782,,
CSP12N,0.0971328,0.0982741,1.053,0.012,19.64,0.011,-8.9,0.0429,0.0043,7.431e-06,CSPII,Ia,0.985,1,0,-0.11400000000000077,0.00848528137423857,0.0,7.32,7.51,7.66,-1.0,-1.0,5.983e-05,,
CSP13N,0.04776,0.0487969,1.138,0.025,17.79,0.063,3.2,0.0238,0.0024,4.367e-05,CSPII,Ia-91T,0.976,1,0,-0.003999999999997783,0.06661080993352356,0.0,9.88,10.07,10.24,-1.0,-1.0,-0.00011703,,
CSP13Q,0.089,0.0887656,0.76,0.231,19.571,0.114,1.8,0.0287,0.0029,-0.009811,CSPII,Ia,0.986,1,0,-0.046999999999997044,0.08154140052758477,0.0,10.06,10.25,10.74,-1.0,-1.0,0.00034428,,
CSP13V,0.0599585,0.0611394,1.05,0.082,18.576,0.049,17.9,0.0474,0.0047,-0.001274,CSPII,Ia,0.987,0,0,-0.14199999999999946,0.1430873858870865,0.0,11.5,11.5,11.5,-1.0,-1.0,0.0023639999999999998,,
CSP13Z,0.0788454,0.0800694,1.19,0.015,18.962,0.016,-7.1,0.0484,0.0048,6.933e-05,CSPII,Ia-91T,0.98,1,0,-0.022999999999999687,0.01063014581273465,0.0,8.25,8.35,8.85,-1.0,-1.0,-3.0689999999999998e-06,,
CSP13aad,0.0868,0.0865709,1.19,0.033,19.257,0.072,3.2,0.0206,0.0021,0.0001711,CSPII,Ia,0.979,1,0,0.019999999999999574,0.06940461079784253,0.0,9.59,9.65,9.8,-1.0,-1.0,-1.0499999999999998e-05,,
CSP13aaf,0.0775863,0.0787193,1.136,0.015,19.062,0.012,-5.6,0.0222,0.0022,1.981e-05,CSPII,Ia,0.978,1,0,-0.05600000000000094,0.00848528137423857,0.0,10.53,10.66,11.04,-1.0,-1.0,-6.653e-05,,
CSP13aam,0.0749481,0.0750921,1.136,0.017,19.107,0.015,-1.2,0.1643,0.0164,4.123e-05,CSPII,Ia,0.968,1,0,-0.15500000000000114,0.012727922061357855,0.0,8.65,9.05,9.23,-1.0,-1.0,-0.00010781000000000001,,
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.588,0.106,0.8,0.0444,0.0044,-0.001308,CSPII,Ia,0.978,1,0,0.125,0.08683893136145793,0.0,9.8,9.93,10.09,-1.0,-1.0,-0.00030082000000000004,,
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.718,0.016,-6.8,0.0293,0.0029,4.092e-06,CSPII,Ia,0.969,1,0,-0.054999999999999716,0.01131370849898476,0.0,11.5,11.5,11.5,-1.0,-1.0,-3.56e-06,,
CSP13aay,0.0589592,0.0587551,1.14,0.012,18.814,0.012,-1.6,0.0159,0.0016,2.011e-05,CSPII,Ia,0.955,1,0,0.03900000000000148,0.009219544457292887,0.0,11.5,11.5,11.5,-1.0,-1.0,-5.723e-05,,
CSP13abl,0.0403721,0.0406288,0.817,0.051,19.374,0.028,-5.1,0.0862,0.0086,0.0004807,CSPII,Ia,0.42,1,0,1.0730000000000004,0.06264982043070834,0.0,8.9,8.91,9.04,-1.0,-1.0,8.909999999999994e-05,,
CSP13abm,0.0281805,0.027529,1.129,0.01,17.152,0.01,-4.0,0.1485,0.0149,1.675e-05,CSPII,Ia,0.747,0,1,-0.006000000000000227,0.00848528137423857,0.0,11.5,11.5,11.5,-1.0,-1.0,-3.2085e-05,,
CSP13abs,0.0771466,0.0783462,1.208,0.014,18.92,0.019,-6.5,0.0208,0.0021,4.115e-05,CSPII,Ia-91T,0.983,1,0,-0.06099999999999994,0.016278820596099707,0.0,6.23,6.36,6.48,-1.0,-1.0,-1.7099999999999955e-06,,
CSP14aaq,0.0359133,0.0361755,0.898,0.015,17.37,0.03,-6.7,0.0524,0.0052,6.179e-05,CSPII,Ia,0.986,1,0,-0.08999999999999986,0.020518284528683192,0.0,11.01,11.08,11.48,-1.0,-1.0,4.0090000000000004e-05,,
CSP14aar,0.0421708,0.0423854,0.982,0.022,17.812,0.011,-0.9,0.0934,0.0093,-2.371e-05,CSPII,Ia,0.986,1,0,-0.021000000000000796,0.007211102550927979,0.0,8.9,9.07,9.42,-1.0,-1.0,-6.576e-06,,
CSP14abk,0.0797448,0.0797387,0.96,0.025,18.338,0.033,-4.7,0.0663,0.0066,-6.027e-05,CSPII,Ia,0.0,0,0,0.08099999999999952,0.02831960451701259,0.0,11.5,11.5,11.5,-1.0,-1.0,4.999999999999986e-06,,
CSP14abn,0.0225,0.0232746,1.007,0.005,16.372,0.007,-1.4,0.0747,0.0075,-9.185e-06,CSPII,Ia,0.976,0,0,-0.0259999999999998,0.004242640687119285,0.0,9.59,9.75,10.24,-1.0,-1.0,1.0395e-06,,
CSP14acl,0.0299792,0.0289327,0.96,0.008,17.507,0.019,-0.2,0.0264,0.0026,-2.761e-05,CSPII,Ia,0.081,0,0,-0.07099999999999795,0.015,0.0,11.5,11.5,11.5,-1.0,-1.0,-1.456e-05,,
CSP14acy,0.0663741,0.0660269,0.966,0.011,18.306,0.021,-1.8,0.0174,0.0017,-4.995e-05,CSPII,Ia-91T,0.027,1,0,0.12199999999999989,0.017804493814764857,0.0,7.86,8.19,8.33,-1.0,-1.0,-6.139999999999999e-06,,
CSP14adc,0.03244,0.031651,0.811,0.01,17.462,0.015,-3.2,0.0949,0.0095,1.259e-05,CSPII,Ia,0.976,1,1,0.23200000000000287,0.011401754250991379,0.0,10.67,10.81,11.14,-1.0,-1.0,-7.78e-06,,
CSP14ade,0.0624568,0.0626358,1.228,0.013,18.454,0.017,-7.4,0.077,0.0077,3.245e-05,CSPII,Ia-91T,0.963,1,0,0.03500000000000014,0.012041594578792296,0.0,10.33,10.49,10.97,-1.0,-1.0,4.379999999999995e-06,,
CSP15B,0.0198862,0.0208198,0.718,0.006,16.444,0.011,-3.8,0.0641,0.0064,-5.814e-06,CSPII,Ia,0.966,0,1,0.1399999999999988,0.010816653826391968,0.0,10.78,10.95,11.42,-1.0,-1.0,7.780000000000002e-06,,
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.521,0.011,-6.7,0.0226,0.0023,1.299e-05,CSPII,Ia-91bg,0.981,0,1,0.4540000000000006,0.01063014581273465,0.0,10.96,11.14,11.26,-1.0,-1.0,-7.608e-06,,
KISS13j,0.0765333,0.0776331,0.895,0.026,19.364,0.026,-1.3,0.0326,0.0033,-1.092e-05,CSPII,Ia,0.963,1,0,0.1319999999999979,0.020808652046684813,0.0,9.65,9.83,10.21,-1.0,-1.0,9.077e-05,,
KISS13l,0.1320086,0.1330018,1.087,0.115,20.29,0.09,1.9,0.0137,0.0014,-0.0009566,CSPII,Ia,0.987,1,0,-0.038000000000000256,0.09964436762808021,0.0,8.32,8.69,8.85,-1.0,-1.0,-0.0026266,,
KISS13v,0.0954,0.0962132,0.984,0.014,19.619,0.022,-9.1,0.0195,0.002,2.781e-05,CSPII,Ia,0.98,1,0,0.0940000000000012,0.01769180601295413,0.0,11.5,11.5,11.5,-1.0,-1.0,-2.2810000000000007e-05,,
KISS15m,0.02432,0.0253844,0.425,0.009,17.743,0.031,-6.1,0.0277,0.0028,0.0001561,CSPII,Ia-91bg,0.958,0,0,0.6219999999999999,0.03176476034853718,0.0,9.67,9.78,9.94,-1.0,-1.0,2.099e-05,,
KISS15n,0.023084,0.0239783,1.225,0.009,16.055,0.015,-14.0,0.0088,0.0009,3.187e-05,CSPII,Ia-91T,0.85,0,1,0.09700000000000131,0.01063014581273465,0.0,7.8,8.0,8.17,-1.0,-1.0,1.026e-05,,
LSQ11bk,0.0402721,0.0400251,1.071,0.016,17.859,0.013,-0.7,0.0936,0.0094,-1.607e-05,CSPII,Ia,0.967,1,0,-0.0779999999999994,0.01063014581273465,0.0,6.5,6.53,6.59,-1.0,-1.0,2.1769999999999997e-05,,
LSQ11ot,0.02732,0.0273222,0.982,0.004,17.732,0.008,-5.3,0.1581,0.0158,-9.274e-07,CSPII,Ia,0.976,1,1,0.3200000000000003,0.006403124237432849,0.0,10.0,10.17,10.22,-1.0,-1.0,9.700000000000009e-08,,
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.563,0.018,-5.0,0.1457,0.0146,2.212e-05,CSPII,Ia,0.948,1,1,0.2870000000000026,0.01769180601295413,0.0,10.52,10.7,10.8,-1.0,-1.0,-2.373e-05,,
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.947,0.067,3.0,0.0371,0.0037,9.007e-05,CSPII,Ia,0.986,1,0,0.08899999999999864,0.07300684899377592,0.0,9.29,9.3,9.43,-1.0,-1.0,-0.0001611,,
LSQ12aor,0.0933354,0.0945588,0.923,0.018,19.813,0.023,-4.7,0.0415,0.0042,-6.487e-05,CSPII,Ia,0.986,1,0,-0.06899999999999906,0.02469817807045694,0.0,9.67,9.85,10.15,-1.0,-1.0,7.897999999999999e-05,,
LSQ12bld,0.0833623,0.084303,0.896,0.009,19.477,0.012,-7.9,0.0233,0.0023,2.67e-05,CSPII,Ia,0.987,1,0,0.0779999999999994,0.014422205101855958,0.0,10.42,10.55,10.64,-1.0,-1.0,3.076e-05,,
LSQ12btn,0.0541733,0.0552706,0.829,0.01,18.662,0.015,-1.7,0.0333,0.0033,-2.629e-05,CSPII,Ia,0.986,1,0,0.10000000000000142,0.01063014581273465,0.0,10.84,10.9,10.94,-1.0,-1.0,-2.3436e-05,,
LSQ12ca,0.0994,0.0995466,0.947,0.032,19.681,0.076,1.1,0.0417,0.0042,-0.0002397,CSPII,Ia,0.962,0,0,-0.04999999999999716,0.07280109889280519,0.0,10.34,10.44,10.64,-1.0,-1.0,-6.7e-06,,
LSQ12cda,0.1374948,0.1384035,0.813,0.126,20.552,0.11,3.9,0.0284,0.0028,-0.005289,CSPII,Ia,0.859,1,0,0.045000000000001705,0.1265701386583739,0.0,9.69,9.82,9.98,-1.0,-1.0,-0.003626,,
LSQ12cdl,0.1079253,0.1090245,0.994,0.044,19.848,0.074,0.5,0.0492,0.0049,-0.0003024,CSPII,Ia,0.986,1,0,-0.14099999999999824,0.07280109889280519,0.0,8.79,8.81,8.93,-1.0,-1.0,0.000384,,
LSQ12fuk,0.0205857,0.0205571,1.004,0.006,16.336,0.01,-0.2,0.0714,0.0071,-1.785e-05,CSPII,Ia,0.982,0,1,-0.008000000000000895,0.012041594578792296,0.0,8.2,8.34,8.45,-1.0,-1.0,-1.4543999999999998e-05,,
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.895,0.017,-5.9,0.0179,0.0018,-3.483e-05,CSPII,Ia,0.981,1,0,0.24599999999999866,0.0170293863659264,0.0,10.55,10.74,10.93,-1.0,-1.0,-2.8799999999999995e-06,,
LSQ12fxd,0.03122,0.0313344,1.16,0.006,16.968,0.008,-9.8,0.0217,0.0022,1.386e-05,CSPII,Ia,0.98,1,1,-0.006000000000000227,0.00565685424949238,0.0,10.16,10.28,10.4,-1.0,-1.0,-1.1723e-05,,
LSQ12gdj,0.0303033,0.0292813,1.165,0.007,16.669,0.009,-11.2,0.0199,0.002,1.335e-05,CSPII,Ia-91T,0.969,1,1,-0.030999999999998806,0.007071067811865475,0.0,8.36,8.66,8.76,-1.0,-1.0,-1.640711e-05,,
LSQ12gef,0.0641556,0.0631798,1.176,0.033,19.003,0.066,0.2,0.0512,0.0051,0.0001163,CSPII,Ia,0.987,0,0,0.2690000000000019,0.0658027355054484,0.0,11.5,11.5,11.5,-1.0,-1.0,-8.457999999999999e-05,,
LSQ12gln,0.1020294,0.1021611,1.109,0.014,19.801,0.01,-3.9,0.0201,0.002,1.74e-05,CSPII,Ia,0.986,1,0,-0.0660000000000025,0.0078102496759066544,0.0,8.6,8.75,9.07,-1.0,-1.0,-5.801e-05,,
LSQ12gxj,0.0353,0.034596,1.092,0.01,18.163,0.007,-9.8,0.0571,0.0057,8.307e-06,CSPII,Ia,0.655,0,0,0.2640000000000029,0.00565685424949238,0.0,9.06,9.18,9.31,-1.0,-1.0,7.7327e-06,,
LSQ12gyc,0.0931355,0.0924863,1.148,0.028,19.564,0.015,-0.6,0.0211,0.0021,4.667e-05,CSPII,Ia,0.98,0,0,-0.045999999999999375,0.010816653826391968,0.0,11.5,11.5,11.5,-1.0,-1.0,-0.00014244,,
LSQ12gzm,0.0999308,0.0993978,1.143,0.026,19.991,0.016,-5.9,0.0208,0.0021,2.47e-05,CSPII,Ia,0.986,0,0,0.030000000000001137,0.014212670403551895,0.0,11.5,11.5,11.5,-1.0,-1.0,-0.00017916,,
LSQ12hjm,0.0713506,0.0707978,0.962,0.005,18.982,0.007,-5.8,0.0246,0.0025,1.301e-06,CSPII,Ia,0.982,0,0,-0.06800000000000139,0.00565685424949238,0.0,9.93,10.09,10.25,-1.0,-1.0,9.110000000000003e-07,,
LSQ12hno,0.0472673,0.0468084,0.989,0.014,18.43,0.015,-1.1,0.0994,0.0099,-5.194e-05,CSPII,Ia,0.983,1,0,0.04900000000000304,0.01,0.0,7.64,7.7,7.9,-1.0,-1.0,1.8849999999999997e-05,,
LSQ12hnr,0.1243,0.1255265,1.095,0.07,20.331,0.076,1.9,0.0324,0.0032,-0.0002411,CSPII,Ia,0.982,1,0,0.006000000000000227,0.07684399781375251,0.0,7.93,8.05,8.16,-1.0,-1.0,-0.00071471,,
LSQ12hvj,0.0712507,0.0723911,1.167,0.015,19.062,0.015,-5.3,0.0458,0.0046,6.265e-05,CSPII,Ia,0.986,1,0,0.08099999999999952,0.009899494936611667,0.0,8.79,9.05,9.22,-1.0,-1.0,-4.173e-05,,
LSQ12hxx,0.06936,0.0689135,1.19,0.024,18.893,0.021,-0.6,0.0153,0.0015,0.0001518,CSPII,Ia,0.986,1,0,0.0779999999999994,0.016401219466856725,0.0,10.28,10.45,10.58,-1.0,-1.0,-3.5000000000000038e-06,,
LSQ12hzj,0.0334,0.0345752,0.969,0.004,17.277,0.009,-4.1,0.0569,0.0057,-2.437e-06,CSPII,Ia,0.985,1,1,-0.06899999999999906,0.007071067811865475,0.0,9.32,9.35,9.73,-1.0,-1.0,-6.789999999999998e-07,,
LSQ12hzs,0.07208,0.0718169,1.02,0.018,19.226,0.013,-7.8,0.0227,0.0023,1.567e-05,CSPII,Ia,0.985,1,0,0.09999999999999787,0.01063014581273465,0.0,9.88,10.02,10.42,-1.0,-1.0,4.6909999999999996e-05,,
LSQ13abo,0.0674467,0.0681328,0.88,0.019,19.158,0.023,-7.0,0.0906,0.0091,0.000139,CSPII,Ia,0.986,1,0,0.20700000000000074,0.02778488797889961,0.0,10.04,10.31,10.34,-1.0,-1.0,0.00019780000000000004,,
LSQ13aiz,0.0092,0.0102493,0.964,0.006,14.244,0.018,-8.4,0.0788,0.0079,9.172e-06,CSPII,Ia,0.716,0,1,0.08000000000000007,0.008602325267042627,0.0,8.12,8.24,8.34,-1.0,-1.0,7.829000000000002e-06,,
LSQ13cwp,0.0666,0.0662474,0.944,0.017,18.948,0.025,-6.6,0.1326,0.0133,2.793e-05,CSPII,Ia,0.986,1,0,0.08800000000000097,0.022803508501982758,0.0,10.39,10.54,10.7,-1.0,-1.0,3.199999999999999e-05,,
LSQ13dby,0.0999308,0.0995683,1.139,0.014,19.928,0.012,-5.8,0.0093,0.0009,1.721e-05,CSPII,Ia,0.865,1,0,-0.03999999999999915,0.01063014581273465,0.0,11.5,11.5,11.5,-1.0,-1.0,-7.1264e-05,,
LSQ13dcy,0.0801,0.0800671,0.94,0.025,19.487,0.019,-4.1,0.0408,0.0041,-6.533e-05,CSPII,Ia,0.929,1,0,0.11599999999999966,0.0191049731745428,0.0,9.01,9.18,9.34,-1.0,-1.0,-2.1099999999999998e-05,,
LSQ13dhj,0.0935,0.0929027,1.167,0.019,19.704,0.02,-6.7,0.0132,0.0013,9.516e-05,CSPII,Ia,0.985,1,0,0.05999999999999872,0.0191049731745428,0.0,8.27,8.63,8.78,-1.0,-1.0,-0.000116151,,
LSQ13dkp,0.0689367,0.0685268,0.646,0.009,19.175,0.016,-4.6,0.0145,0.0015,-3.096e-05,CSPII,Ia,0.963,1,0,0.00999999999999801,0.01345362404707371,0.0,10.61,10.8,10.92,-1.0,-1.0,2.600000000000002e-06,,
LSQ13dpm,0.0508648,0.0520617,1.054,0.009,18.369,0.007,-7.8,0.0529,0.0053,-3.872e-07,CSPII,Ia,0.984,1,0,-0.00999999999999801,0.005,0.0,9.06,9.17,9.6,-1.0,-1.0,2.451e-05,,
LSQ13dqh,0.1038,0.1035425,1.19,0.022,19.902,0.017,-5.5,0.0501,0.005,8.271e-05,CSPII,Ia,0.969,1,0,-0.030999999999998806,0.0170293863659264,0.0,11.5,11.5,11.5,-1.0,-1.0,-2.2673e-05,,
LSQ13dsm,0.0423707,0.0419767,0.909,0.004,17.845,0.01,-11.8,0.0088,0.0009,4.578e-06,CSPII,Ia,0.984,1,0,-0.015999999999998238,0.0078102496759066544,0.0,8.85,9.01,9.14,-1.0,-1.0,6.349e-06,,
LSQ13lq,0.0755477,0.0765051,1.069,0.026,18.889,0.007,-6.0,0.0215,0.0022,1.433e-06,CSPII,Ia,0.951,1,0,-0.07099999999999795,0.00565685424949238,0.0,8.0,8.44,8.63,-1.0,-1.0,2.819e-05,,
LSQ13pf,0.0860404,0.0870045,0.915,0.039,19.684,0.072,1.3,0.0558,0.0056,-0.000121,CSPII,Ia-91T,0.957,1,0,0.23300000000000054,0.07300684899377592,0.0,10.14,10.26,10.44,-1.0,-1.0,-2.0199999999999976e-06,,
