sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
LSQ13aiz,0.0092,0.0102493,0.964,0.006,13.651,0.006,-8.7,0.0788,0.0079,1.193e-05,,,,0.08,0.009,0.0,N/A,-1.0,-1.0,,,,,8.24,8.12,8.34,CSPII,Ia,0.716,none
LSQ13dsm,0.0423707,0.0419767,0.908,0.004,17.253,0.005,-12.0,0.0088,0.0009,9.065e-06,,,,-0.024,0.008,0.0,N/A,-1.0,-1.0,,,,,9.01,8.85,9.14,CSPII,Ia,0.984,none
LSQ13ry,0.0298367,0.031032,0.88,0.006,16.517,0.01,-12.4,0.0403,0.004,2.49e-05,,,,-0.05,0.011,0.0,N/A,-1.0,-1.0,,,,,9.64,9.54,9.7,CSPII,Ia,0.971,none
LSQ13vy,0.0417711,0.0421068,0.892,0.005,17.531,0.007,-5.0,0.0676,0.0068,1.487e-05,,,,0.075,0.008,0.0,N/A,-1.0,-1.0,,,,,10.17,10.15,10.33,CSPII,Ia,0.985,none
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.22,0.006,-0.4,0.0193,0.0019,4.585e-07,,,,0.066,0.009,0.0,N/A,-1.0,-1.0,,,,,10.11,9.95,10.3,CSPII,Ia,0.979,none
LSQ14gov,0.089538,0.0892443,1.141,0.008,18.466,0.03,2.5,0.0357,0.0036,-2.372e-06,,,,-0.105,0.009,0.0,N/A,-1.0,-1.0,,,,,9.02,8.85,9.19,CSPII,Ia,0.985,none
LSQ14wp,0.0694519,0.0706148,1.138,0.011,17.871,0.006,-8.0,0.0207,0.0021,7.385e-07,,,,-0.05,0.01,0.0,N/A,-1.0,-1.0,,,,,7.48,7.23,7.59,CSPII,Ia-91T,0.984,none
LSQ15aae,0.0515643,0.0517701,1.226,0.008,17.774,0.005,-5.6,0.0616,0.0062,1.338e-05,,,,0.079,0.008,0.0,N/A,-1.0,-1.0,,,,,10.27,10.1,10.46,CSPII,Ia-91T,0.982,none
PS1-14ra,0.0280833,0.0287982,0.778,0.006,16.572,0.004,-0.2,0.023,0.0023,-8.278e-07,,,,0.052,0.006,0.0,N/A,-1.0,-1.0,,,,,10.65,10.35,10.72,CSPII,Ia,0.984,none
PS1-14xw,0.0245,0.0245957,1.036,0.01,15.774,0.005,-3.4,0.0656,0.0066,1.01e-05,,,,0.018,0.006,0.0,N/A,-1.0,-1.0,,,,,11.24,11.11,11.71,CSPII,Ia,0.975,none
PS15sv,0.033277,0.0335844,1.113,0.014,16.412,0.007,-3.3,0.0782,0.0078,-2.27e-06,,,,0.013,0.013,0.0,N/A,-1.0,-1.0,,,,,8.31,8.2,8.56,CSPII,Ia-91T,0.977,none
PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.292,0.005,-6.7,0.0507,0.0051,1.224e-06,,,,0.051,0.007,0.0,N/A,-1.0,-1.0,,,,,10.88,10.73,10.97,CSPII,Ia,0.984,none
PTF11ppn,0.0672534,0.0661869,0.66,0.038,18.6,0.096,7.1,0.132,0.0132,0.0006209,,,,0.245,0.164,0.0,N/A,-1.0,-1.0,,,,,11.02,10.96,11.06,CSPII,Ia-91bg,0.154,none
PTF11pra,0.0175433,0.0167242,0.442,0.017,17.618,0.027,0.9,0.0243,0.0024,-3.142e-06,,,,0.935,0.061,0.0,N/A,-1.0,-1.0,,,,,10.68,10.57,10.75,CSPII,Ia,0.981,none
PTF11qnr,0.0162167,0.0149985,0.807,0.008,15.583,0.006,-9.5,0.0556,0.0056,1.488e-05,,,,0.255,0.009,0.0,N/A,-1.0,-1.0,,,,,10.65,10.38,10.7,CSPII,Ia,0.979,none
PTF13duj,0.01694,0.015867,1.158,0.013,15.03,0.008,-7.2,0.0665,0.0067,5.401e-06,,,,0.052,0.011,0.0,N/A,-1.0,-1.0,,,,,10.73,10.61,10.82,CSPII,Ia,0.965,none
PTF13dwl,0.0874395,0.0863561,1.114,0.023,18.474,0.02,-5.2,0.0613,0.0061,7.132e-05,,,,0.017,0.011,0.0,N/A,-1.0,-1.0,,,,,8.74,8.42,8.98,CSPII,Ia,0.987,none
PTF13ebh,0.01326,0.012484,0.632,0.004,14.977,0.007,-13.2,0.0668,0.0067,7.886e-06,,,,0.117,0.009,0.0,NGC0890,33.296,0.081,0.0,0.0,0.0,0.0,10.86,10.809999999999999,10.91,N/A,N/A,0.0,s
PTF14aje,0.0276708,0.0282271,0.685,0.006,18.219,0.008,-3.5,0.1524,0.0152,1.68e-05,,,,0.582,0.014,0.0,N/A,-1.0,-1.0,,,,,10.78,10.64,10.84,CSPII,Ia,0.978,none
PTF14fpg,0.034,0.03283,1.079,0.012,16.716,0.006,-9.2,0.0258,0.0026,2.189e-05,,,,0.003,0.008,0.0,N/A,-1.0,-1.0,,,,,11.5,11.5,11.5,CSPII,Ia,0.784,none
PTF14w,0.0188933,0.0200839,0.743,0.004,16.034,0.004,-6.4,0.0205,0.0021,4.122e-06,,,,0.05,0.005,0.0,N/A,-1.0,-1.0,,,,,9.14,8.96,9.3,CSPII,Ia,0.975,none
PTF14yw,0.01697,0.0180604,0.854,0.008,15.717,0.007,-4.4,0.0255,0.0026,1.595e-05,,,,-0.043,0.011,0.0,N/A,-1.0,-1.0,,,,,10.24,10.16,10.59,CSPII,Ia,0.411,none
SN2004ef,0.0309667,0.02977,0.84,0.003,16.79,0.004,-9.2,0.0458,0.0046,4.487e-06,,,,0.119,0.006,0.0,N/A,-1.0,-1.0,,,,,10.74,10.63,10.8,CSPI,Ia,0.981,none
SN2004eo,0.01569,0.0147367,0.867,0.005,15.056,0.008,-12.6,0.093,0.0093,1.244e-05,,,,0.023,0.009,0.0,N/A,-1.0,-1.0,,,,,11.16,11.03,11.35,CSPI,Ia,0.979,none
SN2004ey,0.0157767,0.0146267,1.008,0.003,14.755,0.003,-9.2,0.1197,0.012,2.099e-06,,,,-0.054,0.004,0.0,N/A,-1.0,-1.0,,,,,10.06,9.76,10.41,CSPI,Ia,0.973,none
SN2004gs,0.0266267,0.0282767,0.707,0.003,17.053,0.004,-4.0,0.0257,0.0026,2.973e-06,,,,0.205,0.006,0.0,N/A,-1.0,-1.0,,,,,10.63,10.57,10.7,CSPI,Ia,0.982,none
SN2004gu,0.0458267,0.0468967,1.153,0.011,17.333,0.008,-5.1,0.0223,0.0022,-6.907e-06,,,,0.149,0.014,0.0,N/A,-1.0,-1.0,,,,,10.02,9.74,10.19,CSPI,Ia-06gz,0.986,none
SN2005A,0.0191267,0.01834,0.963,0.007,17.68,0.011,-3.8,0.0259,0.0026,1.316e-05,,,,0.978,0.016,0.0,N/A,-1.0,-1.0,,,,,11.19,11.07,11.26,CSPI,Ia,0.976,none
SN2005M,0.0219967,0.02558,1.205,0.004,15.859,0.003,-9.4,0.0273,0.0027,2.876e-06,,,,0.018,0.004,0.0,N/A,-1.0,-1.0,,,,,8.8,8.38,8.92,CSPI,Ia-91T,0.984,none
SN2005W,0.0088833,0.00795,0.938,0.006,14.105,0.005,-8.1,0.0615,0.0062,1.035e-05,,,,0.165,0.008,0.0,N/A,-1.0,-1.0,,,,,9.9,9.75,10.0,CSPI,Ia,0.967,none
SN2005ag,0.07937,0.08008,1.145,0.009,18.403,0.005,-1.2,0.0331,0.0033,-1.344e-05,,,,-0.036,0.008,0.0,N/A,-1.0,-1.0,,,,,10.9,10.84,10.95,CSPI,Ia,0.982,none
SN2005al,0.0123933,0.0132867,0.868,0.004,14.858,0.005,-1.2,0.0483,0.0048,-3.153e-07,,,,-0.058,0.008,0.0,N/A,-1.0,-1.0,,,,,10.49,10.4,10.63,CSPI,Ia,0.909,none
SN2005am,0.0078933,0.0089667,0.765,0.004,13.627,0.006,-0.6,0.0433,0.0043,1.898e-06,,,,0.065,0.008,0.0,N/A,-1.0,-1.0,,,,,10.83,10.68,11.26,CSPI,Ia,0.934,none
SN2005be,0.035,0.0355767,0.768,0.022,16.9,0.034,6.2,0.0294,0.0029,-3.405e-05,,,,0.055,0.071,0.0,N/A,-1.0,-1.0,,,,,10.4,10.25,10.5,CSPI,Ia,0.985,none
SN2005bg,0.02307,0.0241567,1.064,0.039,15.817,0.03,3.4,0.0264,0.0026,-0.0001169,,,,0.036,0.066,0.0,N/A,-1.0,-1.0,,,,,9.91,9.72,10.02,CSPI,Ia,0.983,none
SN2005bl,0.0240433,0.0251133,0.429,0.011,18.146,0.024,-6.6,0.025,0.0025,0.0001085,,,,0.676,0.034,0.0,N/A,-1.0,-1.0,,,,,11.01,10.89,11.2,CSPI,Ia-91bg,0.98,none
SN2005bo,0.0138867,0.0150133,0.883,0.009,15.506,0.005,-0.5,0.0396,0.004,-6.648e-06,,,,0.237,0.006,0.0,N/A,-1.0,-1.0,,,,,10.5,10.34,10.65,CSPI,Ia,0.962,none
SN2005el,0.0149,0.0148833,0.864,0.003,14.847,0.01,-5.4,0.0976,0.0098,6.877e-06,,,,-0.08,0.012,0.0,N/A,-1.0,-1.0,,,,,10.84,10.7,11.24,CSPI,Ia,0.973,none
SN2005eq,0.0289567,0.02835,1.136,0.009,16.225,0.006,-4.2,0.0629,0.0063,-3.089e-06,,,,0.055,0.01,0.0,N/A,-1.0,-1.0,,,,,10.56,10.44,10.65,CSPI,Ia-91T,0.984,none
SN2005hc,0.0459067,0.0444967,1.141,0.007,17.26,0.004,-5.0,0.028,0.0028,-6.238e-07,,,,0.013,0.007,0.0,N/A,-1.0,-1.0,,,,,10.6,10.52,10.65,CSPI,Ia,0.98,none
SN2005hj,0.0579667,0.05695,1.151,0.019,17.654,0.01,-3.2,0.0329,0.0033,-1.049e-05,,,,0.08,0.016,0.0,N/A,-1.0,-1.0,,,,,9.32,9.22,9.38,CSPI,Ia,0.984,none
SN2005iq,0.03402,0.03293,0.882,0.006,16.744,0.008,-5.7,0.0185,0.0019,1.43e-05,,,,-0.031,0.011,0.0,N/A,-1.0,-1.0,,,,,10.54,10.47,10.6,CSPI,Ia,0.965,none
SN2005ir,0.0763067,0.0752333,1.003,0.014,18.361,0.01,-3.1,0.0265,0.0027,4.355e-05,,,,0.053,0.016,0.0,N/A,-1.0,-1.0,,,,,9.23,9.12,9.37,CSPI,Ia,0.984,none
SN2005kc,0.01511,0.01389,0.933,0.005,15.475,0.007,-10.8,0.1137,0.0114,1.201e-05,,,,0.234,0.011,0.0,N/A,-1.0,-1.0,,,,,11.06,10.6,11.5,CSPI,Ia,0.978,none
SN2005ke,0.0048767,0.0044833,0.436,0.003,14.435,0.009,-9.9,0.02,0.002,4.86e-06,,,,0.662,0.012,0.0,N/A,-1.0,-1.0,,,,,10.43,10.29,10.61,CSPI,Ia-91bg,0.953,none
SN2005ki,0.0191933,0.02037,0.836,0.004,15.534,0.005,-10.2,0.0267,0.0027,2.802e-06,,,,-0.019,0.007,0.0,N/A,-1.0,-1.0,,,,,10.8,10.62,10.86,CSPI,Ia,0.982,none
SN2005ku,0.0454067,0.0441833,0.973,0.035,17.521,0.04,0.2,0.0461,0.0046,-5.984e-05,,,,0.1,0.078,0.0,N/A,-1.0,-1.0,,,,,10.04,9.96,10.1,CSPI,Ia,0.986,none
SN2005lu,0.0319867,0.0312933,1.063,0.03,17.077,0.034,9.0,0.0218,0.0022,-2.048e-05,,,,0.25,0.072,0.0,N/A,-1.0,-1.0,,,,,9.86,9.68,10.03,CSPI,Ia,0.975,none
SN2005mc,0.0252033,0.0260067,0.666,0.02,17.045,0.031,2.3,0.0379,0.0038,-2.861e-05,,,,0.311,0.066,0.0,N/A,-1.0,-1.0,,,,,10.95,10.85,11.1,CSPI,Ia,0.982,none
SN2005na,0.0263033,0.0268133,0.97,0.005,15.961,0.006,-2.2,0.0681,0.0068,2.339e-06,,,,-0.015,0.009,0.0,N/A,-1.0,-1.0,,,,,10.97,10.9,11.05,CSPI,Ia,0.976,none
SN2006D,0.00852,0.00964,0.839,0.003,14.091,0.006,-5.2,0.0394,0.0039,3.452e-06,,,,0.099,0.006,0.0,N/A,-1.0,-1.0,,,,,9.76,9.54,9.85,CSPI,Ia,0.972,none
SN2006X,0.0052367,0.00632,0.97,0.004,14.68,0.008,-11.1,0.0228,0.0023,8.037e-06,,,,1.213,0.012,0.0,N/A,-1.0,-1.0,,,,,9.33,9.06,9.43,CSPI,Ia,0.557,none
SN2006ax,0.0167267,0.0179567,1.003,0.004,15.011,0.007,-12.1,0.041,0.0041,7.481e-06,,,,-0.073,0.008,0.0,N/A,-1.0,-1.0,,,,,10.92,10.79,11.04,CSPI,Ia,0.981,none
SN2006bd,0.0257067,0.0267967,0.395,0.01,18.427,0.028,-1.5,0.0231,0.0023,7.274e-05,,,,0.733,0.044,0.0,N/A,-1.0,-1.0,,,,,10.77,10.6,10.8,CSPI,Ia-91bg,0.981,none
SN2006bh,0.01084,0.0104933,0.827,0.003,14.314,0.005,-5.1,0.0228,0.0023,2.879e-06,,,,-0.01,0.006,0.0,N/A,-1.0,-1.0,,,,,10.43,10.31,10.49,CSPI,Ia,0.969,none
SN2006br,0.0245733,0.0255233,0.954,0.032,18.506,0.036,10.0,0.0197,0.002,7.711e-06,,,,0.837,0.097,0.0,N/A,-1.0,-1.0,,,,,10.97,10.87,11.36,CSPI,Ia,0.982,none
SN2006dd,0.005867,0.0055089,0.951,0.003,12.205,0.083,59.7,0.0179,0.0018,1.063e-05,31.815,0.394,Ho,-0.065,0.007,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0.0,s
SN2006ef,0.01787,0.0170267,0.858,0.02,15.383,0.041,9.8,0.0201,0.002,-2.921e-05,,,,-0.024,0.081,0.0,NGC0809,34.376,0.109,0.0,0.0,0.0,0.0,10.35,10.17,10.53,N/A,N/A,0.0,s
