sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.492,0.047,14.7,0.0461,0.0046,-1.734e-05,CSPII,Ia,0.962,0,0,-0.017,0.009,0.0,10.31,10.41,10.52,N/A,-1.0,-1.0,none
ASAS15fr,0.0334133,0.0345082,0.905,0.021,17.321,0.075,5.1,0.0321,0.0032,-6.911e-05,CSPII,Ia-91T,0.978,1,1,-0.147,0.066,0.0,9.89,9.98,10.06,N/A,-1.0,-1.0,none
ASAS15ga,0.0066267,0.0076517,0.5,0.031,14.693,0.122,-1.8,0.0236,0.0024,0.0004673,CSPII,Ia-91bg,0.966,0,1,0.421,0.051,0.0,10.18,10.38,10.48,N/A,-1.0,-1.0,none
ASAS15go,0.01891,0.0192546,1.072,0.011,16.316,0.036,0.7,0.1369,0.0137,2.939e-06,CSPII,Ia,0.981,0,1,0.214,0.006,0.0,10.04,10.18,10.27,N/A,-1.0,-1.0,none
ASAS15gr,0.0242832,0.0247678,1.031,0.006,16.618,0.066,15.3,0.0823,0.0082,-2.366e-06,CSPII,Ia,0.983,0,1,-0.046,0.006,0.0,8.82,8.94,9.02,N/A,-1.0,-1.0,none
ASAS15hf,0.0061733,0.0072452,0.939,0.005,14.151,0.086,4.8,0.0854,0.0085,-4.213e-06,CSPII,Ia,0.961,0,1,0.004,0.01,0.0,9.39,9.56,9.97,N/A,-1.0,-1.0,none
ASAS15hg,0.02975,0.0308678,0.824,0.02,17.161,0.088,9.2,0.041,0.0041,-5.983e-05,CSPII,Ia,0.985,1,0,0.048,0.061,0.0,10.3,10.42,10.51,N/A,-1.0,-1.0,none
ASAS15hx,0.0083,0.0092051,1.034,0.004,13.95,0.017,-6.5,0.0415,0.0042,-1.624e-06,CSPII,Ia,0.909,0,1,-0.035,0.005,0.0,7.06,7.45,7.89,N/A,-1.0,-1.0,none
CSP12G,0.0369744,0.0379661,1.158,0.029,17.489,0.081,13.8,0.0283,0.0028,0.0002959,CSPII,Ia,0.985,1,0,0.109,0.075,0.0,8.29,8.41,8.49,N/A,-1.0,-1.0,none
CSP12N,0.0971328,0.0982741,1.062,0.011,19.726,0.027,3.7,0.0429,0.0043,1.999e-05,CSPII,Ia,0.985,1,0,-0.11,0.008,0.0,7.32,7.51,7.66,N/A,-1.0,-1.0,none
CSP13N,0.04776,0.0487969,1.145,0.024,17.942,0.041,18.0,0.0238,0.0024,0.0002092,CSPII,Ia-91T,0.976,1,0,-0.015,0.065,0.0,9.88,10.07,10.24,N/A,-1.0,-1.0,none
CSP13V,0.0599585,0.0611394,1.069,0.049,18.529,0.082,21.5,0.0474,0.0047,0.002391,CSPII,Ia,0.987,0,0,-0.075,0.114,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none
CSP13Z,0.0788454,0.0800694,1.215,0.017,19.052,0.047,-2.4,0.0484,0.0048,0.0002021,CSPII,Ia-91T,0.98,1,0,-0.026,0.012,0.0,8.25,8.35,8.85,N/A,-1.0,-1.0,none
CSP13aad,0.0868,0.0865709,1.193,0.035,19.239,0.07,16.0,0.0206,0.0021,0.0006131,CSPII,Ia,0.979,1,0,0.029,0.073,0.0,9.59,9.65,9.8,N/A,-1.0,-1.0,none
CSP13aaf,0.0775863,0.0787193,1.131,0.015,18.695,0.08,8.2,0.0222,0.0022,0.000163,CSPII,Ia,0.978,1,0,-0.056,0.008,0.0,10.53,10.66,11.04,N/A,-1.0,-1.0,none
CSP13aao,0.0613575,0.0616022,0.7,0.051,18.672,0.18,4.1,0.0444,0.0044,-0.003077,CSPII,Ia,0.978,1,0,0.123,0.088,0.0,9.8,9.93,10.09,N/A,-1.0,-1.0,none
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.614,0.042,-2.2,0.0293,0.0029,-4.065e-06,CSPII,Ia,0.969,1,0,-0.057,0.012,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none
CSP13aay,0.0589592,0.0587551,1.142,0.012,18.694,0.024,4.2,0.0159,0.0016,2.323e-05,CSPII,Ia,0.955,1,0,0.037,0.009,0.0,11.5,11.5,11.5,N/A,-1.0,-1.0,none
CSP13abl,0.0403721,0.0406288,0.812,0.05,18.429,0.066,0.3,0.0862,0.0086,-0.0008417,CSPII,Ia,0.42,1,0,1.061,0.063,0.0,8.9,8.91,9.04,N/A,-1.0,-1.0,none
