,sn,res_u,eres_u,zcmb_u,st_u,B-V_u,m_u,ml_u,mu_u,sample_u,cal_u,res_B,eres_B,zcmb_B,st_B,B-V_B,m_B,ml_B,mu_B,sample_B,cal_B,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal,res_V,eres_V,zcmb_V,st_V,B-V_V,m_V,ml_V,mu_V,sample_V,cal_V,res_r,eres_r,zcmb_r,st_r,B-V_r,m_r,ml_r,mu_r,sample_r,cal_r,res_i,eres_i,zcmb_i,st_i,B-V_i,m_i,ml_i,mu_i,sample_i,cal_i,res_Y,eres_Y,zcmb_Y,st_Y,B-V_Y,m_Y,ml_Y,mu_Y,sample_Y,cal_Y,res_J,eres_J,zcmb_J,st_J,B-V_J,m_J,ml_J,mu_J,sample_J,cal_J,res_H,eres_H,zcmb_H,st_H,B-V_H,m_H,ml_H,mu_H,sample_H,cal_H
12,ASAS14lt,-0.0143536591135742,0.2643013076557464,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none,-0.1478648094260251,0.1987732582586419,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none,-0.1164735941022101,0.1849644983255519,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none,-0.1460210399733128,0.2055413584105668,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none,-0.1394607123572271,0.1868669025822337,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none,-0.1136728389770667,0.1738025069652471,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none,-0.0357852860826568,0.14936198240741,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none,0.0397915197153295,0.2032649590494501,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none,-0.0873835002937468,0.1742552920756153,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
13,ASAS14lw,0.1735255074498951,0.2949349761021564,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none,0.1901644511374485,0.2328915003563813,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none,0.2116257604612599,0.2250496397728487,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none,0.1892849315901799,0.2425942756008379,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none,0.189123474206255,0.2242276050472603,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none,0.2455376365864054,0.2134933817632058,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none,0.3042385864807997,0.1824925320770536,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none,0.3247832942788164,0.2344953089231123,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none,0.2380529272697273,0.2046136697438036,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
14,ASAS14me,-0.1389324341365778,0.3037518595069052,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none,-0.0629700344490231,0.2494477854383198,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none,-0.0272872691252175,0.2456329711257506,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none,-0.0636251899962943,0.2589303843867237,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none,-0.0386929873802159,0.2421015704637678,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none,-0.0495561890000715,0.2323213470791729,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none,0.0533963888943276,0.2010580786981769,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none,-0.1273226553076583,0.2540974213982132,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none,0.1137965496832578,0.2148512668436414,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
15,ASAS14mf,0.1592815227523019,0.2624566044117133,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none,0.0858102024398661,0.198434166472055,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none,0.1115452477636722,0.1848750340618842,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none,0.08363236689258,0.2045241996058063,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none,0.0397383695086617,0.1878787188507076,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none,0.0184368478888146,0.175651815662244,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none,-0.1056219342167779,0.1909841982151005,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none,,,,,,,,,,,,,,,,,,,,
16,ASAS14mw,-0.0291176985651588,0.2637390908371383,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none,-0.1562873288776103,0.204315094656254,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none,-0.1510425935537895,0.1918048876178702,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none,-0.152107679424887,0.2107260825052128,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none,-0.1151831518088144,0.1946652021093552,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none,-0.0662471584286521,0.1824958616437293,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none,0.028929154465743,0.1533740220654436,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none,0.0085441202637497,0.2080199527997671,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none,0.0912903402546732,0.1786815732972411,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
17,ASAS14my,-0.229105841653002,0.291588505849761,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none,-0.2435604879654533,0.223961122543614,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none,-0.1945887686416441,0.2153781390550823,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none,-0.2441693425127269,0.2318072688897755,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none,-0.2399275748966616,0.2158975944724233,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none,-0.2751200775164903,0.2059064596044252,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none,-0.0744651726220979,0.1730280362314626,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none,-0.1292699348240944,0.228770810199176,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none,-0.1237805068331709,0.1971115176624664,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
18,ASAS15aj,-0.096604676170287,0.3693934577124577,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none,-0.1637863244827428,0.3176568108481979,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none,-0.1323936071589244,0.3231271215979956,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none,-0.1640039920300111,0.3316020828790446,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none,-0.2202590694139417,0.312366392967651,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none,-0.3381317590337787,0.3044638731768934,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none,-0.305561405139386,0.2479098874167332,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none,-0.2027136333413821,0.3004826222006132,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none,-0.2737398043504555,0.2638912692863819,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
19,ASAS15al,0.100716167674463,0.3844605656388986,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none,0.1424095213620191,0.2511109275184596,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none,0.1795652406858181,0.2374738447597874,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none,0.1376966668147332,0.2730872912226514,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none,0.1411244344308073,0.2186715736410209,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none,0.1662379318109756,0.1977761539415166,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none,0.3377268367053645,0.1502293801023292,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none,0.3786180745033647,0.2099490687341253,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none,0.2759515024942871,0.1780652816658121,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
20,ASAS15as,-0.1589653919587021,0.2703612676919069,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none,-0.1916759022711502,0.2031378775767335,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none,-0.1585400469473441,0.18690210004083,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none,-0.1960219728184213,0.2104091739332179,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none,-0.1673712452023394,0.1922765821523346,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none,-0.0390395318221976,0.1786866420750592,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none,0.1250123410722139,0.1557132483889363,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none,0.0517902668702063,0.2351883147507308,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none,0.0754969268611418,0.1793556614323581,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
21,ASAS15ba,0.0631893893607653,0.2721749379353881,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none,-0.0071586089516841,0.213096840209277,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none,0.0473577583721294,0.20312960723816,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none,-0.0124025514989654,0.220245643742975,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none,-0.0097055038828983,0.2043767604535096,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none,-0.0022119185027307,0.1932250905987705,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none,0.0085590103916715,0.1746756052388901,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none,-0.057627767810338,0.2281200827384727,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none,0.146584236180594,0.1899604855808928,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
22,ASAS15be,0.2061219761067505,0.2840250388928761,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none,0.0781987277943159,0.2243919299983649,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none,0.1045558451181136,0.2161676281154598,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none,0.0781631602470227,0.2327038774077308,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none,0.0735545828630961,0.216295237948865,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none,0.1206407932432753,0.2057658289695602,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none,0.1363948471376659,0.1714874717307952,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none,0.1188828189356669,0.2255977985337373,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none,0.213634947926586,0.194704083604053,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
23,ASAS15bm,-0.1590084636781057,0.2837195588741511,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none,-0.3042537499905648,0.2250118520920122,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none,-0.2400546706667512,0.216887193199135,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none,-0.3113837645378439,0.2331129015438068,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none,-0.3016613969217658,0.2160785112528677,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none,-0.2291987395415944,0.2052960094773083,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none,-0.1386211546471969,0.1708804445318123,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none,-0.1701770368492106,0.224211578126638,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none,-0.0464762888582725,0.1938933468988404,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
24,ASAS15cd,-0.0112904395111073,0.2519398365635406,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none,-0.0338593658235595,0.1892432257029608,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none,-0.0301359264997458,0.1739223355498323,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none,-0.0333855403708298,0.1948212364778835,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none,0.0456904272452334,0.1784388421542668,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none,0.0596362446253948,0.1654473315480762,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none,0.0675865095197849,0.1402821112049473,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none,0.062997507317803,0.1965735662488869,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none,0.1295925753087203,0.1681160497479671,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
25,ASAS15da,0.5041049070578509,0.4245890311795616,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none,0.2898613807453927,0.263668758219968,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none,0.3288542200692106,0.2537291398283802,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none,0.2986728061981267,0.280866482199367,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none,0.2889027738142005,0.2169364349013986,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none,0.2169899911943531,0.1939405905894087,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ASAS15db,0.1328838602474888,0.3792114804895142,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none,0.1104555099350292,0.3301673737690632,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none,0.1503515252588485,0.3376193915934889,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none,0.1054954793877556,0.3446538094643072,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none,0.0647308070038406,0.3254187369771751,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none,0.0493064803839971,0.3177226351156008,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none,0.0902154332783879,0.2593733279671009,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none,0.2265286390763918,0.3150268284087634,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none,-0.0117717809326762,0.2734688381453036,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
27,ASAS15dd,0.0575699399376645,0.2710844636181291,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none,-0.0346723863747797,0.211438057582454,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none,0.005987652949031,0.2008381835205216,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none,-0.0316691609220569,0.218639716704517,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none,-0.0475461933059762,0.2020076107605335,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none,-0.0587387759258177,0.1904681562072674,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none,-0.1342097110314313,0.1647537815978816,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none,-0.2990319132334278,0.232269403312949,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none,-0.444164645242509,0.1864901549203085,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
