name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
SN2007ux,0.0308933,0.031996,0.586320923677772,0.005762158344160451,17.602036961431313,0.02947106909000096,3.3,0.0386,0.0039,-5.299e-05,Ho,CSPI,Ia-86G,0.981,0,0,0.20849349193816735,0.008550805560369433,0.0
SN2008C,0.01661,0.0170667,0.9529487579974725,0.025291449417637172,16.011021509309668,0.059259221502440035,9.7,0.072,0.0072,6.056e-05,Ho,CSPI,Ia,0.981,0,0,0.17467678188707758,0.07608486342538423,0.0
SN2008O,0.03883,0.039318,0.6535953649563822,0.012086707905619123,17.986450946657573,0.07285678097864297,2.3,0.0763,0.0076,-0.0001125,Ho,CSPI,Ia,0.986,0,0,0.3161570165309051,0.01683016086743557,0.0
SN2008R,0.0134933,0.0128867,0.5925222210434511,0.005321856515214092,15.595321645503889,0.051785941652022924,4.3,0.0618,0.0062,-4.646e-05,Ho,CSPI,Ia,0.976,0,0,0.1219761628599354,0.008178613094744259,0.0
SN2008ar,0.02613,0.0272474,0.9709267747714057,0.005677951963580812,16.888302164706932,0.05995490141443072,-1.7,0.0311,0.0031,1.835e-06,Ho,CSPI,Ia,0.984,0,0,0.02849585201148841,0.011752632400191846,0.0
SN2008bc,0.0150767,0.0157067,1.048035228075995,0.004299777152427751,15.77522287401355,0.019108782974097148,-1.7,0.2251,0.0225,1.475e-05,Ho,CSPI,Ia,0.979,0,0,-0.02956613685852716,0.005074123822576698,0.0
SN2008bd,0.0300833,0.0312803,0.5795606039086565,0.03147577703468553,17.536750312556023,0.15442288202981333,24.6,0.0751,0.0075,-0.002116,Ho,CSPI,Ia-91bg,,0,0,0.34056509762471876,0.08009832160794364,0.0
SN2008bf,0.0234837,0.0245538,1.0223198016854331,0.004437010889201585,16.894620206222722,0.04420382648808481,-3.8,0.0296,0.003,5.697e-06,Ho,CSPI,Ia,0.982,0,0,-0.03229487129914155,0.0060011930945448695,0.0
SN2008bi,0.0134367,0.0143882,0.48003061057343316,0.02616901632671182,16.220776246520195,0.07435192190571398,10.5,0.037,0.0037,6.772e-05,Ho,CSPI,Ia-91bg,0.972,0,0,0.5207775476717451,0.12923701326209655,0.0
SN2008bq,0.0339767,0.0344433,1.15490690867156,0.008987886409553355,17.375508968342473,0.1287130787270939,7.3,0.0774,0.0077,6.409e-06,Ho,CSPI,Ia,0.983,0,0,0.05484369825318325,0.007057007516165089,0.0
SN2008bt,0.0153533,0.0165796,0.47036770079124607,0.0088271710919922,16.409286812413534,0.23972631940624337,26.8,0.0445,0.0044,0.0001361,Ho,CSPI,Ia-91bg,0.979,0,0,0.49947033437662824,0.01287583850910969,0.0
SN2008cc,0.0103867,0.0101222,0.7882129524280064,0.01707720643289008,14.495784973110023,0.02659474505276365,19.3,0.0355,0.0035,1.855e-05,Ho,CSPI,Ia,0.965,0,0,0.08178861304104679,0.06458214207194851,0.0
SN2008cf,0.0459682,0.0468269,1.1172373888705887,0.03501885697374186,18.07750022835845,0.07126801032934012,6.1,0.0577,0.0058,9.919e-05,Ho,CSPI,Ia,0.986,0,0,0.006874287703887205,0.06335219207467162,0.0
SN2008ff,0.0191933,0.0186725,1.1169799373671394,0.010102847994967856,16.281209112988726,0.02018407062300738,24.9,0.0436,0.0044,1.755e-05,Ho,CSPI,Ia,0.981,0,0,0.12329321946322658,0.01665866425415072,0.0
