name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
LSQ12hno,0.0472673,0.0468084,0.989,0.015,17.902,0.008,-2.5,0.0994,0.0099,-1.244e-05,Ho,CSPII,Ia,0.983,1,0,0.046,0.010,0.000000
LSQ12hnr,0.1243,0.1255265,1.167,0.038,19.525,0.03,-0.3,0.0324,0.0032,9.029e-05,Ho,CSPII,Ia,0.982,1,0,0.005,0.067,0.000000
LSQ12hvj,0.0712507,0.0723911,1.206,0.014,18.35,0.007,-8.1,0.0458,0.0046,2.374e-05,Ho,CSPII,Ia,0.986,1,0,0.080,0.009,0.000000
LSQ12hxx,0.06936,0.0689135,1.204,0.023,18.241,0.012,-3.4,0.0153,0.0015,0.000103,Ho,CSPII,Ia,0.986,1,0,0.077,0.017,0.000000
LSQ12hzj,0.0334,0.0345752,0.97,0.004,16.669,0.005,-5.5,0.0569,0.0057,3.537e-06,Ho,CSPII,Ia,0.985,1,1,-0.070,0.007,0.000000
LSQ12hzs,0.07208,0.0718169,1.145,0.012,18.734,0.007,-9.7,0.0227,0.0023,8.701e-06,Ho,CSPII,Ia,0.985,1,0,0.100,0.011,0.000000
LSQ13abo,0.0674467,0.0681328,0.877,0.019,18.533,0.014,-8.3,0.0906,0.0091,0.0001252,Ho,CSPII,Ia,0.986,1,0,0.205,0.028,0.000000
LSQ13aiz,0.0092,0.0102493,0.964,0.006,13.561,0.015,-9.8,0.0788,0.0079,1.075e-05,Ho,CSPII,Ia,0.716,0,1,0.080,0.009,0.000000
LSQ13cwp,0.0666,0.0662474,0.94,0.016,18.322,0.014,-8.0,0.1326,0.0133,6.512e-05,Ho,CSPII,Ia,0.986,1,0,0.086,0.020,0.000000
LSQ13dby,0.0999308,0.0995683,1.14,0.014,19.258,0.007,-8.0,0.0093,0.0009,5.621e-06,Ho,CSPII,Ia,0.865,1,0,-0.044,0.009,0.000000
LSQ13dcy,0.0801,0.0800671,1.213,0.042,19.035,0.017,-5.7,0.0408,0.0041,3.003e-05,Ho,CSPII,Ia,0.929,1,0,0.095,0.023,0.000000
LSQ13dhj,0.0935,0.0929027,1.16,0.019,18.977,0.012,-9.0,0.0132,0.0013,3.425e-05,Ho,CSPII,Ia,0.985,1,0,0.057,0.019,0.000000
LSQ13dkp,0.0689367,0.0685268,0.657,0.008,18.844,0.009,-6.3,0.0145,0.0015,1.858e-06,Ho,CSPII,Ia,0.963,1,0,0.019,0.013,0.000000
LSQ13dpm,0.0508648,0.0520617,1.055,0.009,17.788,0.004,-9.4,0.0529,0.0053,1.279e-05,Ho,CSPII,Ia,0.984,1,0,-0.013,0.005,0.000000
LSQ13dqh,0.1038,0.1035425,1.197,0.02,19.368,0.009,-8.1,0.0501,0.005,4.212e-05,Ho,CSPII,Ia,0.969,1,0,-0.039,0.016,0.000000
