     name      zhel      zcmb f    st   est   Mmax  eMmax    t0  EBVmw eEBVmw  covMs     dist
ASAS14kd   0.0243000 0.0230683 V 1.174 0.007 16.018 0.005  -8.1 0.0574 0.0057  1.454e-05    Ho
ASAS14kd   0.0243000 0.0230683 Y 1.174 0.007 16.436 0.131  14.8 0.0574 0.0057  6.119e-05    Ho
ASAS14kd   0.0243000 0.0230683 g 1.174 0.007 16.123 0.005  -7.1 0.0574 0.0057  3.223e-06    Ho
ASAS14kd   0.0243000 0.0230683 i 1.174 0.007 16.468 0.010  -4.1 0.0574 0.0057  1.757e-05    Ho
ASAS14kd   0.0243000 0.0230683 r 1.174 0.007 16.025 0.006  -9.4 0.0574 0.0057  8.819e-06    Ho
ASAS14kd   0.0243000 0.0230683 u 1.174 0.007 16.550 0.007  -5.2 0.0574 0.0057 -2.323e-06    Ho
ASAS14kq   0.0335767 0.0325972 B 1.157 0.011 16.583 0.008  -5.2 0.0155 0.0016 -1.662e-05    Ho
ASAS14kq   0.0335767 0.0325972 J 1.157 0.011 17.192 0.026   4.8 0.0155 0.0016  4.004e-05    Ho
ASAS14kq   0.0335767 0.0325972 V 1.157 0.011 16.621 0.008  -6.4 0.0155 0.0016  4.669e-05    Ho
ASAS14kq   0.0335767 0.0325972 Y 1.157 0.011 17.372 0.036   4.6 0.0155 0.0016  9.215e-05    Ho
ASAS14kq   0.0335767 0.0325972 g 1.157 0.011 16.578 0.007  -5.4 0.0155 0.0016  3.903e-07    Ho
ASAS14kq   0.0335767 0.0325972 i 1.157 0.011 17.321 0.014  -2.3 0.0155 0.0016  5.881e-05    Ho
ASAS14kq   0.0335767 0.0325972 r 1.157 0.011 16.710 0.009  -7.5 0.0155 0.0016  5.594e-05    Ho
ASAS14kq   0.0335767 0.0325972 u 1.157 0.011 17.078 0.012  -3.5 0.0155 0.0016 -2.944e-05    Ho
ASAS14lo   0.0199167 0.0210151 B 0.950 0.018 15.997 0.049   2.3 0.0282 0.0028 -6.944e-06    Ho
ASAS14lo   0.0199167 0.0210151 V 0.950 0.018 15.881 0.036   1.0 0.0282 0.0028 -6.901e-06    Ho
ASAS14lo   0.0199167 0.0210151 Y 0.950 0.018 16.452 0.067   5.9 0.0282 0.0028 -4.112e-06    Ho
ASAS14lo   0.0199167 0.0210151 g 0.950 0.018 15.921 0.027   2.0 0.0282 0.0028 -6.660e-06    Ho
ASAS14lo   0.0199167 0.0210151 i 0.950 0.018 16.500 0.059   5.5 0.0282 0.0028 -8.334e-06    Ho
ASAS14lo   0.0199167 0.0210151 r 0.950 0.018 15.916 0.027   0.9 0.0282 0.0028 -8.326e-06    Ho
ASAS14lo   0.0199167 0.0210151 u 0.950 0.018 16.739 0.073   3.8 0.0282 0.0028 -1.548e-05    Ho
ASAS14lp   0.0050967 0.0062254 B 1.027 0.004 12.156 0.005 -13.8 0.0213 0.0021  7.726e-06    Ho
ASAS14lp   0.0050967 0.0062254 H 1.027 0.004 12.363 0.014  -8.5 0.0213 0.0021  7.614e-06    Ho
ASAS14lp   0.0050967 0.0062254 J 1.027 0.004 12.186 0.020  -8.3 0.0213 0.0021  2.670e-05    Ho
ASAS14lp   0.0050967 0.0062254 V 1.027 0.004 11.919 0.004 -15.1 0.0213 0.0021  2.205e-06    Ho
ASAS14lp   0.0050967 0.0062254 Y 1.027 0.004 12.273 0.019  -8.2 0.0213 0.0021  1.573e-05    Ho
ASAS14lp   0.0050967 0.0062254 g 1.027 0.004 12.012 0.005 -14.1 0.0213 0.0021  6.979e-06    Ho
ASAS14lp   0.0050967 0.0062254 i 1.027 0.004 12.375 0.008 -10.4 0.0213 0.0021  1.228e-06    Ho
ASAS14lp   0.0050967 0.0062254 r 1.027 0.004 11.889 0.005 -15.4 0.0213 0.0021  4.949e-06    Ho
ASAS14lp   0.0050967 0.0062254 u 1.027 0.004 12.751 0.007 -11.3 0.0213 0.0021  6.231e-06    Ho
ASAS14lq   0.0261733 0.0250833 B 1.005 0.024 16.025 0.063   5.7 0.0275 0.0028 -5.456e-05    Ho
ASAS14lq   0.0261733 0.0250833 H 1.005 0.024 16.980 0.089  13.0 0.0275 0.0028  3.217e-05    Ho
ASAS14lq   0.0261733 0.0250833 J 1.005 0.024 16.693 0.154  14.0 0.0275 0.0028 -1.707e-04    Ho
ASAS14lq   0.0261733 0.0250833 V 1.005 0.024 16.012 0.046   4.5 0.0275 0.0028 -4.993e-05    Ho
ASAS14lq   0.0261733 0.0250833 Y 1.005 0.024 16.704 0.123  13.3 0.0275 0.0028 -1.850e-05    Ho
ASAS14lq   0.0261733 0.0250833 g 1.005 0.024 16.004 0.040   5.4 0.0275 0.0028 -4.932e-05    Ho
ASAS14lq   0.0261733 0.0250833 i 1.005 0.024 16.817 0.074   9.1 0.0275 0.0028 -7.389e-05    Ho
ASAS14lq   0.0261733 0.0250833 r 1.005 0.024 16.052 0.039   4.2 0.0275 0.0028 -6.350e-05    Ho
ASAS14lq   0.0261733 0.0250833 u 1.005 0.024 16.571 0.094   7.2 0.0275 0.0028 -1.082e-04    Ho
ASAS14lt   0.0320233 0.0314552 B 0.947 0.008 16.335 0.013  -4.6 0.0474 0.0047  2.330e-05    Ho
ASAS14lt   0.0320233 0.0314552 H 0.947 0.008 17.105 0.032   0.9 0.0474 0.0047  2.914e-06    Ho
ASAS14lt   0.0320233 0.0314552 J 0.947 0.008 17.033 0.033   0.4 0.0474 0.0047 -2.010e-05    Ho
ASAS14lt   0.0320233 0.0314552 V 0.947 0.008 16.369 0.010  -5.8 0.0474 0.0047  2.497e-05    Ho
ASAS14lt   0.0320233 0.0314552 Y 0.947 0.008 17.065 0.039   1.1 0.0474 0.0047 -2.460e-05    Ho
ASAS14lt   0.0320233 0.0314552 g 0.947 0.008 16.323 0.012  -4.8 0.0474 0.0047  1.491e-05    Ho
ASAS14lt   0.0320233 0.0314552 i 0.947 0.008 17.065 0.019  -1.3 0.0474 0.0047 -5.389e-06    Ho
