name,sep,proj
LSQ15agh,489.7903,556.8472
LSQ15alq,14.9395,22.8494
LSQ15bv,3.7746,1.4986
PS1-14xw,30.2794,31.1006
PS15sv,1.3339,2.9190
PTF11pbp,17.7961,22.7392
PTF11ppn,3.4815,5.8188
PTF11pra,13.0696,21.8439
PTF13anh,0.4616,0.4119
PTF13duj,16.1099,17.6933
PTF13dwl,2.3198,2.9762
PTF13dym,0.4932,0.6545
PTF13ebh,20.4828,20.3015
PTF13efe,0.6329,0.6368
PTF13ez,1.0630,1.2315
PTF14aje,12.5232,16.7287
PTF14fpg,3.6998,3.4162
PTF14gnl,7.2062,9.4930
PTF14uo,6.0058,4.4977
PTF14w,96.0524,54.1318
PTF14yy,6.2343,3.1251
SN2011iv,10.5301,6.9883
SN2011iy,17.4466,10.1094
SN2011jh,15.8435,20.4119
SN2011jn,56.8640,20.2751
SN2011jt,17.4110,5.3241
SN2012ah,59.7679,70.8455
SN2012aq,0.1726,0.0595
SN2012ar,28.6641,46.8985
SN2012bl,44.9307,37.3541
SN2012bo,12.1873,24.4286
SN2012E,60.5009,16.3901
SN2012fr,51.5048,73.2861
SN2012G,11.7418,10.0563
SN2012gm,10.2587,11.6740
SN2012hl,2.3985,1.5237
SN2012id,18.7773,31.9164
SN2012ij,5.2182,2.0005
SN2012U,7.2364,2.4976
SN2013fy,17.8622,6.7769
SN2013hn,81.6717,19.9597
CSP14aal,0.6424,0.4750
LSQ15aja,0.0000,0.0000
CSP12N,1.3492,0.5241
CSP13aaq,0.0000,0.0000
CSP13aay,0.0000,0.0000
CSP14aar,0.0000,0.0000
CSP14acl,0.0000,0.0000
LSQ11bk,0.0000,0.0000
LSQ12gyc,0.0000,0.0000
LSQ12hnr,0.0000,0.0000
LSQ13dby,0.0000,0.0000
LSQ13dqh,0.0000,0.0000
LSQ14ie,0.0000,0.0000
