CID_1,zCMB_1,VPEC_1,VPEC_VARIANCE,NONGAUSS
KISS15n,0.0239783,-348.28375321731744,243263.68598031474,6800.747150458719
LSQ11bk,0.0400251,-1091.3634217050285,70954.75225918411,9949.652063060585
LSQ11ot,0.0273222,-306.2354559891968,219826.0620296635,3332.6473659485396
LSQ11pn,0.0326611,-512.2469069747942,62018.20797385486,2295.053272296427
LSQ12agq,0.0653581,-384.7214166996605,52630.73809440618,139.82971642884127
LSQ12aor,0.0945588,-27.741069241940657,185890.7674710283,0.0
LSQ12bld,0.084303,-71.05624160544278,185745.07377826495,0.0
LSQ12btn,0.0552706,-17.566121273371586,362663.5317333834,1948.0616503568212
LSQ12ca,0.0995466,-55.54003350634703,186504.4041082306,0.0
LSQ12cda,0.1384035,-8.381819542565237,185450.3782374643,0.0
LSQ12cdl,0.1090245,-37.60857609418005,185309.77108538465,0.0
LSQ12fuk,0.0205571,72.88189908764826,29965.50142365109,39.49059598287176
LSQ12fvl,0.055977,-789.2451037573143,105525.33854514561,8339.100354129994
LSQ12fxd,0.0313344,794.6084987406658,52494.41266037001,101.53488886205564
LSQ12gdj,0.0292813,-408.6752042244221,107326.86650107549,4392.29534240258
LSQ12gef,0.0631798,-231.44409153350358,59311.030307018285,2.0338333016350525
LSQ12gln,0.1021611,-61.64938747130294,186351.43477343957,0.0
LSQ12gxj,0.034596,-628.8352024243757,64745.392828138356,331.43622808957514
LSQ12gyc,0.0924863,-20.00616107408915,186523.84570340917,0.0
LSQ12gzm,0.0993978,-21.096554497168768,186180.31417785725,0.0
LSQ12hjm,0.0707978,-98.66558131186873,188373.03949811799,0.0
LSQ12hno,0.0468084,-615.3242720262417,37700.559941403124,6.576058493172806
LSQ12hnr,0.1255265,0.8671796595982973,185614.51997654006,0.0
LSQ12hvj,0.0723911,-95.0243777632698,187505.77046050504,0.0
LSQ12hxx,0.0689135,-157.78640096697234,186780.0174734694,0.0
LSQ12hzj,0.0345752,-333.62793586150667,68057.5245201026,1195.79448010396
LSQ12hzs,0.0718169,-163.07691461436144,188903.2377002474,0.0
LSQ13abo,0.0681328,-165.4704831314738,182332.6310331864,0.0
LSQ13aiz,0.0102493,650.3406382966915,149527.31372134757,816.4226768863075
LSQ13cwp,0.0662474,-96.83009468937294,190522.04006571247,0.0
LSQ13dby,0.0995683,-25.21451471987226,186397.20296858373,0.0
LSQ13dcy,0.0800671,-67.26206819282926,61763.69155007638,3.0493314114128323
LSQ13dhj,0.0929027,-32.01725810527106,186237.28783540707,0.0
LSQ13dkp,0.0685268,-177.1140797893188,181812.48133601772,0.0
LSQ13dpm,0.0520617,207.07882354514572,120738.37031782119,333.2294080539858
LSQ13dqh,0.1035425,14.331572332127239,186385.43219226954,0.0
LSQ13dsm,0.0419767,-310.7699156544638,92518.45323769754,163.3285818399433
LSQ13pf,0.0870045,-88.24198918516171,185572.13643308284,0.0
LSQ13ry,0.031032,-134.06302033464053,90180.55732270877,23.831584652422265
LSQ13vy,0.0421068,-434.8051217564471,60892.91657391096,15.432131786674212
LSQ14act,0.0594518,-161.91392582640435,188196.9018915302,0.0
LSQ14age,0.0815802,-99.75384930464577,185245.43018185432,0.0
LSQ14ahc,0.0517592,-699.1341863086716,2091782.2546511788,89592.32171584829
LSQ14ahm,0.0509869,-8.488991823492766,82737.16548945988,38.313892154730894
LSQ14ajn,0.0221584,-133.923443572825,392855.6084793095,899.4497373736925
LSQ14asu,0.069594,-99.96940768631362,189635.0153689339,0.0
LSQ14auy,0.0832263,-101.15415898538603,185441.67389529845,0.0
LSQ14azy,0.0469322,-500.6575321058782,66989.5608404929,90.27777649429046
