sn,snra,sndec,zcmb
SN2005ku,344.927542,-0.013694,0.0441833
SN2005lu,39.015458,-17.263889,0.0312933
SN2005mc,126.7765,21.646,0.0260067
SN2005na,105.402583,14.13325,0.0268133
SN2006D,193.141417,-9.775222,0.00964
SN2006X,185.724958,15.809194,0.00632
SN2006ax,171.014417,-12.291444,0.0179567
SN2006bd,174.618583,20.526222,0.0267967
SN2006bh,340.067083,-66.485083,0.0104933
SN2006br,202.5075,13.415778,0.0255233
SN2006ef,31.081292,-8.728389,0.0170267
SN2006ej,9.749042,-9.015722,0.0193367
SN2006eq,322.154708,1.228111,0.0483667
SN2006et,10.690917,-23.558444,0.0216467
SN2006ev,322.746917,13.989222,0.0276
SN2006fw,26.793083,-0.147,0.0819867
SN2006gj,49.399167,-1.691722,0.0269667
SN2006gt,14.072083,-1.629444,0.0436433
SN2006hb,75.505333,-21.131972,0.0153367
SN2006hx,18.488792,0.371667,0.0444033
SN2006is,79.393208,-23.781722,0.03142
SN2006kf,55.460333,8.156944,0.0208
SN2006lu,138.823458,-25.600083,0.0543967
SN2006mr,50.679333,-37.208138,0.00551
SN2006ob,27.950458,0.263417,0.0582567
SN2006os,43.754583,16.009667,0.03208
SN2006py,340.425208,-0.136917,0.0566433
SN2007A,6.319417,12.886806,0.0164633
SN2007N,192.255208,-9.452833,0.014
SN2007S,150.13025,4.407278,0.0150233
SN2007af,215.587625,-0.393778,0.00629
SN2007ai,243.223917,-21.630194,0.0319867
SN2007al,149.827,-19.473833,0.0132629
SN2007as,141.900042,-80.177556,0.0178967
SN2007ax,125.68025,22.554694,0.0076367
SN2007ba,229.177625,7.396611,0.0390533
SN2007bc,169.810708,20.809028,0.02185
SN2007bd,127.888667,-1.199444,0.0318267
SN2007bm,171.259583,-9.798278,0.00744
SN2007ca,202.774208,-15.101833,0.01507
SN2007cg,201.389917,-24.65225,0.0341676
SN2007hj,345.449542,15.5865,0.0128818
SN2007hx,31.612833,-0.899528,0.0788733
SN2007jd,44.972375,1.160722,0.0719112
SN2007jg,52.46175,0.056833,0.0365767
SN2007jh,54.006417,1.103389,0.0402667
SN2007le,354.701708,-6.522583,0.0055233
SN2007mm,16.444458,-0.758833,0.0688733
SN2007nq,14.389875,-1.388611,0.0439033
SN2007ol,24.34875,-0.312,0.054882
SN2007on,54.712083,-35.575,0.0061833
SN2007so,41.929708,13.254111,0.0289285
SN2007sr,180.47,-18.972694,0.0066557
SN2007st,27.176958,-48.649389,0.0206508
SN2007ux,152.33325,14.992444,0.031996
SN2008C,104.298042,20.437139,0.0170667
SN2008O,104.393583,-45.812306,0.039318
SN2008R,45.97375,-11.994278,0.0128867
SN2008ar,186.158,10.838167,0.0272474
SN2008bc,144.630125,-63.973778,0.0157067
SN2008bd,154.597167,-13.103111,0.0312803
SN2008bf,181.012083,20.245167,0.0245538
SN2008bi,128.972458,0.706417,0.0143882
SN2008bq,100.260458,-38.038611,0.0344433
SN2008bt,162.570333,-12.108889,0.0165796
SN2008bz,189.740583,11.1295,0.0613265
SN2008cc,315.873417,-67.183639,0.0101222
SN2008cd,198.757292,-15.951889,0.0084623
SN2008cf,211.885667,-26.551833,0.0468269
SN2008ff,303.499833,-44.352167,0.0186725
SN2008fl,294.186833,-37.55125,0.0194172
SN2008fp,109.135833,-29.325497,0.0062867
SN2008fr,17.95475,14.640833,0.0379062
SN2008fu,45.61875,-24.455972,0.0518336
SN2008fw,157.233208,-44.665278,0.0095066
SN2008gg,21.345833,-18.172444,0.0310658
SN2008gl,20.228417,4.805306,0.0329459
SN2008go,332.686792,-20.788111,0.0613133
SN2008gp,50.753042,1.361889,0.0328233
SN2008hj,1.007958,-11.16875,0.0367224
SN2008hu,122.3115,-18.653639,0.050526
SN2008hv,136.891917,3.39225,0.01358
SN2008ia,132.646458,-61.277944,0.02254
SN2009D,58.595125,-19.181722,0.024654
SN2009F,74.848167,-11.130583,0.01291
SN2009I,41.293333,-4.713722,0.0254309
SN2009P,170.161583,-3.546194,0.0263202
SN2009Y,220.602292,-17.246194,0.0101034
SN2009aa,170.926167,-22.270694,0.0284814
SN2009ab,64.151625,2.764167,0.0108624
SN2009ad,75.889083,6.659917,0.0283174
SN2009ag,107.920042,-26.685083,0.0092477
SN2009al,162.841958,8.578528,0.0232764
SN2009cz,138.750083,29.735306,0.0219786
SN2009ds,177.267125,-9.729139,0.0204662
SN2009ig,39.54838,-1.31253,0.0080401
SN2009le,32.321417,-23.412444,0.017027
SN2011by,178.93983,55.32606,0.003405
SN2011fe,210.77421,54.27372,0.0012072
SN2011iy,197.24325,-15.517778,0.0053357
SN2011jh,191.810083,-10.063139,0.0089154
SN2011jn,194.311625,-17.400139,0.0485384
SN2011jt,223.345875,2.961972,0.0284695
SN2012E,38.344958,9.584889,0.019439
SN2012G,189.89625,16.586639,0.0268487
SN2012U,31.518042,-55.19375,0.0193386
SN2012ah,351.498458,-81.90925,0.0123697
SN2012aq,223.521375,22.094611,0.0525508
SN2012ar,245.150083,-10.460639,0.028536
SN2012bl,305.980333,-48.354806,0.0181998
SN2012bo,192.688458,-14.269028,0.0265314
SN2012cg,186.803458,9.420333,0.0025798
SN2012fr,53.400417,-36.126111,0.0051291
SN2012gm,349.404292,14.002472,0.013553
SN2012hd,18.531083,-32.652139,0.0111341
SN2012hl,12.574,24.531167,0.0318991
SN2012hr,95.41025,-59.714056,0.0078716
SN2012ht,163.344792,16.776361,0.0046846
SN2012id,70.671417,18.58325,0.0155401
SN2012ij,175.066,17.456167,0.012107
SN2013E,150.023,-34.233694,0.0104565
SN2013H,136.627917,-75.817083,0.0158792
SN2013M,209.986167,-37.863722,0.0357427
SN2013U,150.3,0.328417,0.0356518
SN2013aa,218.141167,-44.224389,0.0046654
SN2013aj,208.502833,-7.928833,0.0100653
SN2013ay,280.65775,-64.937083,0.0156526
SN2013az,84.967208,-40.507806,0.037464
SN2013bc,197.588792,-7.173361,0.023528
SN2013bz,201.713833,-10.025611,0.0201818
SN2013cg,141.736542,-24.783222,0.009009
SN2013ct,18.228833,0.979361,0.0027369
SN2013dy,334.57333,40.56933,0.0028843
SN2013fy,324.363,-47.031889,0.0301903
SN2013fz,65.9435,-51.596194,0.0205517
SN2013gv,47.488792,19.213667,0.0334585
SN2013gy,55.570333,-4.7218,0.0135587
SN2013hh,172.268208,17.235972,0.0141046
SN2013hn,207.246542,-30.290694,0.0160268
SN2014D,182.653167,18.8265,0.0092489
SN2014I,85.5825,-25.544417,0.0302041
SN2014Z,26.033292,-61.118722,0.0209246
SN2014ao,128.638833,-2.543361,0.015028
SN2014at,326.56175,-46.522528,0.031543
SN2014ba,343.758208,-39.659583,0.0049902
SN2014dn,64.476125,-56.612556,0.0221408
SN2014eg,41.288625,-55.738028,0.018331
SN2015F,114.065667,-69.506389,0.0052804
SNhunt281,226.375292,1.634,0.004706
