        sn       zhel       zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       BV     eBV    covBV_M      ml       m              mu    host      dist    edist   caltype  
   SN2007N    0.01287      0.014   0.312   0.008   18.013   0.021    -0.6   0.0343   0.0034    2.231e-05    0.938   0.025    0.00061    10.3    10.3    10.295218952     N/A      -1.0     -1.0      none  
   SN2007S    0.01387   0.015023   1.115   0.009   15.809    0.01   -10.8   0.0224   0.0022    2.014e-06      0.4   0.012   0.000149   10.11   10.11   10.1071514991     N/A      -1.0     -1.0      none  
  SN2007ai    0.03164   0.031987   1.229   0.013   17.037    0.01    -0.7    0.286   0.0286   -1.578e-05    0.194   0.013   0.000164   11.11   11.11   11.1061087008     N/A      -1.0     -1.0      none  
  SN2007al   0.012113   0.013263   0.336   0.022   17.296    0.06    -0.2    0.036   0.0036     1.49e-05    0.681   0.062   0.003825     9.6     9.6   9.59612822077     N/A      -1.0     -1.0      none  
  SN2007as    0.01756   0.017897   0.885   0.005    15.48   0.006    -0.5   0.1229   0.0123    4.199e-07    0.088   0.008    6.1e-05   10.39   10.39   10.3882450291     N/A      -1.0     -1.0      none  
  SN2007ax   0.006857   0.007637   0.355   0.011    16.19   0.023    -2.8   0.0446   0.0045    0.0001067    0.682    0.03   0.000929   10.43   10.43   10.4283751249     N/A      -1.0     -1.0      none  
  SN2007ba   0.038487   0.039053   0.544   0.007   17.764   0.012    -7.1   0.0315   0.0032     2.58e-05    0.324   0.015   0.000225   11.23   11.23    11.228005573     N/A      -1.0     -1.0      none  
  SN2007bc   0.020757    0.02185   0.876   0.006    15.85   0.007    -2.9   0.0186   0.0019    2.311e-06    0.044   0.009    8.5e-05   10.93   10.93   10.9268160507     N/A      -1.0     -1.0      none  
  SN2007bd   0.030997   0.031827    0.88   0.005   16.552   0.008    -9.6   0.0289   0.0029    2.446e-05   -0.006   0.011   0.000128   10.94   10.94   10.9364391328     N/A      -1.0     -1.0      none  
  SN2007bm   0.006207    0.00744     0.9   0.008   14.404   0.008    -0.8   0.0354   0.0035    9.198e-07    0.425   0.011   0.000128   10.72   10.72   10.7203499494     N/A      -1.0     -1.0      none  
  SN2007ca   0.014057    0.01507   1.061   0.008   15.892   0.006    -9.0    0.057   0.0057     1.67e-05    0.258   0.008    7.2e-05   10.01   10.01   10.0140165119     N/A      -1.0     -1.0      none  
  SN2007cg   0.033173   0.034168   1.103   0.048   18.212   0.077     8.1   0.0686   0.0069   -0.0004922     0.67   0.095   0.008954   10.69   10.69   10.6947152691     N/A      -1.0     -1.0      none  
  SN2007hj   0.014103   0.012882   0.603   0.005   15.613   0.005    -1.6   0.0747   0.0075    3.236e-06    0.202   0.007      5e-05   10.48   10.48   10.4829852977     N/A      -1.0     -1.0      none  
  SN2007hx    0.07976   0.078873   1.053   0.043   19.283   0.062     0.3   0.0299    0.003   -2.703e-05    0.235   0.077   0.005869   10.84   10.84   10.8351968177     N/A      -1.0     -1.0      none  
  SN2007jd   0.072583   0.071911   0.877   0.034   18.827   0.069     0.2    0.066   0.0066   -0.0001294    0.088   0.086   0.007465   10.23   10.23    10.230518664     N/A      -1.0     -1.0      none  
  SN2007jg   0.037107   0.036577   0.925   0.007   17.252   0.008    -3.0   0.0904    0.009    1.487e-05    0.038   0.011   0.000113    9.08    9.08   9.07716753605     N/A      -1.0     -1.0      none  
  SN2007jh   0.040767   0.040267   0.584   0.019   18.352   0.022    -2.9   0.0902    0.009    6.818e-05     0.34   0.029   0.000845   11.09   11.09   11.0934936975     N/A      -1.0     -1.0      none  
  SN2007le   0.006717   0.005523   1.028   0.004   13.904   0.006    -6.7   0.0287   0.0029    6.009e-06    0.318   0.008    6.1e-05    10.3    10.3   10.2959399475     N/A      -1.0     -1.0      none  
  SN2007mm   0.066354   0.068873   0.501   0.018   19.746   0.035    -7.1   0.0313   0.0031    8.608e-05    0.509   0.042   0.001754   11.38   11.38   11.3759500788     N/A      -1.0     -1.0      none  
  SN2007nq      0.045   0.043903    0.75   0.005   17.414   0.008    -1.3   0.0312   0.0031    1.885e-07    0.043    0.01     0.0001   11.38   11.38   11.3754931393     N/A      -1.0     -1.0      none  
  SN2007ol    0.05587   0.054882   0.696   0.035   18.045   0.016    -3.5   0.0215   0.0022    0.0002758    -0.07   0.028   0.000785   10.39   10.39   10.3861161983     N/A      -1.0     -1.0      none  
  SN2007on    0.00649   0.006183    0.57   0.004   13.027   0.006    -8.4   0.0098    0.001    6.047e-06    0.113   0.008    7.2e-05   11.14   11.14   11.1384733427   N1404      -1.0     -1.0         t  
  SN2007st   0.021167   0.020651   0.742   0.023   15.852    0.06     4.3   0.0143   0.0014   -7.715e-05    0.161   0.077   0.006001   11.18   11.18   11.1835547667     N/A      -1.0     -1.0      none  
  SN2007ux   0.030893   0.031996     0.6   0.008   17.397   0.007    -0.3   0.0386   0.0039   -1.053e-05    0.198   0.009    7.4e-05   10.27   10.27   10.2737223406     N/A      -1.0     -1.0      none  
   SN2008C    0.01661   0.017067   0.953   0.026   15.643   0.062     3.4    0.072   0.0072   -6.754e-05    0.173   0.077    0.00596   10.57   10.57   10.5667343983     N/A      -1.0     -1.0      none  
   SN2008O    0.03883   0.039318   0.655   0.013   18.133   0.013    -1.3   0.0763   0.0076    3.342e-07    0.303   0.017    0.00029    11.7    11.7   11.6957213266     N/A      -1.0     -1.0      none  
   SN2008R   0.013493   0.012887   0.591   0.005   15.259   0.005    -1.4   0.0618   0.0062    1.943e-06    0.119   0.008    6.1e-05   11.08   11.08   11.0755988457     N/A      -1.0     -1.0      none  
  SN2008ar    0.02613   0.027247    0.97   0.006   16.228   0.009    -7.1   0.0311   0.0031    1.942e-05    0.023   0.011    0.00013    10.4    10.4   10.3977680165     N/A      -1.0     -1.0      none  
  SN2008bc   0.015077   0.015707   1.048   0.004   14.748   0.003    -8.1   0.2251   0.0225    6.223e-06    -0.03   0.005    2.5e-05   10.12   10.12   10.1171366792     N/A      -1.0     -1.0      none  
  SN2008bf   0.023484   0.024554   1.024   0.005   15.712   0.004    -7.4   0.0296   0.0030    1.093e-05   -0.033   0.006    3.2e-05   11.42   11.42   11.4177604012     N/A      -1.0     -1.0      none  
  SN2008bi   0.013437   0.014388   0.485   0.028   16.931   0.111     7.3    0.037   0.0037    5.169e-05     0.51   0.132   0.017505   10.97   10.97   10.9741808267     N/A      -1.0     -1.0      none  
  SN2008bq   0.033977   0.034443   1.155   0.009   16.725   0.005    -0.2   0.0774   0.0077   -2.175e-05    0.055   0.007      5e-05   11.14   11.14   11.1403065383     N/A      -1.0     -1.0      none  
  SN2008bt   0.015353    0.01658    0.47   0.009   16.753    0.01    -1.1   0.0445   0.0044    5.945e-06    0.499   0.013   0.000164   10.99   10.99   10.9874006467     N/A      -1.0     -1.0      none  
  SN2008bz   0.060237   0.061326   0.927   0.023   17.945    0.05     1.4   0.0226   0.0023   -3.339e-05    -0.04   0.063   0.003944    10.7    10.7   10.7018685091     N/A      -1.0     -1.0      none  
  SN2008cc   0.010387   0.010122   0.789   0.017   14.174   0.053     8.5   0.0355   0.0035   -2.788e-05    0.084   0.065   0.004253   10.65   10.65   10.6536559671     N/A      -1.0     -1.0      none  
  SN2008cd   0.007407   0.008462   1.012    0.08   18.836   0.113     9.3   0.0592   0.0059    -0.003924    1.684   0.132   0.017393   10.79   10.79   10.7946015885     N/A      -1.0     -1.0      none  
  SN2008cf   0.045968   0.046827   1.121   0.036   17.071   0.051     0.8   0.0577   0.0058   -6.784e-05    0.017   0.064   0.004122   11.04   11.04   11.0428196184     N/A      -1.0     -1.0      none  
  SN2008ff   0.019193   0.018673   1.132    0.01   15.364   0.014     3.2   0.1569   0.0157   -1.652e-05    0.129   0.017   0.000277   10.81   10.81   10.8083685342     N/A      -1.0     -1.0      none  
