sn,sn1,ml,m,mu
LSQ13ry,LSQ13ry,9.54,9.64,9.70
LSQ13vy,LSQ13vy,10.15,10.17,10.33
LSQ14act,LSQ14act,10.07,10.17,10.61
LSQ14age,LSQ14age,8.33,8.42,8.59
LSQ14ahc,LSQ14ahc,8.89,9.13,9.62
LSQ14ahm,LSQ14ahm,8.03,8.20,8.37
LSQ14ajn,SN2014ah,9.95,10.11,10.30
LSQ14asu,LSQ14asu,10.51,10.67,10.86
LSQ14auy,LSQ14auy,10.61,10.74,11.19
LSQ14azy,LSQ14azy,9.75,9.94,10.10
LSQ14ba,LSQ14ba,9.30,9.47,9.87
LSQ14bbv,LSQ14bbv,10.90,11.02,11.14
LSQ14bjj,LSQ14bjj,8.30,8.46,8.91
LSQ14fms,LSQ14fms,10.00,10.11,10.49
LSQ14foj,LSQ14foj,8.33,8.44,8.70
LSQ14fom,LSQ14fom,9.40,9.54,9.72
LSQ14gfb,LSQ14gfb,10.11,10.30,10.64
LSQ14gfn,LSQ14gfn,10.42,10.54,10.88
LSQ14ghv,LSQ14ghv,10.06,10.18,10.31
LSQ14gov,LSQ14gov,8.85,9.02,9.19
LSQ14ie,LSQ14ie,7.95,8.08,8.21
LSQ14ip,LSQ14ip,10.01,10.18,10.31
LSQ14jp,LSQ14jp,10.48,10.54,10.81
LSQ14mc,LSQ14mc,9.16,9.17,9.43
LSQ14q,LSQ14q,8.92,9.32,9.42
LSQ14wp,LSQ14wp,7.23,7.48,7.59
LSQ14xi,LSQ14xi,10.77,10.90,11.07
LSQ15aae,LSQ15aae,10.10,10.27,10.46
LSQ15agh,LSQ15agh,9.72,9.87,9.99
LSQ15aja,LSQ15aja,7.34,7.46,7.58
LSQ15alq,LSQ15alq,10.22,10.40,10.82
LSQ15bv,LSQ15bv,10.39,10.56,10.77
PS1-14xw,PS1-14xw,11.11,11.24,11.71
PS15sv,PS15sv,8.20,8.31,8.56
PTF11pbp,SN2011hb,10.73,10.88,10.97
PTF11ppn,PTF11ppn,10.96,11.02,11.06
PTF11pra,SN2011hk,10.57,10.68,10.75
PTF13anh,iPTF13anh,7.29,7.48,7.66
PTF13duj,iPTF13duj,10.61,10.73,10.82
PTF13dwl,iPTF13dwl,8.42,8.74,8.98
PTF13dym,iPTF13dym,9.25,9.45,9.88
PTF13ebh,iPTF13ebh,10.80,10.86,11.02
PTF13ez,iPTF13ez,9.52,9.71,9.84
PTF14aje,iPTF14aje,10.64,10.78,10.84
PTF14gnl,iPTF14gnl,9.86,10.06,10.50
PTF14uo,iPTF14uo,8.86,9.00,9.48
PTF14w,iPTF14w,8.96,9.14,9.30
PTF14yy,iPTF14yy,9.25,9.41,9.52
SN2011im,PTF11qnr,10.38,10.65,10.70
SN2011iv,SN2011iv,10.83,11.01,11.09
SN2011iy,SN2011iy,10.21,10.39,10.83
SN2011jh,SN2011jh,10.02,10.09,10.16
SN2011jn,SSS111226:125715-172401,11.23,11.35,11.78
SN2011jt,CSS111231:145323+025743,10.25,10.39,10.52
SN2012E,SN2012E,10.36,10.54,10.73
SN2012G,ROTSE3 J123935.1+163512,9.58,9.73,9.84
SN2012U,SN2012U,10.38,10.56,10.74
SN2012aq,CSS120224:145405+220541,7.63,7.77,8.01
SN2012ar,CSS120301:162036-102738,10.84,10.94,11.02
SN2012bl,SN2012bl,9.85,10.09,10.24
SN2012bo,SN2012bo,10.15,10.32,10.40
SN2012fr,SN2012fr,11.06,11.25,11.32
SN2012gm,SN2012gm,9.90,10.01,10.08
SN2012hl,SNhunt161,7.18,7.31,7.46
SN2012id,SN2012id,9.85,10.01,10.16
SN2012ij,SN2012ij,9.80,9.94,10.11
SN2013fy,SN2013fy,10.77,10.86,10.96
SN2013hn,SN2013hn,10.84,10.99,11.07
SN2007A,SN2007A,10.57,10.57,10.57
SN2007mm,SN2007mm,11.36,11.36,11.36
SN2008bf,SN2008bf,11.40,11.40,11.40
SN2008ff,SN2008ff,10.80,10.80,10.80
SN2005gc,SN2005gc,11.5,11.5,11.5
CSP13V,CSP13V,11.5,11.5,11.5
CSP13aaq,CSP13aaq,11.5,11.5,11.5
CSP13aay,CSP13aay,11.5,11.5,11.5
CSP13abm,CSP13abm,11.5,11.5,11.5
CSP13aal,CSP13aal,11.5,11.5,11.5
CSP14abk,CSP14abk,11.5,11.5,11.5
CSP14acl,CSP14acl,11.5,11.5,11.5
KISS13v,KISS13v,11.5,11.5,11.5
LSQ12gef,LSG12gef,11.5,11.5,11.5
LSQ12gyc,LSQ12gyc,11.5,11.5,11.5
LSQ12gzm,LSQ12gzm,11.5,11.5,11.5
LSQ13dby,LSQ13dby,11.5,11.5,11.5
LSQ13dqh,LSQ13dqh,11.5,11.5,11.5
PTF13dyt,PTF13dyt,11.5,11.5,11.5
PTF13efe,PTF13dyt,11.5,11.5,11.5 
PTF14aaf,PTF14aaf,11.5,11.5,11.5 
PTF14fpg,PTF14fpg,11.5,11.5,11.5
SN2012ah,SN2012ah,11.5,11.5,11.5
SN2013ad,SN2013ad,11.5,11.5,11.5 



